"names","values"
"itemid","84"
"event","Good con, yes yes yes. quite though Several meal eaten alone, Strange ever one there but all on there own projects. Such is life for now I should remember that it is not so bad to spend time alone, I just have more of it now then I would like."
"eventtime","2008-07-08 10:32:00"
"current_moodid","68"
"url","http://timelord142.livejournal.com/21595.html"
"userid","15801"
"itemid","83"
"event","No emotion, how to leave some one behind or forget about them Break the emotional value.  Wish I could do that faster at this tmie."
"eventtime","2008-03-17 11:48:00"
"url","http://timelord142.livejournal.com/21368.html"
"userid","15801"
"itemid","82"
"event","People forget they can hurt others by action and lack of action. 
(the above statment is not for pearl or Beth)"
"eventtime","2008-01-28 08:32:00"
"url","http://timelord142.livejournal.com/21013.html"
"userid","15801"
"itemid","81"
"event","Ballroom Two hours of dance Bolero for one hour then Waltz for the next hour. 
Ahhhh....."
"eventtime","2007-12-06 22:05:00"
"url","http://timelord142.livejournal.com/20955.html"
"userid","15801"
"itemid","80"
"event","<a href=""http://pics.livejournal.com/timelord142/pic/00002k6p/""><img src=""http://pics.livejournal.com/timelord142/pic/00002k6p/s320x240"" width=""320"" height=""208"" border='0'/></a>

Hmm, strange day alone again heard from one I have not in a long time wow a single female not spoken for not married, Well see what happens next."
"eventtime","2007-12-06 16:27:00"
"current_moodid","106"
"url","http://timelord142.livejournal.com/20592.html"
"userid","15801"
"itemid","79"
"event","Ok I am not to much to post 10 PM at night a friend calls to find that a Friend will be dieing in the next few days I HATE being the one to call others and the phrase no more heroics, truly sucks. So when you think your life is in the shittier It can be worse, I am learning not to ask what is next when the walls are falling down.  Times like this is nice to be able to be with some one not for sex just good friends aaaaaaaaaaggggggggggrrrrr
Ok the rambling of Michael in stress mode, Other wise not much going on here I will be all moved to new place of living soon.  Good things to report hmm maybe tomorrow. On the funeral the Wake is going to be a Large Party time. From the house hold of the Dibble's good bye to Mommy Dibble today she is still a great person, her passing soon we will miss her.    ----"
"eventtime","2007-11-26 22:17:00"
"current_moodid","25"
"url","http://timelord142.livejournal.com/20406.html"
"userid","15801"
"itemid","78"
