"names","values"
"itemid","19"
"event","I had my baby shower, that was swell.  I got almost everything that I needed.  Just waiting to get carpet in the house so that I can get started on the nursery decor:)  Work's fun, I get to buy baby stuff CHEAP.  I've reunited myself with an old friend and boy does it feel good... I've missed her.  The baby's head down already, now I'm just waiting for 7 weeks to come and go.  I also need to start washing clothes.  Dairy Queen is my new best friend... I LOVE Misty Freezes, go buy one."
"eventtime","2005-09-26 14:48:00"
"url","http://riotgrrrrl86.livejournal.com/5083.html"
"userid","12882"
"itemid","18"
"event","I can't fucking believe this... I went to visit my mom and grandma about a week ago, and while I was there my grandma started to talk shit about my mom.  I have no problem with that because I had a few things to say about her myself.  So after we were done, my grandma wanted to assure that the conversation would stay between us.. and I thought it would.  Well, it didn't... my grandma told my mom EVERYTHING I said, and when I told my mom that my grandma was in fact the culprit and had started the whole convo.  she (my grandma) denied it! She was the one that said my mom was stuck up, ungrateful, rude, etc.  All I said was that it was unfair that my mom could go out and buy herself $60 necklaces, but complains about helping me out.  Now my mom's pissed at me, she thinks I'm lying about my grandma's part in it, and she basically just ruined my entire day (Seeing as how she called me to confront me about it at 10am).  DRAMA!"
"eventtime","2005-08-30 10:51:00"
"current_moodid","24"
"url","http://riotgrrrrl86.livejournal.com/4609.html"
"userid","12882"
"itemid","17"
"event","Today has been a very good one... I found myself a midwife and David got a job that pays $600 each week.  Considering the fact that I don't pay rent (only utilities) that's a TON of money, I'm also getting a job. At the local Goodwill
I can't wait... MONEY.  Now I can spoil my baby"
"eventtime","2005-08-09 14:07:00"
"current_moodid","59"
"url","http://riotgrrrrl86.livejournal.com/4525.html"
"userid","12882"
"itemid","16"
"event","We're moved in our new house, and I found out that not only is our rent dirt cheap, its totally FREE!  WTF, that's tits.  I still haven't found a doctor, but that's not too bad considering I have one last appt. in Bloomington.  I figured that I just might get myself a midwife... I had been considering it while I was living in Bloomington, but then decided against it for the baby's sake... but am now rethinking it.  Back to the house:  Every single time I walk into it, I get stressed bc it is so messy... I have so much shit to unpack, I just don't know where to start.  So I just hang out at my dad's until its bedtime, then walk across the street and sleep.  

The only thing I've managed to get done so far is painting the closets, and putting clothes in the dressers... what can I say?  I'm a lazy bitch.  
Oh and another thing, trying to get a hold of all my old friends SUCKS."
"eventtime","2005-08-03 20:24:00"
"current_moodid","40"
"url","http://riotgrrrrl86.livejournal.com/4280.html"
"userid","12882"
"itemid","15"
"event","Moving is such a pain in my ass... David and I could no longer afford our luxiorious apt. my dad decided to buy a house and rent it out to us for cheap!  It needs quite some work though, but other than that I love it.  It has 3 bedrooms, and is very spacious.  The only problem is that it's in Terre Haute, meaning I have to switch doctors and all that fun shit.  I have a date set for my baby shower, but seeing as how there are 40+ people on my list I may have to have two seperate showers... what fun!  I'm off to finish packing and moving."
"eventtime","2005-07-29 10:12:00"
"current_moodid","99"
"url","http://riotgrrrrl86.livejournal.com/3995.html"
"userid","12882"
"itemid","14"
"event","It's a BOY!!!  I'm not disappointed at all... it seems to be the case that if you want a girl/boy you always get the opposite.  I knew inside that I was having a boy, and I honestly think that every child I have will be a boy.  Get used to it"
"eventtime","2005-06-17 09:33:00"
"current_moodid","125"
"url","http://riotgrrrrl86.livejournal.com/3819.html"
"userid","12882"
"itemid","13"
"event","I did it!  On Friday, I graduated... it was the most awesome shit ever.  Needless to say, I didn't get a card from my mom or grandma.  I don't care though because they are both stuck up, and I don't like either one too much.  As for the job shit... it's not coming along so well.  I am currently $600 in debt, and have no money to pay for it.  I also don't have the money to pay for bills, so I don't know what I will do!  David doesn't have a job either, but he really isn't looking too hard, but I can't say anything to him about it because that makes me a bitch!  My friend Amanda and her baby have been staying here at my house for about a week now... I love them so much.  I'm in a really weird mood right now, and don't have a whole lot to say.  OH WAIT!!!  I find out what I'm having in 2 days!!!  I can't stand it anymore, I hope its a little girl, but if not that will be fine.  I've also only gained 4lbs since my last visit to the doctor, making my total weight gain 8lbs.  I'm a little worried but the lady assured me it was normal and that I proably did need to eat just a little more... I don't know if I can do that.  I eat so much as it is, I just have no vehicle, which means I walk 10 or more miles each day!  Well, I'm off to go eat something."
"eventtime","2005-06-14 17:23:00"
"current_moodid","64"
"url","http://riotgrrrrl86.livejournal.com/3557.html"
"userid","12882"
"itemid","12"
"event","I forgot to post this:  I've decided to get myself a MIDWIFE!!!  I've come to the realization that a hospital birth is not for me... I don't want to be pressured into getting an epidural.  At home is where its at!"
"eventtime","2005-06-03 20:07:00"
"url","http://riotgrrrrl86.livejournal.com/3288.html"
"userid","12882"
"itemid","11"
