"names","values"
"itemid","6"
"event","I SPOOKE TO TEH COLEST PERZON EVAR. she had teh bboobiez. i waznt peying ettention 2 hr munhc butt i noes she wants me. i ipress all the girlz wit my INANE super mario bros skillz. 


WORD TO YER MOTHR

where r u earthbound? mr satunr is attacking oh no!"
"eventtime","2005-05-24 13:08:00"
"current_moodid","6"
"url","http://robottcreed.livejournal.com/1553.html"
"userid","12928"
"itemid","5"
"event","TEH CREED LIVES SILLT

i wuz mia cuz the military wuz after my brain. it's like teh matrix. u knw wat i em sayin"
"eventtime","2005-03-08 10:21:00"
"url","http://robottcreed.livejournal.com/1425.html"
"userid","12928"
"itemid","4"
