"names","values"
"itemid","29"
"event","This is me being ok with things.
With everything, seemingly."
"eventtime","2005-11-14 00:31:00"
"url","http://silhouettesky.livejournal.com/7528.html"
"userid","13890"
"itemid","28"
"event","Hmm. 
Life is suddenly purposeful.
I am stressed but very happy.
I am drowning but welcoming the change.

There are things that I previously dismissed without hesitation that have come into question. There are moments that just feel like a puzzle piece has been put into place in my life and the void is that much smaller. I guess that what gets me through these rough circumstances is feeling like I'm doing exactly what I should be doing."
"eventtime","2005-11-01 12:59:00"
"url","http://silhouettesky.livejournal.com/7372.html"
"userid","13890"
"itemid","27"
"event","What to say, what to say?

A new friend has given me so much recently. 
One of the closest friends I've had in years.
He and I really are the same.

Yep, everything is still damn perfect."
"eventtime","2005-10-17 19:17:00"
"url","http://silhouettesky.livejournal.com/7055.html"
"userid","13890"
"itemid","26"
"event","I am... elated.
Everything is damn perfect right now.

Karma, I suppose. =)
Can't wait for my mini-vacation this weekend.

It all falls to the blessing in disguise of the hanged man."
"eventtime","2005-10-10 18:55:00"
"url","http://silhouettesky.livejournal.com/6742.html"
"userid","13890"
"itemid","22"
"event","Wooo. Aaron's birthday dinner party last night.
I made pizza and teriyaki chicken kabobs with garlic bread and icecream tiramisu that turned out very well.
I love being a hostess.

Poor bunny has to work the rest of the weekend. 
San Leandro on Sunday and then I say my goodbyes to Tracy next weekend.

Note to Self:
Stop procrastinating."
"eventtime","2005-10-07 11:39:00"
"url","http://silhouettesky.livejournal.com/5703.html"
"userid","13890"
"itemid","21"
"event","From a letter I began to write yesterday:

<i>It feels good to write again. Pen in hand I am a stream of thought; giving all that I have to the paper. All that I am is here in harsh black scribbles against the clean white paper. I think I can turn a blind eye to my evils now and never look back. A life of regrets isn't worth living. I've seen some of the worst and made it out if only to say that I'm not afraid anymore.</i>

I don't know. I guess I felt like posting it."
"eventtime","2005-10-05 14:06:00"
"url","http://silhouettesky.livejournal.com/5404.html"
"userid","13890"
"itemid","20"
"event","When a day is good it's really good. 
<3"
"eventtime","2005-09-29 14:47:00"
"url","http://silhouettesky.livejournal.com/5371.html"
"userid","13890"
"itemid","19"
"event","Aaron is drunk and playing the WoW.
I am on the phone with the Jme.
Her best words of the night: <i>Never play Uno for shots because Aaron always ends up pole dancing in pink slippers.</i>
I almost forgot how great my birthday was. <3

Hahahahahhaha. 
This is me snapping back into place.
Since when did human being become human doing anyway?"
"eventtime","2005-09-25 00:21:00"
"url","http://silhouettesky.livejournal.com/5053.html"
"userid","13890"
"itemid","18"
"event","Hello Weekend!"
"eventtime","2005-09-22 20:53:00"
"url","http://silhouettesky.livejournal.com/4689.html"
"userid","13890"
"itemid","17"
"event","I think that I had something great and wonderful planned out for this entry at one point. Oh well. 

I finished a book I was reading and now I get to crack open my very own copy of Atlas Shrugged (which I'm way too excited about) The clerk that rang me up at the bookstore gushed about the book for 10min or so and about how he enjoyed it <b>so</b> much. =)

Time has new units: the time between classes and the time between books."
"eventtime","2005-09-21 11:27:00"
"url","http://silhouettesky.livejournal.com/4375.html"
"userid","13890"
"itemid","16"
"event","I've been meaning to write something but I don't think that writing it down will help to change anything. Today and tomorrow and the day after are always going to be the same. 

I lost my checkbook.
I'll have to remember to call about that tomorrow.

I'm applying for graduation, not like its anything worth the fuss that my parents are making. Of course they make a big deal out of everything. This time next year I'll be in grad school hopefully (meaning even it costs me an arm and a leg to get there). 

I wish Aaron was as enthusiastic."
"eventtime","2005-09-18 17:03:00"
"url","http://silhouettesky.livejournal.com/4312.html"
"userid","13890"
"itemid","14"
"event","Spending $400 in the blink of an eye is nothing compared to the $900 I spent every semester for the last 3 years. Twelve units isn't nearly enough to keep me busy when I'm used to nineteen and twenty. 

I guess that this is where a job would come in handy to kill some weekly hours. Hmmm... maybe."
"eventtime","2005-08-22 21:17:00"
"url","http://silhouettesky.livejournal.com/3802.html"
"userid","13890"
"itemid","13"
"event","What to say? What to say?

School soon and I will be broke again. I still want to get away; this summer only fueled my destructive tendencies. I have to fight the urge to pack a few things and disappear. I guess that Aaron is the only thing keeping me here. 

I'm glad he's not as crazy as I am. 
I only have four more days of summer."
"eventtime","2005-08-20 15:14:00"
"url","http://silhouettesky.livejournal.com/3339.html"
"userid","13890"
"itemid","10"
"event","I'm with family until Tuesday.

Things are strange here and the smell of new carpet is driving me insane. I feel like I shouldn't touch anything. I wish that Aaron didn't have to work; Monday is such a long ways away. I can't believe this is the last time I will ever see my childhood home and they won't even let me say goodbye peacefully. 

Summer's a joke."
"eventtime","2005-05-27 00:21:00"
"url","http://silhouettesky.livejournal.com/2674.html"
"userid","13890"
"itemid","7"
"event","Why is it still raining? I thought that it was supposed to be April showers and May flowers. 

Moving is such a pain in the neck. There was a three to four hour window yesterday that we tried to move everything that we could before Aaron went to work. This resulted in: almost everything for the kitchen, dining room table and chairs, tv with dvd player and gamecube, the vacuum cleaner, some of my books, and an air mattress. It was a sad house-warming with no where for anyone to really sit. Still it was nice and almost all of my girls made it over to see the place. I heard it said that ""this is college life, sitting on an air mattress in the living room and talking about how broke we all are."" 

Broke... don't even get me started on broke. I'm afraid to set up the phone and internet because of the money it's going to cost. I wish that I could start work before June. *sigh* And now there is a term paper waiting to be written."
"eventtime","2005-05-08 11:10:00"
"url","http://silhouettesky.livejournal.com/1814.html"
"userid","13890"
"itemid","6"
