"names","values"
"itemid","5"
"event","Well, me and Amelia went to the pool AGAIN today, cant say it was as fun as the beach though. We did some contests, and that was fun and we rode in the woods, not so fun, but whateverr. I am really tired and cold. Even though  its 73 degrees out. Hmmmm.  Today was my last offical day as cat lady, which i am very happy about!!!!  LOL"
"eventtime","2005-07-05 16:48:00"
"current_moodid","96"
"url","http://abuggaboo23.livejournal.com/1309.html"
"userid","228"
"itemid","3"
"event","I am so bored! Today my mom said that we have to go pick up my dad @ 2:00 and its a 2 hour drive there and back! But she said if someone calls me, then i wont have to go. HAHA Amelia (hint hint) jk jk
I am so tired from going to the beach yesterday and riding my bike back and forth from devons house all day! (well i may be a exagerating a litte) lol. But the BEACH was so much fun. It was yellow so the waves were amazing and me and amelia had so much fun there! haha it was amazing. Well i have to go, oh did i tell you that there was the humoungos cat on my porch that had like a spiked collar on and he scared me so much because he like twisted his head all the way around and like stared at me and it was so creepy! haha okay i really have to go now! bye"
"eventtime","2005-07-03 09:56:00"
"current_moodid","43"
"url","http://abuggaboo23.livejournal.com/956.html"
"userid","228"
