"names","values"
"itemid","41"
"event","I'm sorry Folks . . .  sadly the Day has come that I make this Friends only instead of closeing it . . . too many people out there in the world looking to cause harm . . . If you are one of these people (And you know who you are) nice try but maybe you can get some Tips from your Momma on how to ruin peoples lives."
"eventtime","2006-01-16 06:44:00"
"url","http://screamtotakeme.livejournal.com/10623.html"
"userid","13423"
"itemid","40"
"event","I'm going to a shrink tomorrow . . . thought I would never start an LJ entry like that.

But yea . . . basically the other person dosen't feel for me in the same way I felt for them . . . thats ok but now I feel like I'm 10,000 miles from them now.  All my friends in Lake View are fighting over Kim right now and I just don't know what to do with that and then theres ppl loseing babys and people hateing me and . . . yea . . . I'm preety much in need of a shrink . . . I want to cry but I physicall can't right now . . . I just hurt . . . I have noone to love me in the way I want to love someone . . . I just want a person that I know will be there for me untill I die . . . I want a soul mate damnit . . . I want a friend, a lover, a companion . . . I have friends but I will never trust them with secrets for the rest of my life . . . I just don't want to love anymore . . . I just want to go to a mountain and stand at its top and scream to the world that its not worth it anymore . . . I want to physically die.  I don't want to be here anymore . . . but I can't do that because others care about me.  I can't do it because I do have an undiscovered reason in this world . . . I've only loved 2 other ppl like I loved this person and I know from that that I will never stop loving them . . . 
 
 
I don't know why I post on here anymore . . . noone reads what I say.  Noone out there cares to read about me.  I'm goin to stop posting now.  Good life to everyone."
"eventtime","2006-01-09 01:34:00"
"url","http://screamtotakeme.livejournal.com/10397.html"
"userid","13423"
"itemid","39"
"event","SSBjYW4ndCBiZWxpZXZlIGl0IC4gLiAuIGJhY2sgd2l0aCB0aGUgcGVyc29uIGZvciB0aHJlZSBkYXlzIGFuZCBJIGZlZWwgYXMgSSBkaWQgYmVmb3JlIEkgbGVmdCAuIC4gLkkgd2FubmEganVzdCBjb21lIG91dCBhbmQgdGVsbCB0aGUgcGVyc29uIEkgbG92ZSB0aGVtIC4gLiAuIEkgY2FuJ3QgZG8gdGhhdCB0aG8gLiAuIC4gaXQgd2lsbCBuZXZlciB3b3JrIG91dCAuIC4gLiB3aHkgYW0gSSBodXJ0aW5nIG15c2VsZiBsaWtlIHRoaXMgLiAuIC4gV2h5IGRvIEkgaGF2ZSB0aGVzZSBlbW90aW9ucz8gIEknbSBzbyBzY2FyZWQgYW5kIHlldCBJJ20gbm90IC4gLiAuIEknbSBzaWNrIHdpdGggbXlzZWxmIC4gLiAuIEknbSBzdWNoIGEgY293YXJkIGFuZCBJIGRvbid0IGtub3cgd2h5IC4gLiAuIEkndmUgaGFkIHRoZSBmZWVsaW5nIG9mICJJIHdhbnQgdG8gZGllIiBmb3IgdGhlIHBhc3QgY291cGxlIG9mIHdlZWtzIGFuZCBJIGp1c3QgY2FuJ3QgZ2V0IG92ZXIgaXQuIA0KDQoNCg0KDQoNCg0KDQoNCg0KSSdtIGluIGxvdmUgYW5kIEknbSBzY2FyZWQgaXRzIGdvaW5nIHRvIGh1cnQuDQoNCg0KDQoNCg0KV2lsbCBzb21lb25lIHNhdmUgbWU/ICBJIGp1c3QgbmVlZCBzb21lb25lIHRvIHRhbGsgdG8uDQoNCg0KU3RvY2tob2xtIFN5bmRyb21lIA0KYnkgQmxpbmsgMTgyIA0KDQpNeSBkZWFyZXN0IA0KSSd2ZSBtaXNzZWQgeW91IHZlcnkgdmVyeSBtdWNoIHNpbmNlIHRoYXQgbGFzdCBuaWdodCB3ZSB3ZXJlIA0KdG9nZXRoZXIsIGFuZCB3aWxsIGhvbGQgdGhhdCBuaWdodCBlc3BlY2lhbGx5IGluIG15IG1lbW9yaWVzIA0KZm9yIHllYXJzIHRvIGNvbWUuIA0KSSd2ZSBiZWVuIHR1cm5pbmcgaXQgb3ZlciBhbmQgb3ZlciBpbiBteSBtaW5kIGxhdGVseS4gDQpJJ3ZlIHJlYWQgeW91ciBsZXR0ZXIgdGhyb3VnaCBhdCBsZWFzdCBmb3VyIHRpbWVzLCBhbmQgd2lsbCBwcm9iYWJseSByZWFkIGl0IA0KbW9yZSB0aW1lcyBiZWZvcmUgSSdtIHRocm91Z2guIA0KSSd2ZSBiZWVuIHNpdHRpbmcgaGVyZSBsb29raW5nIGF0IHlvdXIgcGljdHVyZSBhbmQgZ2V0dGluZyBtb3JlIGhvbWVzaWNrIA0KZXZlcnkgbWludXRlLiANCkkndmUgd2FudGVkIHRoYXQgcGljdHVyZSBtb3JlIHRoYW4gYW55dGhpbmcgZWxzZSBJIGtub3cgb2YsIGV4Y2VwdCwgb2YgDQpjb3Vyc2UsIHlvdSB5b3Vyc2VsZi4gDQpJIGtlZXAgdGhpbmtpbmcgb2YgeW91IGRhcmxpbmcuIEkga2VlcCB3aXNoaW5nIEkgY291bGQgYmUgaG9tZSB3aXRoIHlvdS4gDQpJIHdhbnQgdG8gbGVhdmUgaW4gdGhlIHdvcnN0IHBvc3NpYmxlIHdheSBzbyBJIGNhbiBjb21lIGhvbWUgdG8gc2VlIHlvdSwgDQpidXQgdGhpbmdzIGRvbuKAmXQgbG9vayB0aGF0IGdvb2Qgb24gdGhhdCBzdWJqZWN0LiANClRoaXMgd2FyIGhhcyBzcG9pbGVkIGEgbG90IG9mIHRoaW5ncyBmb3IgZXZlcnlvbmUgSSBndWVzczsgDQpJJ3ZlIG5ldmVyIGJlZW4gc28gbG9uZXNvbWUgaW4gbXkgbGlmZSBhcyBJIGFtIHJpZ2h0IG5vdy4gDQpJJ20gY29tcGxldGVseSBsb3N0IHdpdGhvdXQgeW91IGRhcmxpbmcuIA0KSSBuZXZlciByZWFsaXNlZCB0aGF0IEkgY291bGQgbWlzcyBhbnkgb25lIHBlcnNvbiBzbyBtdWNoLiANCkkganVzdCBob3BlIGl0IHdvbid0IGJlIHRvbyBtdWNoIGxvbmdlciB1bnRpbCBJJ20gYWJsZSB0byBiZSB3aXRoIHlvdSBhZ2Fpbi4gDQpBbmQgbGl2ZSBhIHNhbmUgYW5kIG5vcm1hbCBsaWZlLg0KDQpUaGlzIGlzIHRoZSBmaXJzdCAodGhpbmcgSSByZW1lbWJlcikgDQpOb3cgaXQncyB0aGUgbGFzdCAodGhpbmcgbGVmdCBvbiBteSBtaW5kKSANCkFmcmFpZCBvZiB0aGUgZGFyayAoZG8geW91IGhlYXIgbWUgd2hpc3BlcikgDQpBbiBlbXB0eSBoZWFydCAocmVwbGFjZWQgd2l0aCBwYXJhbm9pYSkgDQpXaGVyZSBkbyB3ZSBnbyAobGlmZSdzIHRlbXBvcmFyeSkgDQpBZnRlciB3ZSdyZSBnb25lIChsaWtlIG5ldyB5ZWFycyByZXNvbHV0aW9ucykgDQpXaHkgaXMgdGhpcyBoYXJkIChkbyB5b3UgcmVjb2duaXplIG1lKSANCkkga25vdyBJJ20gd3JvbmcgKGJ1dCBJIGNhbid0IGhlbHAgYmVsaWV2aW5nKSANCg0KSSdtIHNvIGxvc3QgDQpJJ20gYmFyZWx5IGhlcmUgDQpJIHdpc2ggSSBjb3VsZCBleHBsYWluIG15c2VsZiANCkJ1dCB3b3JkcyBlc2NhcGUgbWUgDQpJdCdzIHRvbyBsYXRlIA0KVG8gc2F2ZSBtZSANCllvdSdyZSB0b28gbGF0ZSANCllvdSdyZSB0b28gbGF0ZSANCg0KWW91J3JlIGNvbGQgd2l0aCBkaXNhcHBvaW50bWVudCANCldoaWxlIEknbSBkcm93bmluZyBpbiB0aGUgbmV4dCByb29tIA0KVGhlIGxhc3QgY29udGFnaW91cyB2aWN0aW0gb2YgdGhpcyBwbGFndWUgYmV0d2VlbiB1cyANCkknbSBzaWNrIHdpdGggYXBwcmVoZW5zaW9uIA0KSSdtIGNyaXBwbGVkIGZyb20gZXhoYXVzdGlvbiANCkFuZCBJIGRyZWFkIHRoZSBtb21lbnQgd2hlbiB5b3UgZmluYWxseSBjb21lIHRvIGtpbGwgbWUgDQoNClRoaXMgaXMgdGhlIGZpcnN0ICh0aGluZyBJIHJlbWVtYmVyKSANCk5vdyBpdCdzIHRoZSBsYXN0ICh0aGluZyBsZWZ0IG9uIG15IG1pbmQpIA0KQWZyYWlkIG9mIHRoZSBkYXJrIChkbyB5b3UgaGVhciBtZSB3aGlzcGVyKSANCkFuIGVtcHR5IGhlYXJ0IChyZXBsYWNlZCB3aXRoIHBhcmFub2lhKSANCldoZXJlIGRvIHdlIGdvIChsaWZlJ3MgdGVtcG9yYXJ5KSANCkFmdGVyIHdlJ3JlIGdvbmUgKGxpa2UgbmV3IHllYXJzIHJlc29sdXRpb25zKSANCldoeSBpcyB0aGlzIGhhcmQgKGRvIHlvdSByZWNvZ25pemUgbWUpIA0KSSBrbm93IEknbSB3cm9uZyAoYnV0IEkgY2FuJ3QgaGVscCBiZWxpZXZpbmcp"
"eventtime","2006-01-07 11:01:00"
"current_moodid","92"
"url","http://screamtotakeme.livejournal.com/10050.html"
"userid","13423"
"itemid","38"
"event","After a FuCkEd up X-mas season and alot of changes in my life . . . it feels so damn good to be back at Winthrop.  Not sure yet but I think the infactuation has ceased to exist along with all of my other hopes of love . . . who needs that proverbial ""Oxygen"" when I have Helium . . . sorry had to be here to get that one . . . but yea . . . life is getting better . . . I EVEN BOUTE ME MYSELF AN IPOD WEDNESDAY Morning . . . but yea . . . Some things in the world are just hilarious like this website I created a few weeks ago (In honor of Russ) gokillyourself.bravehost.com . . . OMG I'm so mean but whatever . . . well let me go do a 15 min Walkthrew of this place . . . Take care all cows and remember to caio.

<table width=350 align=center border=0 cellspacing=0 cellpadding=2><tr><td bgcolor=""#999999"" align=center><font face=""Georgia, Times New Roman, Times, serif"" style='color:black; font-size: 14pt;'><b>Your Power Color Is Lime Green</b></font></td></tr><tr><td bgcolor=""#CCCCCC""><center><img src=""http://images.blogthings.com/whatsyourpowercolorquiz/lime-green.jpg"" height=""100"" width=""100""></center><font color=""#000000"">
At Your Highest:

You are adventurous, witty, and a visionary.

At Your Lowest:

You feel misunderstood, like you don't fit in.

In Love:

You have a tough exterior, but can be very dedicated.

How You're Attractive:

Your self-awareness and confidence lights up a room.

Your Eternal Question:

""What else do I need in my life?""</font></td></tr></table><div align=""center""><a href=""http://www.blogthings.com/whatsyourpowercolorquiz/"">What's Your Power Color?</a></div>"
"eventtime","2006-01-06 00:32:00"
"current_moodid","17"
"url","http://screamtotakeme.livejournal.com/9821.html"
"userid","13423"
"itemid","37"
