"names","values"
"itemid","318"
"event","im moving..

<a href=""http://aly_sloot.livejournal.com"">aly_sloot!</a>
<a href=""http://aly_sloot.livejournal.com"">aly_sloot!</a>
<a href=""http://aly_sloot.livejournal.com"">aly_sloot!</a>

so add me."
"eventtime","2006-03-13 11:52:00"
"url","http://eff-u-aurora.livejournal.com/81563.html"
"userid","4438"
"itemid","56"
"event","<center><img src=""http://img.photobucket.com/albums/v14/whenimwithyou/locck.bmp""> <img src=""http://img.photobucket.com/albums/v14/whenimwithyou/locck.bmp""> <img src=""http://img.photobucket.com/albums/v14/whenimwithyou/locck.bmp"">
<img src=""http://i50.photobucket.com/albums/f333/alysenthereckless/fuckinnoise.jpg"">
FRIENDS ONLY!!!
{comment to be added}"
"eventtime","2004-04-23 22:50:00"
"url","http://eff-u-aurora.livejournal.com/14380.html"
"userid","4438"
