"names","values"
"itemid","82"
"event","Leave a coment saying 3 things you like about me and one thing you dont like =) ohh,and please leave you namee =)"
"eventtime","2005-04-09 13:50:00"
"url","http://kelly-rox4life.livejournal.com/21122.html"
"userid","7993"
"itemid","81"
"event","if i were a month i would be: jUnE
if i were a day of the week i would be: Saturday
if i were a time of day i would be: 7:00 p.m.
iF i WeRe A......



if i were a planet i would be: mars =) haha 
if i were a sea animal i would be: a mermaid =) haha
if i were a piece of furniture: a bedd
if i were a sin i would be: haha =)
if i were a liquid i would be: hot chocolateee
if i were a tree i would be: a maple tree i guess
if i were a flower/plant i would be: a daisy
if i were a kind of weather i would be: a sunn shining day 
if i were a musical instrument i would be: the electric guitarr
if i were an animal i would be: ummm i guess a bird 
if i were a color i would be: PINNKK
if i were a vegetable i would be: hmmmm
if i were a sound i would be: laughter
if i were a food i would be: an M&M cookiee =))
if i were a place i would be: chicagoo
if i were a material i would be: umm haha 
if i were a taste i would be: chocolatE
if were a scent i would be: BlUe  
if i were a word i would be: marvalous =)
if i were a body part i would be: lippss"
"eventtime","2005-04-09 13:41:00"
"url","http://kelly-rox4life.livejournal.com/20969.html"
"userid","7993"
"itemid","80"
"event","<P>hey guyss....</P>
<P>im really bored so i decided to make a quick update....welll tomorowss the CONCERTT im soo excitedd...iits gunna be sooo awesomeee =)) o yea and things are a + for me and joe =) even tho we cant do sumthing till sunday...o well it will be worth ittt =))</P>
<P>wwelll im off to go tanning then to the game with carly ii work tonite from 7-10 then i think me car and emily might do sumthing ...well ttyl christina </P>"
"eventtime","2005-04-08 15:06:00"
"url","http://kelly-rox4life.livejournal.com/20693.html"
"userid","7993"
"itemid","79"
