"names","values"
"itemid","39"
"event","<P><FONT color=#33ccff>sitting all alone <BR>in your room dark and cold<BR>trying to figure out this life<BR>why doesnt it fit<BR>the picture perfect mold</FONT></P>
<P><FONT color=#33ccff>instead you sit there<BR>scars on your wrist<BR>and tears in your eyes <BR>but no one understands (no one understands)<BR>why you need to cry</FONT></P>
<P><FONT color=#33ccff>pre chorus<BR>they dont see<BR>what lays inside<BR>they dont see<BR>all that you hide<BR>they dont know<BR>how you feel<BR>they dont know<BR>life had no appeal</FONT></P>
<P><FONT color=#33ccff>chorus:<BR>so fucked up<BR>nothing to do<BR>sitting here(sitting here)<BR>thinking bout you<BR>so torn up <BR>dont know what to say<BR>sitting here(sitting here)<BR>trying to forget today</FONT></P>
<P><FONT color=#33ccff>parents dont see<BR>who you really are<BR>they dont belive in you <BR>in your ways <BR>dont believe you can go far</FONT></P>
<P><FONT color=#33ccff>starting to believe<BR>the cruel words you hear<BR>feeling its no worth trying<BR>not worth living you life<BR>like this one here</FONT></P>
<P><FONT color=#33ccff>pre chorus:<BR>they dont see<BR>what lays inside<BR>they dont see<BR>all that you hide<BR>they dont know<BR>how you feel<BR>they dont know<BR>life had no appeal</FONT></P>
<P><FONT color=#33ccff>chorus:<BR>so fucked up<BR>nothing to do<BR>sitting here(sitting here)<BR>thinking bout you<BR>so torn up <BR>dont know what to say<BR>sitting here(sitting here)<BR>trying to forget today</FONT></P>
<P><FONT color=#33ccff>its not time to give in<BR>you cant let them win<BR>theres only one of you<BR>let that shine through<BR>if they can see whats there<BR>then there is no reason to care<BR>this is your life, your choice<BR>now let the world,hear your voice<BR></FONT></P>"
"eventtime","2005-04-23 15:58:00"
"current_moodid","64"
"url","http://november-rain-0.livejournal.com/10039.html"
"userid","11185"
"itemid","38"
"event","this isnt completed yet....

Lord forgive me
               B.P.H. feb.21,2005
i pray to god day after day
please dont let me fall
dont let me waste away

cause if i were to be gone
would others still belong
in this world
can they last 
and forget 
i was part of the past

lord can you forgive me
for what ive done
im sorry i didnt like this life
sorry i wasnt having fun
now you look at me 
knocking on your door
these words you told me
""your not wecome in heaven anymore""

""i can not forgive
for the crime you committed
you quite the life
i gave you to live
wish you would have admitted
that you were wrong 
in believeing 
that in this world you dont belong""

i look upon the ground
and shead a tear
why didnt i live for the ones
i hold so dear
i didnt give them the chance
to help me through
i gave up on them
and i gave up on you

the tears still flow
as  i turn around
and say to hell i go
a voice called out ""wait""
and someone opened 
the pearly gate

you are welcome now
you figured out how
you went wrong 
and that anywhere 
you can belong
i hold out my hand 
to help you 
to fully understand
that people care for you"
"eventtime","2005-02-23 16:38:00"
"current_moodid","129"
"url","http://november-rain-0.livejournal.com/9933.html"
"userid","11185"
"itemid","37"
"event","the voice       Feb 1,2005
                     B.P.H.
theres this voice, he lives in my head
 he speaks of dreadful things
and hurtful words are said
almost like a whisper in my ear
he tells me,"" i want you dead""

painful words
and no tears to cry
 sometimes i think
""maybe ill let him win
maybe ill just die""

hes mad at me, dont know why
the visions he sends
make me cry
i dont want to fight him anymore
i dont want to try

hes controling
but he cant control me
i'll break away from him
and soon, from ""the voice"", 
i'll be free"
"eventtime","2005-02-18 23:05:00"
"current_moodid","64"
"url","http://november-rain-0.livejournal.com/9681.html"
"userid","11185"
"itemid","36"
