"names","values"
"itemid","4"
"event","This is a good book it has a lot of substance. It keeps you guessing to the end."
"eventtime","2005-04-12 08:34:00"
"current_moodid","113"
"url","http://lilb20052004.livejournal.com/1173.html"
"userid","8836"
"itemid","3"
"event","this still the worst book i have every read."
"eventtime","2005-04-07 08:47:00"
"url","http://lilb20052004.livejournal.com/814.html"
"userid","8836"
"itemid","2"
"event","this book is finally getting somewhere. It didn't make sence at first but it is getting better."
"eventtime","2005-04-07 08:32:00"
"url","http://lilb20052004.livejournal.com/561.html"
"userid","8836"
"itemid","1"
"event","this is the worst book i have ever read"
"eventtime","2005-03-31 08:44:00"
"current_moodid","5"
"url","http://lilb20052004.livejournal.com/257.html"
"userid","8836"
