"names","values"
"itemid","146"
"event","40 days until we move in.  We are going to begin the rest of our lives together."
"eventtime","2005-06-11 18:53:00"
"url","http://moral-laurel.livejournal.com/37559.html"
"userid","10370"
"itemid","142"
"event","<table style=""font-family: serif; color: black; font-size: 12pt;"" width=""350"" align=center border=""0"" cellspacing=""8"" cellpadding=""5"">
<tr><td align=""center"" bgcolor=""#FF99CC"">
<h3 style=""margin: 0; border: 0;"">The Keys to Your Heart</h3>
</td></tr>
<tr><td bgcolor=""#FF9FD2"">
You are attracted to those who are unbridled, untrammeled, and free.</td></tr>
<tr><td bgcolor=""#FFA6D9"">
In love, you feel the most alive when your lover is creative and never lets you feel bored.</td></tr>
<tr><td bgcolor=""#FFACDF"">
You'd like to your lover to think you are loyal and faithful... that you'll never change.</td></tr>
<tr><td bgcolor=""#FFB3E6"">
You would be forced to break up with someone who was ruthless, cold-blooded, and sarcastic.</td></tr>
<tr><td bgcolor=""#FFB9EC"">
Your ideal relationship is open. Both of you can talk about everything... no secrets.</td></tr>
<tr><td bgcolor=""#FFBFF2"">
Your risk of cheating is zero. You care about society and morality. You would never break a commitment.</td></tr>
<tr><td bgcolor=""#FFC6F9"">
You think of marriage something you've always wanted... though you haven't really thought about it.</td></tr>
<tr><td bgcolor=""#FFCCFF"">
In this moment, you think of love as commitment. Love only works when both people are totally devoted.</td></tr>
</table>

<div align=""center"">
<a href=""http://www.blogthings.com/keystoyourheartquiz/"">What Are The Keys To Your Heart?</a>
</div>"
"eventtime","2005-05-11 17:05:00"
"url","http://moral-laurel.livejournal.com/36598.html"
"userid","10370"
"itemid","138"
"event","Hmmm."
"eventtime","2005-04-03 19:12:00"
"url","http://moral-laurel.livejournal.com/35442.html"
"userid","10370"
"itemid","136"
"event","*Taps finger on lower lip*

I haven't been here in a while."
"eventtime","2005-02-17 12:58:00"
"url","http://moral-laurel.livejournal.com/35007.html"
"userid","10370"
"itemid","134"
"event","Life is rolling along."
"eventtime","2005-01-16 08:34:00"
"url","http://moral-laurel.livejournal.com/34371.html"
"userid","10370"
"itemid","133"
"event","I'm not where I want to be but I know I will be soon."
"eventtime","2005-01-10 09:04:00"
"url","http://moral-laurel.livejournal.com/34199.html"
"userid","10370"
"itemid","132"
"event","I've got 5 months today!"
"eventtime","2005-01-04 16:21:00"
"url","http://moral-laurel.livejournal.com/33911.html"
"userid","10370"
"itemid","131"
"event","<table width=400 align=center border=1 bordercolor=black cellspacing=0 cellpadding=2>
<tr><td bgcolor=#66CCFF align=center>
<font face=""Georgia, Times New Roman, Times, serif"" style='color:black; font-size: 14pt;'>
<b>You Are a Visionary Soul</b></font></td></tr>
<tr><td bgcolor=#FFFFFF>
<center>
<img src=""http://www.quizdiva.net/bt/visionary-soul.jpg"">
</center>
<font color=""#000000"">
You are a curious person, always in a state of awareness.
Connected to all things spiritual, you are very connect to your soul.
You are wise and bright: able to reason and be reasonable.
Occasionally, you get quite depressed and have dark feelings.

You have great vision and can be very insightful.
In fact, you are often profound in a way that surprises yourself.
Visionary souls like you can be the best type of friend.
You are intuitive, understanding, sympathetic, and a good healer.

Souls you are most compatible with: <a href=""http://www.blogthings.com/oldsoul.html"">Old Soul</a> and <a href=""http://www.blogthings.com/peacemakersoul.html"">Peacemaker Soul</a>
</font></td></tr></table>

<div align=""center"">
<a href=""http://www.blogthings.com/kindsoulquiz.html"">What Kind of Soul Are You?</a>
</div>"
"eventtime","2004-12-29 19:46:00"
"url","http://moral-laurel.livejournal.com/33636.html"
"userid","10370"
"itemid","130"
"event","<table width=400 align=center border=1 bordercolor=black cellspacing=0 cellpadding=2>
<tr><td bgcolor=#66CCFF align=center>
<font face=""Georgia, Times New Roman, Times, serif"" style='color:black; font-size: 14pt;'>
<b>Your Dominant Intelligence is Logical-Mathematical Intelligence</b></font></td></tr>
<tr><td bgcolor=#FFFFFF>
<center>
<img src=""http://www.quizdiva.net/bt/logical.jpg"">
</center>
<font color=""#000000"">
You are great at finding patterns and relationships between things.
Always curious about how things work, you love to set up experiments.
You need for the world to make sense - and are good at making sense of it.
You have a head for numbers and math ... and you can solve almost any logic puzzle.

You would make a great scientist, engineer, computer programmer, researcher, accountant, or mathematician.
</font></td></tr></table>

<div align=""center"">
<a href=""http://www.blogthings.com/intelligencequiz.html"">What Kind of Intelligence Do You Have?</a>
</div>"
"eventtime","2004-12-29 06:21:00"
"url","http://moral-laurel.livejournal.com/33293.html"
"userid","10370"
"itemid","129"
"event","Q3JhbmtlZCB0aGlzIHNvbmcgb24gdGhlIHdheSB0byB3b3JrIHRoaXMgbW9ybmluZy4NCg0KMyBEb29ycyBEb3duLCBIZXJlIFdpdGhvdXQgWW91DQoNCkEgaHVuZHJlZCBkYXlzIGhhZCBtYWRlIG1lIG9sZGVyIA0KU2luY2UgdGhlIGxhc3QgdGltZSB0aGF0IEkgc2F3IHlvdXIgcHJldHR5IGZhY2UgDQpBIHRob3VzYW5kIGxpZ2h0cyBoYWQgbWFkZSBtZSBjb2xkZXIgDQpBbmQgSSBkb27igJl0IHRoaW5rIEkgY2FuIGxvb2sgYXQgdGhpcyB0aGUgc2FtZSANCkJ1dCBhbGwgdGhlIG1pbGVzIGhhZCBzZXBhcmF0ZSANClRoZXkgZGlzYXBwZWFyZWQgbm93IHdoZW4gSeKAmW0gZHJlYW1pbmcgb2YgeW91ciBmYWNlIA0KDQpJ4oCZbSBoZXJlIHdpdGhvdXQgeW91IGJhYnkgYnV0IHlvdXIgc3RpbGwgb24gbXkgbG9uZWx5IG1pbmQgDQpJIHRoaW5rIGFib3V0IHlvdSBiYWJ5IGFuZCBJIGRyZWFtIGFib3V0IHlvdSBhbGwgdGhlIHRpbWUgDQpJ4oCZbSBoZXJlIHdpdGhvdXQgeW91IGJhYnkgYnV0IHlvdXIgc3RpbGwgd2l0aCBtZSBpbiBteSBkcmVhbXMgDQpBbmQgdG9uaWdodCBpdOKAmXMgb25seSB5b3UgYW5kIG1lIA0KDQpUaGUgbWlsZXMganVzdCBrZWVwIHJvbGxpbmcgYXMgdGhlIHBlb3BsZSBlaXRoZXIgd2F5IHRvIHNheSBoZWxsbyANCkkgaGVhciB0aGlzIGxpZmUgaXMgb3ZlcnJhdGVkIGJ1dCBJIGhvcGUgaXQgZ2V0cyBiZXR0ZXIgYXMgd2UgZ28gDQoNCknigJltIGhlcmUgd2l0aG91dCB5b3UgYmFieSBidXQgeW91ciBzdGlsbCBvbiBteSBsb25lbHkgbWluZCANCkkgdGhpbmsgYWJvdXQgeW91IGJhYnkgYW5kIEkgZHJlYW0gYWJvdXQgeW91IGFsbCB0aGUgdGltZSANCknigJltIGhlcmUgd2l0aG91dCB5b3UgYmFieSBidXQgeW91ciBzdGlsbCB3aXRoIG1lIGluIG15IGRyZWFtcyANCkFuZCB0b25pZ2h0IGdpcmwgaXTigJlzIG9ubHkgeW91IGFuZCBtZSANCg0KRXZlcnl0aGluZyBJIGtub3csIGFuZCBhbnl3aGVyZSBJIGdvIA0KSXQgZ2V0cyBoYXJkIGJ1dCBpdCB3b27igJl0IHRha2UgYXdheSBteSBsb3ZlIA0KQW5kIHdoZW4gdGhlIGxhc3Qgb25lIGZhbGxzLCB3aGVuIGl04oCZcyBhbGwgc2FpZCBhbmQgZG9uZSANCml0IGdldCBoYXJkIGJ1dCBpdCB3b27igJl0IHRha2UgYXdheSBteSBsb3ZlIA0KDQpJ4oCZbSBoZXJlIHdpdGhvdXQgeW91IGJhYnkgYnV0IHlvdXIgc3RpbGwgb24gbXkgbG9uZWx5IG1pbmQgDQpJIHRoaW5rIGFib3V0IHlvdSBiYWJ5IGFuZCBJIGRyZWFtIGFib3V0IHlvdSBhbGwgdGhlIHRpbWUgDQpJ4oCZbSBoZXJlIHdpdGhvdXQgeW91IGJhYnkgYnV0IHlvdXIgc3RpbGwgd2l0aCBtZSBpbiBteSBkcmVhbXMgDQpBbmQgdG9uaWdodCBnaXJsIGl04oCZcyBvbmx5IHlvdSBhbmQgbWUgDQoNCknigJltIGhlcmUgd2l0aG91dCB5b3UgYmFieSBidXQgeW91ciBzdGlsbCBvbiBteSBsb25lbHkgbWluZCANCkkgdGhpbmsgYWJvdXQgeW91IGJhYnkgYW5kIEkgZHJlYW0gYWJvdXQgeW91IGFsbCB0aGUgdGltZSANCknigJltIGhlcmUgd2l0aG91dCB5b3UgYmFieSBidXQgeW91ciBzdGlsbCB3aXRoIG1lIGluIG15IGRyZWFtcyANCkJ1dCB0b25pZ2h0IGdpcmwgaXTigJlzIG9ubHkgeW91IGFuZCBtZQ=="
"eventtime","2004-12-28 07:00:00"
"url","http://moral-laurel.livejournal.com/33084.html"
"userid","10370"
"itemid","122"
"event","Missing the sound of her voice
Missing her typed words
Missing the view of her on the cam
Missing knowing she is around
Missing her touch
Missing her kiss
Missing her love
Missing her"
"eventtime","2004-12-14 19:50:00"
"url","http://moral-laurel.livejournal.com/31355.html"
"userid","10370"
"itemid","115"
"event","I've been asleep on the couch since 9:30.  I woke up at 11 and decided to stay on the couch.  Just woke up again and decided I would stay on the couch.  That damn bed seems too empty to be in it.  I'm feeling a little starved for a human touch.  Not sex necesarily but an intimate touch."
"eventtime","2004-12-03 02:59:00"
"url","http://moral-laurel.livejournal.com/29461.html"
"userid","10370"
"itemid","113"
"event","Not sure why but I am feeling a little down today.  I've got a bit of a headache and I thinking about going home sick for the day.  I'm also thinking seriously about going and getting THAT haircut today.  I don't like being chicken to do something I want to do."
"eventtime","2004-12-01 09:03:00"
"current_moodid","101"
"url","http://moral-laurel.livejournal.com/29007.html"
"userid","10370"
"itemid","112"
"event","I had a better than expected T visit this morning.  This gal is great.  No need to drive to Spokane, guess I should call an cancel my appointment for next week with that guy.  I feel so good about myself after having talked to her.  Going to be seeing her once a week on Tuesdays.  I feel like this is the start of life, a happy life.  MY life!
I am feeling a strong sense of peace since working on things with Pam.  Things are headed in the right direction this time."
"eventtime","2004-11-30 11:39:00"
"url","http://moral-laurel.livejournal.com/28797.html"
"userid","10370"
"itemid","98"
"event","Just empty, well, empty and thirsty."
"eventtime","2004-11-21 11:22:00"
"url","http://moral-laurel.livejournal.com/25190.html"
"userid","10370"
"itemid","93"
"event","<img src=""http://images.quizilla.com/F/freckleface/1058194607_mboyresult.jpg"" border=""0"" alt=""tom boy result""><br>Tomboy
<br><br><a href=""http://quizilla.com/users/freckleface/quizzes/What%20kind%20of%20little%20girl%20were%20YOU%3F/""> <font size=""-1"">What kind of little girl were YOU?</font></a><BR> <font size=""-3"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>"
"eventtime","2004-11-19 06:30:00"
"url","http://moral-laurel.livejournal.com/23857.html"
"userid","10370"
"itemid","84"
"event","102 Days"
"eventtime","2004-11-14 12:39:00"
"current_moodid","25"
"url","http://moral-laurel.livejournal.com/21576.html"
"userid","10370"
"itemid","83"
"event","SMILES FROM EAR TO EAR"
"eventtime","2004-11-06 21:11:00"
"url","http://moral-laurel.livejournal.com/21297.html"
"userid","10370"
"itemid","79"
"event","88 Days.  I looked out the window and saw it was snowing.  I wished I could say ""Baby come here, it's snowing!""  Then stand by the window holding her and watch the snow fall while we cuddled our cups of coffee.
So, back to reality.  I'm supposed to be letting her go.  Does this mean I'm supposed to stop thinking about her?  Am I not supposed to imagine scenes with her?  I guess I should just enjoy them, the thoughts and scenes.  I should get out of them what I can and then let them go.
I just can't believe it's snowing.  Hopefully the weather shapes up later on  because I am taking Wyatt trick or treating tonight at 6."
"eventtime","2004-10-31 07:14:00"
"url","http://moral-laurel.livejournal.com/20284.html"
"userid","10370"
"itemid","75"
"event","Hyper brain tonight."
"eventtime","2004-10-27 21:45:00"
"url","http://moral-laurel.livejournal.com/19253.html"
"userid","10370"
"itemid","70"
"event","I made it through.  I was so very very close to giving in today.  But I made it through on my 75th day.  I am so fucking happy that I did.  Wahoooo!"
"eventtime","2004-10-18 21:38:00"
"url","http://moral-laurel.livejournal.com/18020.html"
"userid","10370"
"itemid","61"
"event","70 Days.  Great meeting last night.  Going hunting with Ellis today.
I am learning some how to let go of everyday things that can bother me and see them for what they are.  Close my eyes and take a deep breath and just let it go.  I am amazed at how easy it is and how good I feel when I don't get bothered by the little things.  WIth the bigger things I am realizing that I shouldn't fret over stuff I can't change.  I create every emotion I feel, so if I feel bad, it is my own fault.  It's a liberating way to look at life.  I am finding contentment with myself."
"eventtime","2004-10-13 06:10:00"
"url","http://moral-laurel.livejournal.com/15825.html"
"userid","10370"
"itemid","53"
"event","If anyone wants to kick me while I'm down, GO AHEAD!"
"eventtime","2004-10-06 16:37:00"
"url","http://moral-laurel.livejournal.com/13652.html"
"userid","10370"
"itemid","51"
"event","I missed my first Monday night meeting since I started going.  I feel bad about it.  Mostly because I hope no one there worries about me.  I had cramps something fierce and didn't want to leave the house.  I'll make the meeting tonight.
55 Days"
"eventtime","2004-09-28 06:52:00"
"url","http://moral-laurel.livejournal.com/13290.html"
"userid","10370"
"itemid","50"
"event","I hear a strength in her that hasn't been there before.  She is ready, she is strong, she will beat it!  I am so proud of her.


54 Days"
