"names","values"
"itemid","2"
"event","<img src=""http://www.digikitten.com/playhousev2/files/crackattack/cuteheart.gif"" <img=""&lt;img""> <img src=""http://www.digikitten.com/playhousev2/files/crackattack/lilstar.gif""> <img src=""http://www.digikitten.com/playhousev2/files/crackattack/brightrainbow.gif"">
hmm will it work? ive gotten so good at this layout shit :)"
"eventtime","2004-01-21 22:23:00"
"url","http://n1kk18713.livejournal.com/587.html"
"userid","10710"
"itemid","1"
"event","isn't this layout grand?!"
"eventtime","2004-01-14 23:33:00"
"url","http://n1kk18713.livejournal.com/256.html"
"userid","10710"
