"names","values"
"itemid","46"
"event","it's been done..

i kept my word..

now everyone just mind your own business and we'll all get along just fine..

im retiring from livejournal.. just too much drama..

and the worst part is it's with people i dont even see or talk to anymore..

username wont be deleted, but no more entries for me

HAWAII in a couple of days bitches!!!

cant wait to get dark and broke!

adios everyone!"
"eventtime","2007-07-27 01:11:00"
"url","http://deviant-dcube.livejournal.com/11855.html"
"userid","3826"
"itemid","43"
"event","I bought a 32-inch LCD screen today!!!!! It's fuckin tight son!! And of course I got it at sONY!!!! fuckin $1300 tv and with employee discount it became $800!! harharhar!! Also got an upscaling dvd player too! fuck ya!!

also, i'm the top salesman at sony! ahahahah sorry carrel! you've been demoted!!!

how's that for no retail experience??!? punk ass bitches!

me and carrel pretty much run that place!!

if its not him on top of the list, then its me!

filipino power!!

SUCK IT!"
"eventtime","2007-06-24 02:01:00"
"url","http://deviant-dcube.livejournal.com/11114.html"
"userid","3826"
"itemid","42"
"event","im getting my 2nd tattoo tomorrow at charlie's!! at 5pm!

what am i getting?

i'll post pix on myspace."
"eventtime","2007-06-06 02:36:00"
"url","http://deviant-dcube.livejournal.com/10965.html"
"userid","3826"
"itemid","41"
"event","my ticket to HAWAII!!!!

KAUAI is where i'm gonna be!!!

imma go see Stitch over there! 

he said he'll teach me how to surf!

harharhar!

aug1 - aug7

biatch!

time to work out!

hahahahha"
"eventtime","2007-05-17 11:55:00"
"url","http://deviant-dcube.livejournal.com/10656.html"
"userid","3826"
"itemid","40"
"event","<h1><a href=""http://www.deviantalliancedesign.com"">DEVIANT ALLIANCE DESIGN</a></h1>
check out my website!! it's not done yet, so stay tune for updates!

i'm doing this for my Flash website class, but I think I'm just gonna use it as a portfolio website too!!

crazy shieet son!

So check it out!

DO IT!! you know u wanna click that link!!"
"eventtime","2007-05-12 01:24:00"
"url","http://deviant-dcube.livejournal.com/10247.html"
"userid","3826"
"itemid","39"
"event","i was having dinner with alyssa at BJ's cuz it was her friend's 21st bday and one of the people there is some filipino that looks like Chris Cabana! i didnt wanna be rude and assume if they were related or anything.. and i didnt wanna make it seem like all filipinos look the same!&nbsp; So like 30mins into the whole thing I finally asked him..

""is your last name Cabana by any chance?""

and he goes...

""as a matter of fact, it is!""

hahaha. i knew it! his name is Alfred and he is 2 years older than Chris! 

I didn't even know Chris had a brother. hahaha.

Which makes me wish I had a brother!! So that I can see myself in another body. hahaha. Or maybe not.. some brothers don't even look the same. 

I guess we'll never know ....

I know.. this is a random entry. I just wanna share it."
"eventtime","2007-05-03 11:54:00"
"url","http://deviant-dcube.livejournal.com/10199.html"
"userid","3826"
"itemid","38"
"event","--Go to Google.com  
 
 
--Click on Maps.  
 
 
--Click on get Directions.  
 
 
--From New York,New York  
 
 
--To Paris,France.  
 
 
--And read line # 23.  
 
 
--Repost if you laugh."
"eventtime","2007-04-15 01:35:00"
"url","http://deviant-dcube.livejournal.com/9787.html"
"userid","3826"
"itemid","37"
"event","If you guys were ever thinking of buying a laptop or a tv..&nbsp; THIS WEEKEND WOULD BE A GREAT TIME TO BUY IT!!

If you didn't know, the 10% off on LAPTOPS&nbsp; end this saturday... so get on it!

also, there is a rumor that we're having a 10% off on TV's too!!! only friday and saturday though!!!

It's the end of the fiscal year for sony and they're trying to sell all sorts of shit!!!

and also remember, our laptops and tvs ARE refurbished!! so you get them wayyyy CHEAPER than retail price!!

and our Cybershots are fuckin sick too!!!

DO IT!!!"
"eventtime","2007-03-30 02:09:00"
"url","http://deviant-dcube.livejournal.com/9498.html"
"userid","3826"
"itemid","36"
"event","dude the trip was GREAT TIMES for sure! the food over there was pretty damn expensive!!! shiett son! we pretty much ate the whole time and every single bill was over $150.. well thats how they get tourists!!

well there was 7 of us total.. me, alyssa, chris, jill, justin, cesar and maria. we left oxnard around 5:30pm, and we didnt get there till like 11pm or something. we stayed at the Embassy Suite. one bedroom with 2 full beds, and a living room with a pull-out sofa bed. the hotel was dope!! we hit up the indoor swimming pool and the jacuzzi right away..

late nite munchies that ended us getting food at jack in the box..

continental breakfast at the hotel was fuckin great!! well it was free buffet shiet! i love bacon!

the aquarium was awesome too! A LOT of pix coming soon!! and VIdeOs too!!

we went on Highway 1 on the way home.. we pretty much lost 2 hours by driving there, but it was cool. had lunch at some cool ass restaurant right next to a creek in Big Sur. 

We saw a tow truck pulling out a car that went off the cliff !! Crazy shit yo! We had to pull over to watch it!! and the fuckin car was FUCKED UP! shieeet!

We had to go straight to Santa Monica cuz maria had an art show.. started at 6.. we got there after 8! hahaha. it was cool! ART KIDS are TIghT! and not those wannabe art kids either!

we had dinner at The Counter. it was pretty cool. we made our own burgers. mine was grilled chicken with bacon, lettuce, mayo, grilled pineapple in a wheat bun.. paid $9.50 for the damn thing, but it was worth it!

i pretty much got home at midnight! 

then i have work tomorrow at 11am at sony! i miss work! hahaha. i was off for 5 days! i need money!! plus i need to maintain my rank there! hhahaha. those fuckers cant beat me on warranty sales!! harharhar!!

all in all it was FUN!!! and we're already planning on going on our GRADUATION TRIP! it seems like everyone wants to go to BRAZIL!! we'll see.. its gonna be fun either way!!!!

im out bitches! later!"
"eventtime","2007-03-24 00:55:00"
"url","http://deviant-dcube.livejournal.com/9348.html"
"userid","3826"
"itemid","35"
"event","Monday - Tuesday: Disneyland and California Adventures!!
Wednesday - Friday: Road trip up north (Monterey Bay) with Alyssa, Chris J, Jill, Justin, and Cesar.

Since my bro-in-law is the manager at Hertz, he hooked us up with a minivan! weee!!! Road trip, son!! 

THIS IS GOING TO BE A FUN SPRING BREAK!!! IT WONT BE THE SAME AS VEGAS.. BUT AT LEAST I GET TO SPEND SOME REALLY GOOD QUALITY TIME WITH MY GIRLFRIEND... AND MY FRIENDS TOO. HAHAHHA =P

i'll be back on friday nite bitches!!"
"eventtime","2007-03-19 01:14:00"
"url","http://deviant-dcube.livejournal.com/9128.html"
"userid","3826"
"itemid","34"
"event","I got my tax refund!

I'm rich, biatch!

** stop by Sony!! i get bored easily hahaha! and by a tv!! with 5 year extended warranty!! it's In-Home service!! so Sony will come to your house to fix it!! DO IT!! its worth it!! and when you do buy it, buy it from me!!! and only from me!!! harharhar"
"eventtime","2007-03-09 01:28:00"
"url","http://deviant-dcube.livejournal.com/8753.html"
"userid","3826"
