"names","values"
"itemid","21"
"event","well, I'm not, but my blog is. I'm now using WordPress, instead of LiveJournal. 

http://changeling02.wordpress.com/

Visit me there! *huggles* 

-M"
"eventtime","2007-08-19 09:49:00"
"current_moodid","38"
"url","http://elvenchild02.livejournal.com/5510.html"
"userid","4531"
"itemid","20"
"event","WOOT! 

I've been ridiculously busy as of late. and I mean <i>ridiculously</i> busy. I have way, way too many things going on. 

I have some trepidation about going to real school in the fall. it seemed so far away when I decided that yes, I would do it. Now it's all too close... =\


also, my mother made some  <a href=""http://www.thealmightyguru.com/Boffer/index.html"">boffers</a>... they are a lot of fun. It's much healthier than just arguing... ^^ 

The comic is going well. I have all the pages up to page 90 on the computer and ready to go. I've scripted to very near the end of chapter 5 (around page 104 or so)... I'm trying out a new format, sort of. This just means the pages will be a bit longer from now on. I can't make them wider than 650 pixel without screwing up the layout of the site, but making them longer gives me much more freedom. I like the effect, personally. ^^

we've been going to the beach almost every day since the heat wave began. usually just before or a bit after dinnertime, when it starts cooling down. The water is lovely warm coming off the salt marsh as the tide turns! and now I think I'll go there again, as it's getting late. =) bye-ya! 

-teh M"
"eventtime","2007-08-03 22:17:00"
"current_moodid","74"
"url","http://elvenchild02.livejournal.com/5372.html"
"userid","4531"
"itemid","19"
"event","I saw <i>Hairspray</i> today. It's a very good movie. Funny, too. Hehe, John Travolta, hehe...  ^^

Anyways, it's almost my 15th birthday. I'm really not all that excited about it, except that it means <b>LESS</b> of this whole teenagehood nonsense. And it <i>is</i> nonsense, I was at the local mall, after the movie, and ye gods! It was so, so, so, <i>American</i>! *sigh* So, long story short, the faster all this teenage/highschool/typicalness goes, the better. Being a teenager makes adults talk down to you and I sincerely loathe that. *another sigh*

I've been doing a lot with watercolors as of late. Also, brush and ink. Both of those are pretty new to me, and very enjoyable. 

I'm really to tired to write properly right now. I need to get more sleep... 

comic is going well. I did portraits of all the chars. ^^

-Mica (Typical and teen for a limited time only. Get yours today! ...)"
"eventtime","2007-07-31 17:20:00"
"current_moodid","31"
"url","http://elvenchild02.livejournal.com/4968.html"
"userid","4531"
"itemid","18"
