"names","values"
"itemid","2"
"event","being sick sucks. a woman at work came in sick and has spread her stuff to everyone in the office.  :("
"eventtime","2004-10-05 12:00:00"
"url","http://nckewlboi27.livejournal.com/722.html"
"userid","10805"
"itemid","1"
"event","tired of writing my journal in notebooks so thought i would give online a try lol. love to chat and make new friends, feel free to IM or email me."
"eventtime","2004-10-03 11:55:00"
"url","http://nckewlboi27.livejournal.com/373.html"
"userid","10805"
