"names","values"
"itemid","31"
"event","Hi!
  
 PuffyAmiYumi Live
 
  4/22-Portland Crystal Ballroom (9 PM)
 
      I wanna Go!!!!!!!!!!!

                      Bye Bye!
                            -OJ"
"eventtime","2005-04-14 08:00:00"
"current_moodid","59"
"url","http://uisforultra.livejournal.com/8088.html"
"userid","16195"
"itemid","30"
"event","Hello,
   This week I've been so tired!
  On tusday I went to my friends house for a party with our ""clan"",
      it was fun...we played DDR and watched the second InuYasha movie...during it I was........
    Oh nevermind if you'd like to know ask...
                   Bye-Q"
"eventtime","2005-04-08 20:24:00"
"url","http://uisforultra.livejournal.com/7710.html"
"userid","16195"
"itemid","29"
"event","Hello!
   I need some stupid quotes from people, I'm making something out of them.
 Anyway,
         It's the weekend, I'm so bored!!!!!!
                         Meow!Bye-Q!
                                  -OJ"
"eventtime","2005-04-02 10:25:00"
"current_moodid","5"
"url","http://uisforultra.livejournal.com/7619.html"
"userid","16195"
"itemid","28"
"event","This is for FishyFairy.
    Hope You like it Fishy!
   http://photobucket.com/albums/y36/ChibiKagome1/Pictures%20I%20made/?action=view&current=FishEyeAndJakotsuplushieness.bmp
   
    if you like inuyasha and/or sailor moon you may click on it.
                      See ya!
                         -OJ"
"eventtime","2005-03-25 13:10:00"
"current_moodid","107"
"url","http://uisforultra.livejournal.com/7235.html"
"userid","16195"
"itemid","27"
"event","Hi!
   It's spring break as lot of you know but I'm bored!!!!
       Any ideas of what i can do?
           come on someone invite me to a RP chatroom or something.
                  Got To Go
                         -OJ"
"eventtime","2005-03-23 13:04:00"
"url","http://uisforultra.livejournal.com/7123.html"
"userid","16195"
"itemid","26"
"event","Hi!
  Last weekend I got an InuYasha Plushie!
On Tusday my friend Amanda said dans little brother was ""The 5th Grade Hottie"",
     Yesterday I played wallball again,
                  And today I stole Doug's hoodie!

  ^.^MUWAHAHA!^.^
                                -Me"
"eventtime","2005-02-24 16:13:00"
"url","http://uisforultra.livejournal.com/6819.html"
"userid","16195"
"itemid","25"
"event","So, 
   On thursday I danced in front of class to get picked to dance in
 front of the whole school.....and......I GOT IN!Yay!
      It's was fun!  Dans Little Brother was in it too.
    Go Cheese-Its!!!!
                  yes that is the name of my group.
          <(^_^<)K<(^_^<)I<(^_^)>R(>^_^)>B(>^_^)>Y!"
"eventtime","2005-02-18 21:30:00"
"url","http://uisforultra.livejournal.com/6459.html"
"userid","16195"
"itemid","24"
"event","Valentines Day Sucked!
   Any one know why?
I bet you don't!....well my sisters might...................
    

   huh?huh? do you?do you?


             LATER"
"eventtime","2005-02-16 17:50:00"
"url","http://uisforultra.livejournal.com/6367.html"
"userid","16195"
"itemid","23"
"event","MUWAHAHA! I WIN!
   HAHAHAHAHAHAHAHAHAHAHA!
 So This Week,
     I played pokemon,
 Danced in music,
    played wallball with dans little brother again,
                ummm......im done bye bye


 


     I Win!!!!!!!!!!!!!!!!!!!!!!
only if you like inuyasha may you take my quiz

I made a Quiz for you! <A HREF=""http://www.quizyourfriends.com/yourquiz_IM.php?quizname=050212005610-62094"">Take my Quiz!</A> and then <A HREF=""http://www.quizyourfriends.com/scoreboard.php?quizname=050212005610-62094"">Check out the Scoreboard!</A>"
"eventtime","2005-02-11 16:31:00"
"url","http://uisforultra.livejournal.com/6107.html"
"userid","16195"
"itemid","22"
"event","Boo!
   So this Week Me and my friends found out about the Kumoricon(it's in one of janines entries),
I played wallball with my friends and dans little brother,
         i got new pokemon books,
    I watched inuyasha,
i found out that there really is a rooster in fruits basket,
      and.......and......and........i think thats it so,
                                        Bye-Q,
                                                Me"
"eventtime","2005-02-05 18:49:00"
"current_moodid","59"
"url","http://uisforultra.livejournal.com/5679.html"
"userid","16195"
"itemid","21"
"event","Hamha!
   I'm so bored!
 nothing really happened this week,my gameboy's dead,HELP!
    The Stupid Charger Isn't Working!
  HEEEEEEEEELLLLLLLLLLLLLLLP!
    There are presents everywere!why,you ask?I Have No Fricken Idea!
     People who achly like me IM me!
           Bye-Q,                 
                 Olivia"
"eventtime","2004-12-18 12:15:00"
"current_moodid","5"
"url","http://uisforultra.livejournal.com/5603.html"
"userid","16195"
"itemid","20"
"event","Hamha!
  We finally got a Christmas Tree today!Yay!
In other news........last weekend I got from janine a Sailor Moon hat and scarf,they have Chibi Moon on them!I guess for today I'm a Guardian Angel...so says my icon.

          I think I'm done for today.
                             Bye-Q,
                                  Olivia"
"eventtime","2004-12-12 15:47:00"
"current_moodid","125"
"url","http://uisforultra.livejournal.com/5212.html"
"userid","16195"
"itemid","19"
"event","Hello!GRRR!(MAD AT ALEX)
  Did everyone see one of Alex's recent entries.....
   ""OLIVIA LIKES DAN'S LITTLE BROTHER!""
Is this true?
 Well...Yes it is but I'm not proud of it!
    Meow!



   I'm leaving now! 
            Bye-Q,
                Olivia"
"eventtime","2004-11-24 08:12:00"
"current_moodid","92"
"url","http://uisforultra.livejournal.com/5082.html"
"userid","16195"
"itemid","18"
"event","Hi!
  I just downloaded some new songs!
Every Heart
Change The World
W-H-Y

        Inuyasha songs!
            Yay!
    lalalalalala!
    lalalalalala!

             Bye-Q,
                  Olivia"
"eventtime","2004-11-14 10:25:00"
"current_moodid","59"
"url","http://uisforultra.livejournal.com/4727.html"
"userid","16195"
"itemid","17"
"event","I'm so bored!
   Would anyone like to talk to me about something?
 I've been up sense about 12:00 A.M.!
 Does anyone have a sigestion for what I can do?
           Bye-Q,
                 Olivia"
"eventtime","2004-11-06 08:08:00"
"current_moodid","5"
"url","http://uisforultra.livejournal.com/4580.html"
"userid","16195"
"itemid","16"
"event","Hello!
  It's Election day!woohoo??!?!?!?!?!?!?
    Go Kerry!
Maesure 36 passed!sadness!
   After the election,if Bush wins the next four years will suck!
    don't you agree friends?
So,If you'd like comment and say your opinion on the election!
  

                 BYE-Q,
                      Olivia"
"eventtime","2004-11-02 21:37:00"
"current_moodid","92"
"url","http://uisforultra.livejournal.com/4258.html"
"userid","16195"
"itemid","15"
"event","There is sadness in my mind today because I missed the Hamtaro Halloween special!Last night!
     It totally sucks!
  But there is another show on tonight!
          Inu-Yasha!
  WOOOOOOOHOOOOOOOOOOOOOOO!
                         I'm bored!



                            Well that's all for now!
                                   Maybe I'll finish this later!
                                            Bye-Q For Now!"
"eventtime","2004-10-16 10:40:00"
"current_moodid","5"
"url","http://uisforultra.livejournal.com/3973.html"
"userid","16195"
"itemid","14"
"event","WOOOOHOOOO!
  OKAY TIS IS VERY RANDOM TODAY!
  NOTHING HAPPENED,BUT,THERE IS A NEW TEEN TITANS EPISODE ON TONIGHT!YAY!
   22 DAYS TILL HALLOWEEN!YAY!WOOOHOOO!HURRAY!
                  AM I CRAZY?
                     YES
                     NO
                     OR......
                   WOOOOOOOOOOOHOOOOOOOOOOOO!CHEESE!!!!!!!!!!
TIS NOT DONE YET!
                I'M HUNGARY!TIS NO FOOD IN DIS HOUSE!
                                    MEOW!LET ME GO STUPID EVIL MONKEYS!!!!!!!!!!
                    AHHHHHHHHHHHHHHHHHH!
                          :::::RUNS TO THE MOON:::::
           MEEEEEEEEOOOOOOOOOOOOOOOWWWWWWWWWWWW!
                                                        BYE-Q FOR NOW!
                                                                  ~$OLIVIA$~"
"eventtime","2004-10-09 13:40:00"
"current_moodid","106"
"url","http://uisforultra.livejournal.com/3729.html"
"userid","16195"
"itemid","13"
"event","Yay!I beat Pokemon last night!Woooooooohoooooooooo!
   Pokemon is totally best-test!
  Woot!woot!



                     Do you think I'm crazy?
                             A.Yes
                            B.No
                             C.Who are you?
                               D.Crap!Yes!

                           Comment to answer"
