"names","values"
"itemid","121"
"event","how fliffin' crazy is it that i am number one on gary's list of best matches and he's number one on mine?!?!
out of the whole 10th grade??!

i just can't get over that."
"eventtime","2005-02-02 15:20:00"
"url","http://karbear182.livejournal.com/31024.html"
"userid","7841"
"itemid","199"
"event","<center>

<b>HEY YOU!</b>
this journal is friendsies onlyyy!
alls ya gotta do is comment.!. 
and add me! 
and i'll add ya back!!!@!! 
K? THNX!!

</center>"
"eventtime","2005-01-30 18:53:00"
"url","http://karbear182.livejournal.com/50948.html"
"userid","7841"
