"names","values"
"itemid","121"
"event","i feel like my life has no meaning anymore. 
i need a job and some hobbies.
i hate feeling unproductive. 
it sucks.
christ, i'm starting to bore myself.
i need assistance in life."
"eventtime","2006-07-08 20:51:00"
"current_moodid","92"
"url","http://i-am-the-cause.livejournal.com/30992.html"
"userid","6588"
"itemid","120"
"event","why do i always worry?

i hate thinking that he's doing something bad.

but i think it anyway.

i wish i could just trust people."
"eventtime","2006-06-30 22:12:00"
"current_moodid","6"
"url","http://i-am-the-cause.livejournal.com/30748.html"
"userid","6588"
"itemid","119"
"event","i am the best girlfriend. 
ever.
if anyone loves good presents, 
you should be friends with me."
"eventtime","2006-06-23 19:50:00"
"current_moodid","64"
"url","http://i-am-the-cause.livejournal.com/30556.html"
"userid","6588"
"itemid","118"
"event","i suck at being alone.





the end."
"eventtime","2006-06-19 22:17:00"
"current_moodid","92"
"url","http://i-am-the-cause.livejournal.com/30241.html"
"userid","6588"
"itemid","117"
"event","yes! i am done with school. completely done...except for when i start again in september. but shut up okay. i'm enjoying it for the meantime. i took my final today in math and i actually did good...well for me. and 85%. i've never got above an 80% in math in my entire life. so there. hpmh. i just watched Britney Spears cry about how the tabloids are mean to her. it was actually kind of sad. i feel bad for her. she used to be so hot. anyway, give me a call anytime because I HAVE NO MORE SCHOOL!"
"eventtime","2006-06-15 22:05:00"
"current_moodid","99"
"url","http://i-am-the-cause.livejournal.com/30184.html"
"userid","6588"
"itemid","116"
"event","so, believe it or not, i got an interview at Desert Sun (local tanning salon). i said i'd never work at a tanning salon, because usually the only people who work there are bitchy high school girls. and everyone knows how much i love those types. i hope it went well, but i guess we'll see. i am in need of a job asap. it's pretty sweet that my dad gives me $100 and says ""make that last 30 days"". awesome dad, way to go with the 3 bucks a day. that'll happen. i'm done with relying on them, i feel like a freeloader. i've been trying so incredibly hard to get a job in the harbor, but this town is so bitchy and full of old people, it's become nearly impossible. all the high school kids that are going off to college in the fall need to get the fuck out already so i can get myself a damn job."
"eventtime","2006-06-06 17:55:00"
"current_moodid","5"
"url","http://i-am-the-cause.livejournal.com/29887.html"
"userid","6588"
"itemid","115"
"event","so i saw the new AFI video today. 
i'm not exactly sure what to think of what happened to them.
i cant bring myself to dislike them, but AFI seems to be getting pussier and pussier as they put out each CD.
i mean, what ever happened to the Black Sails days?
or even the Art of Drowning? 
those were the best times, i wish they would go back.
and Davey has become one of those people who you would definately have sex with, but wouldnt want to be next to you in the morning when you woke up.
i mean, he wears more makeup than me now.
which is frightening to me."
"eventtime","2006-06-04 00:44:00"
"current_moodid","6"
"url","http://i-am-the-cause.livejournal.com/29499.html"
"userid","6588"
"itemid","114"
"event","HAPPY BIRTHDAY TO YOU
HAPPY BIRTHDAY TO YOU
HAPPY BIRTHDAY DEAR MONA
HAPPY BIRTHDAY TO YOU!!!!!!!!!!!"
"eventtime","2006-05-27 16:57:00"
"current_moodid","125"
"url","http://i-am-the-cause.livejournal.com/29267.html"
"userid","6588"
"itemid","113"
"event","ricky is home and now i feel complete again. i hate sleeping on my couch because i cant sleep in my bed alone. plus, i didnt want tina pooping on the bed in the middle of the night...AGAIN. disgusting. tina is almost better so she can finally come with me to my sister's and i can leave the house. i've been so bored lately, i need to think of a way to amuse myself. i have no hobbies, other than being bored."
"eventtime","2006-05-24 22:26:00"
"current_moodid","92"
"url","http://i-am-the-cause.livejournal.com/28968.html"
"userid","6588"
"itemid","112"
"event","i hate being disappointed. i'd rather be punched in the face than feel let down."
"eventtime","2006-05-21 15:57:00"
"current_moodid","7"
"url","http://i-am-the-cause.livejournal.com/28711.html"
"userid","6588"
"itemid","111"
"event","ricky has left me. he's gone to vegas until tuesday. it doesnt seem like a lot of time to most, but i've seen him everyday for the last year (excluding the incident with the DUI and his padre freaking out), and it's been rough for me. at least i trust him. i know he wont put anyone above us and our relationship. i truly suck at being alone. fuck, i even wrote a myspace bulliten about being lonely. i hate people that do that. what have i become? i swore to never live off of myspace and the fakeness of it all. i'm stuck at my house which is great. Tina is still sick, she cant be around other dogs for another week. ughh, this is so annoying. at least i could hang out with my sister or something. but no, of course not.
i might be going with my mom to look at prom dresses tomorrow. i found a bunch of cheap,cute dresses at macy's. props. i'm now bored of this."
"eventtime","2006-05-19 23:56:00"
"current_moodid","22"
"url","http://i-am-the-cause.livejournal.com/28467.html"
"userid","6588"
"itemid","110"
"event","so on my birthday, i got a puppy. her name is Tina, she's a rat terrier and she's the cutest thing i've ever seen. yesterday she woke me up coughing at 5:30 in the morning. i was a little worried, so i took her to the vet and it turns out she has kennel cough. she has all her current vaccinations and everything, but since she was the runt, she was more likely to get sick and stuff. she's taking meds (that were extremely expensive by the way. and on top of that she cant hang out with her brother (my sister's puppy) for another 10 days and she's very down in the dumps. 
i feel so terrible. i feel like it's my fault. i should have made sure she wasnt around sick puppies. i feel like i've failed her. i really do love her, she's my responsibility and i fucked up."
"eventtime","2006-05-17 17:53:00"
"current_moodid","7"
"url","http://i-am-the-cause.livejournal.com/28239.html"
"userid","6588"
"itemid","109"
"event","i never write in this thing anymore, jesus! anywho, i've been up to a whole lot of nothing to say the least. work has been going good, i've been working for Amanda's mom which has been great because i feel i dont need to put on my fake, professional face and i dont have to worry about her watching everything i do to make sure i'm doing my job. i can take smoke breaks whenever and eat her food if i'm hungry. i wish i could work for her all the time.
i'm getting a puppy after my birthday from one of my sister's friend. she's a toy manchester terrier and her name Lilly. she's the runt, so obviously, she's the cutest. i'm super excited. i have to pay 350 bucks for her but 100 of that is going to be paid by my parents for my birthday present. i cant wait.
life in general has been pretty good but i'm having a little trouble dealing with the whole ""girlfriend of a guy in a band"" thing. its not that he's in a band, its the fact that they are most likely going on tour this summer and i truly suck at being alone. especially if i know he's away having a great time. i dont know if i'm making the right decision about staying with him while he goes on tour or not. i dont want to get my heart broken if something bad were to happen to our relationship. i.e. other girls. i trust him completely, but when you hear that his friends dont even want us to be together, it makes it harder to be okay with it. so... i'm going to give it a shot and see how it goes. i wouldnt want to give up on our relationship so quickly. he hasnt even done anything wrong. i know there isnt anyone better for me than ricky. we do have our issues, but i wouldnt want it any other way. if we got along all the time and never argued or even screamed at each other, it wouldnt be right. we fight because we love each other. if i didnt care about what he did, we wouldnt ever fight. 
we're planning on moving out and getting our own apartment hopefully by the end of the summer or early next year. i need to get a steady paying job before any of that goes down. house cleaning is going good right now but it's a job i cant rely on. zac might be hooking me and ricky up with a paper route job. the hours are from 1:00-3:30 or so every day, and we'd be making 900 bucks a month. not too bad. the only thing is that i need to take a trip for about a week or so down to oregon to visit my grandparents, i do it every summer. this will probably be the last summer i get to spend with both of them so i cant have a job that wont allow that to happen. we'll see. i need to stop myself before i start talking about a million other things."
"eventtime","2006-04-15 17:46:00"
"current_moodid","57"
"url","http://i-am-the-cause.livejournal.com/28135.html"
"userid","6588"
"itemid","108"
"event","i'm done with livejournal fighting, its retarded. i dont give a shit anymore, i just wish people would fucking get along. thats all i want to do. we all just need to chill out and shut the hell up. this is so fucking middle school."
"eventtime","2006-02-07 15:09:00"
"current_moodid","3"
"url","http://i-am-the-cause.livejournal.com/27889.html"
"userid","6588"
"itemid","107"
"event","i dont even want to fucking explain myself, but seriously... i havent been this pissed off in god knows how long. all i have to say is grow the fuck up and start acting your age. just because you're miserable doesnt give you the god damn right to make the rest of us feel like shit. it must be pretty fucking lonely in that world of yours where people just do what you say all the time so they wont have to deal with your middle school bullshit. now that i think about it, this whole situation is more pathetic than anything else. its gonna be a huge mother fucking wake up call when you get out into the real world and realize that shit like this doesnt fly. 
and to the only person there today who wasnt an idiot, i fucking love you. you have proven to be a true friend. i couldnt be gladder to call you my best friend, amanda."
"eventtime","2006-02-05 18:02:00"
"current_moodid","24"
"url","http://i-am-the-cause.livejournal.com/27489.html"
"userid","6588"
"itemid","106"
"event","so i dont have the internet and i'm still not sure why. that is the reason for my dissapparing off the face of the internet-world. i guess it's not so bad, i can get on only once every 2 weeks or so, but it feels much more rewarding.
school started and i'm flying through it. i'm actually doing really well. aside from the fact that my shakespeare teacher has no clue what the hell she is talking about.
she's one of those shakespeare people who think they know everything about his work and people that dont know EVERYTHING dont deserve to speak about it. yah that's her. even though she's a lame ass.
soooooooooooo life is real good right now.
i bought tans for myself this x mas and i'm so tan!
its like i went to mexico and back in 3 days!
....its hot."
"eventtime","2006-01-13 18:34:00"
"current_moodid","99"
"url","http://i-am-the-cause.livejournal.com/27374.html"
"userid","6588"
"itemid","105"
"event","school starts tomorrow and i'm definately not looking forward to it.
however, my new years partay was an ultimate success. i got drunk before everyone and i was one of the last one's standing. trooper. i loved everyone for that night and was an interesting host to say the least. monica knows, she knows the best. 
how come people cant make up their minds about anything? seriously, just figure out what you want and take it. its really not that hard. to quote a friend ""people need to stop thinking about what everyone else wants and figure out what THEY want. fucking pussies.""
too true. drama, drama, drama. i wish ricky would get back from band practice so we could watch a movie.
The Biggest Loser marathon is on and i'm more enthralled that i thought i'd be. its almost inspiring me to start working out and lose some chub.
pay attention, i said ALMOST.
anywho, i'm boring myself and need some nicotine.
monica, i hope you feel better because i know how it is to be miserably sick when you've got shit to do. call me if you need ANYTHING."
"eventtime","2006-01-02 21:45:00"
"current_moodid","3"
"url","http://i-am-the-cause.livejournal.com/27118.html"
"userid","6588"
"itemid","104"
"event","so... i'm starting classes again on tuesday. i was really excited to start, but now that the days are winding down, i'm starting to be less excited about it all. i have one class at the gig harbor campus and one at the tacoma campus. i didnt get into the english class i originally wanted, but now i'm in an even better one. here's what my schedule looks like:
gig harbor campus
psych 100 9:30-10:20a   m t w th 

tacoma campus
into to shakespeare 1:30-2:20p   m t w th

so if anyone has class at either campus any of those times, let me know. i'm going to need to some help getting to my classes for the first few days. my car's title is in the mail back to us any day now. its just a matter of when.
fresh start was possibly the smartest thing i've done academically in my whole life. i'm saving myself so much money. haha, and you're not."
"eventtime","2005-12-29 21:34:00"
"current_moodid","65"
"url","http://i-am-the-cause.livejournal.com/26862.html"
"userid","6588"
"itemid","103"
"event","so, i'm sick and x mas is tomorrow.
i got the flu a couple of days ago and it sucks pretty bad...
considering i'm a smoker.
everything is ten times worse when you're sick.
i went to the doctor and she gave me some cough medicine and told me to rest.
so i did.
what she didnt tell me was that this virus attacks the leg muscles so if you lay in bed too long, you wont be able to walk for 3 days.
thanks doc.
i was hobbling around this morning like a 82 year old war veteran.
i'm bored and there's nothing to do. 
i've discovered that x mas doesnt get me as excited as it used to.
if i were 7 i would be bouncing around asking my parents if i could open a present and then forcing myself to go to sleep so tomorrow will come sooner.
i just feel a little bit hungry. that's all."
"eventtime","2005-12-24 18:37:00"
"current_moodid","5"
"url","http://i-am-the-cause.livejournal.com/26375.html"
"userid","6588"
"itemid","102"
"event","the tank has finally been taken out.
why does every car that we own break down when i'm driving it?
my car is a trooper. 
almost a year and a half and NO problems what so ever.
i drive my mom's skank tank for 3 weeks and now its busted.
jesus is being great to me this year."
"eventtime","2005-12-19 18:07:00"
"current_moodid","44"
"url","http://i-am-the-cause.livejournal.com/26362.html"
"userid","6588"
"itemid","101"
"event","i'm never driving a car again. today=too much driving.

i've done enough for one lifetime.

its over.

i'm not doing it.

hmmpph."
"eventtime","2005-12-14 20:54:00"
"current_moodid","74"
"url","http://i-am-the-cause.livejournal.com/25997.html"
"userid","6588"
"itemid","100"
"event","i feel like my life is slowly but surely getting back on track...

i wish the bastard that sold us my car without legally owning it would stop by for a little chat...

and then a little hospital trip..."
"eventtime","2005-12-13 17:43:00"
"current_moodid","5"
"url","http://i-am-the-cause.livejournal.com/25619.html"
"userid","6588"
"itemid","99"
"event","my house is where i live.

not a place to party all the time.

i wish people would understand this."
"eventtime","2005-12-06 23:29:00"
"current_moodid","3"
"url","http://i-am-the-cause.livejournal.com/25361.html"
"userid","6588"
"itemid","98"
"event","zac got a sidekick.

i want one.

merry christmas to me???"
"eventtime","2005-12-05 11:04:00"
"current_moodid","125"
"url","http://i-am-the-cause.livejournal.com/25222.html"
"userid","6588"
"itemid","97"
