"names","values"
"itemid","23"
"event","I look through the clock on the wall, hands are hardly moving at all. I can't stand the state that I'm in, sometimes it feels like the world is closing in. Time...time ticking on me, alone is the last where I wanted to be. Scrambled my troubles away, drown my sorrows in the same way. It seems like no matter how I try it still feels like there some thing missing. How many rules can I break? How many lives can I make? How many roads must I turn?...to find me a place where the bridges are not burned. <center>You wait for the perfect time, you wait still the sun shines through, wait till you don't know more, wait till you know your sure, and wait too long...I will be gone.<center>"
"eventtime","2007-05-31 19:20:00"
"current_moodid","81"
"url","http://soulsauce.livejournal.com/5970.html"
"userid","14401"
"itemid","27"
"event","<center>love is a two way street but sometimes people drive on the wrong side.<center>"
"eventtime","2007-05-30 22:56:00"
"current_moodid","68"
"url","http://soulsauce.livejournal.com/6932.html"
"userid","14401"
"itemid","21"
"event","TGlrZSBJIHNhaWQgbG9uZWxpbmVzcywgZGlzYXBwZWFyYW5jZXMgaGFwcGVuLiBQYWlucyBnbyBkZWVwLCBibG9vZCBzdG9wcyBydW5uaW5nLCBhbmQgcGVvcGxl4oCmcGVvcGxlIGZhZGUgYXdheS4gVGhlcmUgaXMgc28gbXVjaCBtb3JlIEkgbmVlZCB0byBzYXkg4oCmIHNvIG11Y2ggbW9yZSwgYnV0IHlvdSBkaXNhcHBlYXJlZC4NCg0KQWxsIEkgbmVlZCBpcyBhIGJpdHRlciBzb25nIHRvIG1ha2UgbWUgZmVlbCBiZXR0ZXLigKYgbXVjaCBiZXR0ZXIu"
"eventtime","2007-05-29 21:12:00"
"current_moodid","68"
"url","http://soulsauce.livejournal.com/5521.html"
"userid","14401"
"itemid","22"
"event","VG9vIG9mdGVuIHRoZSB0aGluZyB5b3Ugd2FudCBtb3N0IGlzIHRoZSBvbmUgdGhpbmcgeW91IGNhbuKAmXQgaGF2ZS4gRGVzaXJlIGxlYWRzIHVzIGhlYXJ0IGJyb2tlbiwgaXQgd2VhcnMgdXMgb3V0LiBEZXNpcmUgY2FuIHdyZWNrIHlvdXIgbGlmZS4gQnV0IHRoZSB0aG91Z2hlc3Qgb25lIHRoaW5nIGNhbiBiZeKApiBUaGUgcGVvcGxlIHdobyBzdWZmZXIgdGhlIG1vc3QgYXJlIHRob3NlIHdobyBkb27igJl0IGtub3cgd2hhdCB0aGV5IHdhbnQuDQpBdCB0aGUgZW5kIG9mIHRoZSBkYXksIHNvIG1hbnkgcHJheWVycyBhcmUgYW5zd2VyZWQsIGFuZCBzbyBtYW55IGhlYXJ0LiBXZSB0YWtlIG91ciBtaXJhY2xlcyB3aGVyZSB3ZSBmaW5kIHRoZW0uIFdlIHJlYWNoIGNyb3NzIHRoZSBnYXAgYW5kIHNvbWV0aW1lcyBhZ2FpbnN0IGFsbCBvZGRzLCBhbmQgYWdhaW5zdCBhbGwgbG9naWMu"
"eventtime","2007-05-28 21:14:00"
"current_moodid","64"
"url","http://soulsauce.livejournal.com/5731.html"
"userid","14401"
"itemid","18"
"event","U2FkIGJ1dCB0cnVlLCBzb21lIGdvb2QgdGhpbmdzIGluZGVlZCBuZXZlciBsYXN0LiBUaGF04oCZcyBqdXN0IHRoZSB3YXkgbGlmZSBpcy4gVW5mb3J0dW5hdGVseSwgYmVjYXVzZSBvZiBvdXIgaHVtYW4gbmVlZCB0byBmZWVsIHNlY3VyZSwgd2UgaGF2ZSB0aGUgdGVuZGVuY3kgdG8gaGFuZyBvbiB0byBkeWluZyByZWxhdGlvbnNoaXAgdGhpbmtpbmcgdGhhdCBzb21laG93IHdlIGNhbiBzYXZlIGl0LiBOb3cgaGVyZSBjb21lcyB0aGUgYmFkIG5ld3M6IHdoYXQgd2UgbWF5IHBlcmNlaXZlIGFzIGEgc2F2ZWQgcmVsYXRpb25zaGlwIGNhbiB0dXJuIGludG8gc29tZXRoaW5nIHRveGljIHRocm91Z2ggdGltZS4gDQogICAgIEZvciBhcyBsb25nIGFzIHRoZXJl4oCZcyBsb3ZlIGluIHRoaXMgd29ybGQsIHNvIG1hbnkgcGVvcGxlIGhvb2sgdXAgd2l0aCBwYXJ0bmVycyB3aG8gbGF0ZXIgdHVybiBvdXQgbm90IHRvIGJlIHRoZSBkcmVhbSBndXkgb3IgZ2lybCB0aGF0IHdlcmUgZHJlYW1pbmcgb2YsIHRoZW4gZmluZCB0aGF0IHRoZXkgY2Fu4oCZdCBicmluZyB0aGVtc2VsdmVzIHRvIGJyZWFrIGl0IG9mZi4gSSB0aGluayB0aGlzIGlzIHNvbWV0aW1lcyBkdWUgdG8gZmVhciBvZiBiZWluZyBhbG9uZSwgc29tZXRpbWVzIHRocm91Z2ggY29udmluY2luZyBieSBmcmllbmRzLg0KICAgICBJIHRoaW5rIHdoZW4geW91IGFyZW7igJl0IGdldHRpbmcgd2hhdCB5b3Ugd2FudCBvciBuZWVkIGZyb20gYmVpbmcgd2l0aCBzb21lb25lLCBvciBpZiB5b3UgcmVvcmdhbml6ZSB0aGF0IGl0IGlzbuKAmXQgZ2V0dGluZyB3aGF0IHlvdSB3YW50IG9yIG5lZWQgaXTigJlzIHRpbWUgdG8gbW92ZSBvbi4NClNvbWUgcGVvcGxlIG1pZ2h0IGJlIHByb25lIHRvIHNheSwg4oCYSXNu4oCZdCB0aGF0IGEgbGl0dGxlIHNlbGZpc2gtIEJ1dCB0aGUgYW5zd2VyIHRvIHRoYXQgaXMsICBIb3cgY2FuIGl0IGJlIGdvb2QgZm9yIHNvbWVvbmUgdG8gc3RheSB3aXRoIHBlcnNvbiB0aGF0IGRvZXNu4oCZdCByZWFsbHkgd2FudCB0byBiZSB3aXRoIHlvdSBhbnltb3JlPyBBZnRlciBhbGwsIGhvdyBsb3cgZG9lcyB5b3VyIHNlbGYgZXN0ZWVtIGhhdmUgdG8gYmUgdG8gd2FudCB0byBkbyB0aGlzPw0KICAgICBJIHNheSBub3csIGl04oCZcyBmYXIgbXVjaCBoZWFsdGhpZXIgdG8gZ28gYWJvdXQgZmluZGluZyB0aGUga2luZCBvZiByZWxhdGlvbnNoaXAgdGhhdCB3b3JrcyBmb3IgbWUtIG9uZSB0aGF0IGdpdmVzIG1lIHdoYXQgSSBuZWVkLCByYXRoZXIgdGhhbiBhcGF0aGV0aWNhbGx5IGNsaW5naW5nIHRvIHNvbWV0aGluZyB0aGF0IGlzbuKAmXQgZnVsZmlsbGluZy4gTGlmZSBpcyBzaG9ydCBmb3IgdGhpcyBhcyB0aGV5IHNheSwgYW5kIEkgc2ltcGx5IGRlc2VydmUgc29tZXRoaW5nIGJldHRlci4="
"eventtime","2007-05-27 20:38:00"
"current_moodid","58"
"url","http://soulsauce.livejournal.com/4654.html"
"userid","14401"
"itemid","17"
"event","And I don't know how to be fine when I'm not
'Cause I don't know how to make a feelings stop

Just so you know
This feeling's taking' control
Of me and I can't help it
I won't sit around
I can't let him win now
Thought you should know
I've tried my best to let go
Of you but I don't want to
I just gotta say it all before I go
Just so you know

It's getting hard to
Be around you
Theres so much I can't say
Do you want me to hide the feelings
And look the other way


Lyra an officemate keeps on singing this song at the office.I searched it... and loved it too... lyrics are good and the melody, just so you know.

I'm at the office crappy Sunday work. grr"
"eventtime","2007-05-27 12:51:00"
"current_moodid","91"
"url","http://soulsauce.livejournal.com/4416.html"
"userid","14401"
"itemid","15"
"event","Lala told me that when it comes to Mr. vanished.. I felt sleepy... ending our sms conversation with the line "" I'm sleepy na'"". It's not that I don't want to talk about him, but not now. I'm tired of building theories about him, like maybe he's like this and that... maybe maybe...My head hurts thinking too much about him. Were good friends, and I'm happy with that. I think I'm just enough of the twisted sunshine, It's always a lovely day for me waking up with the cool breeze and a good sun. I don't want to start it with cloudy, sad scene. There's a new light for tomorrow, It's a new set of mood I prefer before I go to sleep, it's a weird therapy but it works so alright.
Ok. I wake up at 9, make some coffee and light some nicotine, prepare my laundry, fix my bed, play with teeger. I think coffee + nicotine + a good music = lj... a good thing to start my day. It's a rock day off today.

See you later Trix and Mae. ;-)"
"eventtime","2007-05-26 10:12:00"
"current_moodid","53"
"url","http://soulsauce.livejournal.com/4003.html"
"userid","14401"
"itemid","14"
"event","<center><a href=""http://pics.livejournal.com/soulsauce/pic/00005601/""><img src=""http://pics.livejournal.com/soulsauce/pic/00005601/s320x240"" width=""320"" height=""239"" border='0'/></a><center>

<center>I miss you on your birthday,
Not only for your smile,
But for the piece of me that's gone,
Left within your care.

I'm in an empty hallway
And have been for awhile,
Gazing inwardly towards home,
Neither here nor there.

How quickly we've turned distant!
The months pass by like years.
How could friends so inseparable
So soon seem so apart!

How imprecise the instant
Held hostage by my tears!
Though Time may seem insatiable,
I have you in my heart.<center>



Happy Birthday Lala!"
"eventtime","2007-05-25 23:24:00"
"current_moodid","132"
"url","http://soulsauce.livejournal.com/3823.html"
"userid","14401"
"itemid","10"
"event","Ok went out for work 5pm, I rushed to the traffic jam eager to go home early for some good rest... and it's friday for rest, cause tomorrow is a one hell day off from crappy work. Mae and Trixie texted me to meet up tomorrow, whoa! one hell meeting after long days of extinct communication. I wonder what stories to start with them, I know it's gonna be a good old friends day. As I got home, crappy electrical cooperative... 5:30pm and a blackout? I almost went to sleep when the lights came back 9:30 pm.... whew! Thank God. I turned on the pc to start my hours with lj, and now I am here writing lj again...munching out piattos and gulping up C2...

and I think I'm being boring now... haha... 
good nyt lj."
"eventtime","2007-05-25 22:00:00"
"current_moodid","92"
"url","http://soulsauce.livejournal.com/2698.html"
"userid","14401"
"itemid","2"
"event","Strolling through the night with you, our first hypnotic phase like a warming words melting ice glaciers... Kept me turning to the next page. I felt a familiar comfort that comes with smiles sparkles, it flushes my skin, my heart swells up in gladness as I trace my footstep around life and love it crushes over me like a little girl. 
Everyday could be a first time for something new. It could be a formless flow of magical symphony with possibilities and curiosity... it had me peeking through the world of happiness."
"eventtime","2007-05-24 11:10:00"
"current_moodid","131"
"url","http://soulsauce.livejournal.com/654.html"
"userid","14401"
"itemid","4"
"event","I think I'm going crazy with work, haha.. There are little funny things happening around lately. First, officemate project ""chimay"" I prefer not telling the reason why I named her chimay. She have these pronounciation deffect with ""t"", it's like over pronouncing t with the words she use, it's annoying really. We spent lunch together sometimes, and that I found out she likes soy sauce too much, she puts it all over her food and I just watch her and wonder how salty it looks like, but she enjoyed it and every lunch we had it's always the same old toyo scene. 
     Second, whoa!   chimay is from bataan, we spent some short talks at the office and i found out she's one of the 'others', one of the so called kalaban's. But chimay being one of the kalabans didn't bother me, yet I enjoy it hahaha.... she may be fooling around with some ka-plastikan stories but she can never bitch around with me. 
     Ok enough of kalaban part, I just had these call from a demanding-over reacting guest and it piss me off. I kept on hearing ""Your management is too bad"" ""Your hotel service is too bad""...but but but.. She kept on requesting too much grrr... and as part of work I find ways to give 99% of her request just to end our heart attacking conversation. And the crappy part is.... she cancelled her booking at the end of the day. OMG! I spent my day just to give what she wants and that's it? a cancelled booking? Shit!

and I hate her for God's sake.

my day didn't end that good...

tired."
"eventtime","2007-05-21 20:33:00"
"current_moodid","49"
"url","http://soulsauce.livejournal.com/1261.html"
"userid","14401"
"itemid","3"
"event","It's been months away, 
it feels like the world should have changed
And things still look the same
I think I'll leave it again to tomorrow 
Still unpack and trying to forget for one more night
That I'm back in my own road
Like the cars that never stop going through the night
Is it the life where I can't watch sunset
Do I still have time...

It seems like a sand in my shoes
I can't shake the thought of you
I shake it all to forget you
Why? why would I want to?
Should I ran back?
I know we never said goodbye
Everything is confusing but
I wanna see you again...

and tommorow, will I still be shaking the sand out of my shoes?"
"eventtime","2007-05-21 19:44:00"
"current_moodid","68"
"url","http://soulsauce.livejournal.com/783.html"
"userid","14401"
"itemid","11"
"event","Hey, i thought of you today
i thought that i should tell you
how much i miss you
remember what you used to say
""friends forever, i hope that we'll remain this way..""

All this time, i've been thinkin' bout the way we used to play\the promises we made..
you're everywhere i go i can't escape you,
when i close my eyes i see you
even in my sleep i think of you.. 
i miss you..

Can we put the blame on the changing times?
where have all the years gone by?
so fast, so young,
so sure that this will never end
i'll always stand by you, my friend
but forever was just too long..



Carousel 
-Paramita


miss you all guyz... 047 ;-)"
"eventtime","2007-05-20 22:01:00"
"current_moodid","125"
"url","http://soulsauce.livejournal.com/2961.html"
"userid","14401"
"itemid","9"
"event","<center>I can see myself standing in the pouring rain waiting for changes
to carry me away<center>

<center>I can see the light fall from my eyes as we get lost in
the tears of goodbye<center>

<center>BUT YOU CAN'T GO FARTHER THAN MY HEART CAN GO<center>

<center>I'll still be loving you through the sadness and the madness here
and I'll always be with you in the distance that has taken you from me.<center>

<center>I can hear you laugh when I close my eyes,I can picture your face and the strength inside your smile, I can see the words
dance across your lips, I'll remember forever, it's something more than this.<center>

<center>So you can't go farther
Than my heart will go...<center>



And I'll always be with you
In the distance that has taken you from me."
"eventtime","2007-05-19 21:31:00"
"current_moodid","96"
"url","http://soulsauce.livejournal.com/2328.html"
"userid","14401"
"itemid","20"
