"names","values"
"itemid","14"
"event","<P><FONT size=4><STRONG>moved </STRONG></FONT><FONT size=3><U>add me at <lj user=""l0ve_p0tionx3"" /> </U></FONT></P>"
"eventtime","2005-09-12 20:02:00"
"url","http://mystickiss24.livejournal.com/3695.html"
"userid","10682"
"itemid","3"
"event","<center>Friends Only</center>
<center><lj-cut text=""Rules To Be Added""></center>
<center><sub><font color=hotpink>No Bitching</center>
<center>I comment often, i expect you do do the same</center>
<center>add me first</center>"
"eventtime","2005-09-05 11:48:00"
"current_moodid","125"
"url","http://mystickiss24.livejournal.com/935.html"
"userid","10682"
