"names","values"
"itemid","77"
"event","it's times like this when
losing touch
time
reality
meaning
understanding
starts to make sense.
or not.
flashing
detached, from
everything
i can and will
distance myself from you
or her
or them
me.
spiral falling face gun. repeat.
aside from loneliness
it's the one cycle on repeat.
i'm falling."
"eventtime","2008-10-06 02:47:00"
"url","http://babyxmachine.livejournal.com/19922.html"
"userid","1294"
"itemid","74"
"event","as if i still even have this damn journal... does anyone still post on here?"
"eventtime","2007-11-22 01:39:00"
"url","http://babyxmachine.livejournal.com/18955.html"
"userid","1294"
"itemid","73"
"event","i feel crazy."
"eventtime","2006-06-10 16:41:00"
"url","http://babyxmachine.livejournal.com/18851.html"
"userid","1294"
"itemid","64"
"event","repetitive beats
answers to nothing
figuring things out
i am strong
i can cope
work so hard
to watch me fall
red wheels
pounding foot steps
hustling along
pushing feelings further
back
then ever before
forgetting you
losing touch
kind of like faith
in life
settling down
with my self
again.
too embarrassed
go away."
"eventtime","2006-05-28 21:08:00"
"url","http://babyxmachine.livejournal.com/16523.html"
"userid","1294"
"itemid","63"
"event","one beat
teeth still chattering
make it stop
i clarified i wanted 
honesty
even if i can't hear it
i could see it
my gut is weighed down
with it
who is telling the truth
does it really matter
anymore
i just know that my
beating (hurt) heart
is still in your hand
ripped out
no life pumping to it
and i'm still breathing
because i've remembered to.
i feel with my heart 
and i'm relearning how
to not think
with my heart."
"eventtime","2006-05-23 00:55:00"
"url","http://babyxmachine.livejournal.com/16290.html"
"userid","1294"
"itemid","62"
"event","there is clarity in
the 
absence of breath.
fortunate or
unfortunate
i am still breathing
another countdown
to nothing
is underway
am i going to stick around
no one can answer this 
no part of me has this
answer
no part of me is ready for the
answer"
"eventtime","2006-05-22 00:52:00"
"url","http://babyxmachine.livejournal.com/16062.html"
"userid","1294"
"itemid","61"
"event","sudden falls
left behind
sandwiched
between water
and love
and hate
there's this constant exercise
this back and forth motion
why tell me your dreams
really why tell me
anything
last to know
all i have to hold onto
is lies
all i want to hold onto is
you."
"eventtime","2006-05-22 00:48:00"
"url","http://babyxmachine.livejournal.com/15618.html"
"userid","1294"
"itemid","72"
"event","pictures 
scenes
shots
green leaves
melting away
i remember tomorrow
like it was yesterday
my eyes keep flickering
i've worked in these fields
before
i leave
the 
the 
needed
less 
than
falling down again."
"eventtime","2006-05-14 01:37:00"
"url","http://babyxmachine.livejournal.com/18572.html"
"userid","1294"
"itemid","71"
"event","lines restored
six tiny cuts
what am i doing here
forgot to hide
how to
words pour out
silent
if outside was 
812 SE 30th
if downstairs still
loved me
woosh
problem problem
present.
still.
inside inside"
"eventtime","2006-05-12 01:35:00"
"url","http://babyxmachine.livejournal.com/18348.html"
"userid","1294"
"itemid","70"
"event","sometimes i feel like i
could explode
or implode
curl up inside of me
safe place
red cards
don't get your hopes up
you aren't a significant part
you are the small fraction
lines down
no one minds
somewhere i mind
but mostly i just sit
eyes half open
replaying words
reliving actions"
"eventtime","2006-05-11 01:33:00"
"url","http://babyxmachine.livejournal.com/17956.html"
"userid","1294"
"itemid","69"
"event","still waiting to find
my inspiration
in me."
"eventtime","2006-03-27 01:32:00"
"url","http://babyxmachine.livejournal.com/17750.html"
"userid","1294"
"itemid","68"
"event","on my back
restraint
frozen
the phone rings
i know i won't answer it
maybe i should just go to sleep
she talks a lot about not 
being perfect"
"eventtime","2005-12-06 01:29:00"
"url","http://babyxmachine.livejournal.com/17574.html"
"userid","1294"
"itemid","67"
"event","detaching a rhythm of life
souls connecting
bad motives
tightening my fist
i am not me
reflecting ideas
counting down to the collapse
my thoughts won't ever push out
of this room
trapped in time
15 again
still no friends
i feel asexual
no meaning
too many fucking people have been raped
detaching life from rhythm"
"eventtime","2005-09-22 01:26:00"
"url","http://babyxmachine.livejournal.com/17353.html"
"userid","1294"
"itemid","66"
