"names","values"
"itemid","3"
"event","<img src=""http://www.funpic.hu/swf/numanuma.swf"">"
"eventtime","2005-02-20 13:09:00"
"url","http://the-regulation.livejournal.com/787.html"
"userid","15473"
"itemid","2"
"event","<embed src= http://www.funpic.hu/swf/numanuma.swf>"
"eventtime","2005-02-20 12:59:00"
"url","http://the-regulation.livejournal.com/617.html"
"userid","15473"
"itemid","1"
"event","i give up"
"eventtime","2004-09-24 00:20:00"
"url","http://the-regulation.livejournal.com/364.html"
"userid","15473"
