"names","values"
"itemid","7"
"event","Well not much going on. Still looking for a roomate. Starting to panic a little. I meet with an admin councilor next week to see what would transfer to ccac. Other then that things are quiet."
"eventtime","2006-01-20 16:23:00"
"current_moodid","68"
"url","http://mistressishtara.livejournal.com/1938.html"
"userid","10205"
"itemid","6"
"event","Sorry I haven't updated in a bit. I got lazy/distracted.

On the housing situation:

The landlord said I can get a room and will put a door on what is now the living room thus making it a large bedroom. I'm also hunting down housemates. Thank goodness for roommates.com.

Reading a lot of fanfic by Voracity

Watched the Chronicles of Riddick and fell in lust with Vin Disel. (hello salty goodness). Going to watch Pitch Black this weekend hopefully. 

Thats about all thats going on right now."
"eventtime","2006-01-11 08:54:00"
"current_moodid","53"
"url","http://mistressishtara.livejournal.com/1671.html"
"userid","10205"
"itemid","5"
"event","Not much going on this week. still apt hunting and/or trying to find a roomate. Got my gas bill. Made the mistake of opening it on the bus going to work. Bus driver thought I was having an attack or something. 186.00. Yeouch. I'm gonna be working overtime for a long time. *sigh*

signing off for now."
"eventtime","2005-12-20 15:02:00"
"current_moodid","74"
"url","http://mistressishtara.livejournal.com/1437.html"
"userid","10205"
"itemid","4"
"event","The Last Rites site is back up. A lot of stuff was lost but I have no doubt it will be rebuilt better and stronger then before. I'll add more to this later I'm off to go redo all my stuff on the LR site."
"eventtime","2005-12-16 10:22:00"
"current_moodid","42"
"url","http://mistressishtara.livejournal.com/1066.html"
"userid","10205"
"itemid","3"
"event","I can't believe how much I am missing one of my favorite site. The Last Rites website went down due to server hardware crash and its been almost a week. I miss talking with the people there and purusing the galleries. 

Well its time for me to head to bed. Working night shift is hell on the sleep cycles."
"eventtime","2005-12-15 09:17:00"
"current_moodid","49"
"url","http://mistressishtara.livejournal.com/930.html"
"userid","10205"
"itemid","2"
"event","Just for the record I *hate* the cold. I also hate wet cold. 

That being said I'm sure I'll survive."
"eventtime","2005-12-15 08:41:00"
"current_moodid","84"
"url","http://mistressishtara.livejournal.com/571.html"
"userid","10205"
"itemid","1"
"event","What can I say. I finally gave in. Not that I expect this to ever be read much. I figure its the one place where I can put down thoughts and not lose them to easily. 

Things I'm excited about today. 

My dream mixer. Its a Kitchen Aid.  Its not the super deluxe model but for me its perfect!!! 


Things I'm not so excited about today.

Working xmas/new years eve plus any other overtime I can get to pay for it."
"eventtime","2005-12-14 09:15:00"
"current_moodid","15"
"url","http://mistressishtara.livejournal.com/293.html"
"userid","10205"
