"names","values"
"itemid","399"
"event","Pins and needles signal the reawakening. Reconnection of an ancient, but un-forgotten circuit. Lazarus AND Frankenstein. Static in the transmission, but the machine runs anew."
"eventtime","2014-08-16 20:56:00"
"url","http://mytwistedpsyche.livejournal.com/102300.html"
"userid","10693"
"itemid","398"
"event","i'm 30. thought i'd be dead by now.   

i've lost all my great-grandparents since the big 3 0.  
cornerstones of my heritage, lynchpins of families that can no longer speak in words that make any sense.  

i have lost some of my most adored friends, unbeknownst reasons, just gone. 

when i had thought that at least to *them* i meant something.  'twas all smokescreens and mirrors, though, i guess, for as alone as i feel. 

i work a job i hate, surrounded by people who have no idea what it's like to live in the world.    

In 2 words? i'm lost.  
will i ever be found?

or maybe i just need to go outside and get more fresh air and sunshine?"
"eventtime","2010-02-12 12:24:00"
"url","http://mytwistedpsyche.livejournal.com/102047.html"
"userid","10693"
"itemid","397"
