"names","values"
"itemid","21"
"event","QW5kIHRoZSBzZWFzb25zIHRoZXkgZ28gcm91bmQgYW5kIHJvdW5kLi4uLi4NCldl4oCZcmUgY2FwdGl2ZSBvbiB0aGUgY2Fyb3VzZWwgb2YgdGltZQ0KV2UgY2Fu4oCZdCByZXR1cm4sIHdlIGNhbiBvbmx5IGxvb2sgYmVoaW5kDQpGcm9tIHdoZXJlIHdlIGNhbWUNCkFuZCBnbyByb3VuZCBhbmQgcm91bmQgYW5kIHJvdW5kDQpJbiB0aGUgY2lyY2xlIGdhbWUuLi4uLi4uLi4uLg0KfkpvbmkgTWl0Y2hlbGw="
"eventtime","2004-08-30 16:01:00"
"url","http://scphotogirl.livejournal.com/5453.html"
"userid","13413"
"itemid","20"
"event","What is it about moving that makes you want to drink?
Like correct me if I'm wrong, but isn't it just a tradition when moving to get a case of beer and down'er while hauling heavy shit? 
Today I am starting to pack up and move all the crap from the youth centre to the new locatation and without even thinking, I was all ""man, I sure need a beer."" then I remembered that I was suppose to be having beer b/c I am moving!!!
Now I want to go get beer. Is this a good idea or a bad one? I am at work, but on the other hand I AM moving, so what do I do? I also have a practicum student, so is drinking on the job setting a bad example? 

Why is the weather so shatty latley? It defo feels like fall now, I'm thinking about putting my fan away that has been in my bedroom window all summer. It's almost time to wear shoes again too and I hate shoes....I love me flip-flops.

Big Brother 5 is on tonight.....it's such a stupid show but I am so addicted to it and feel like a huge nerd when I watch it b/c I don't answer the phone and seclude myself from any human contact until it's over.

Gay show was on last night but was a re-run, wonder when the new gaytastic season starts....they also need more grrls on it and get rid of all the dick shots.....

I was looking at engagement rings online last night...wonder if this means that I am truly ready to get married and commit myself to one person forever......I think I have always been in that frame of mind but just waiting for the right person to come into my life until I was serious about it.

Well,back to moving.......with no beer in sight.
~Word to ma homies"
"eventtime","2004-08-24 13:31:00"
"url","http://scphotogirl.livejournal.com/5302.html"
"userid","13413"
"itemid","19"
"event","So was browsing mytelus.com and looking for the weather report tommorow b/c my special event is happening....
AND MOTHERFACKER IT'S GOING TO RAIN.
WHY ME.
It's been sunny like every Saturday this summer and the ONE Saturday I am holding an event, the weather turns on me!
This is what we call 'Shelley luck'. Shelley has the worst possible luck in the world and it seems that someone or something in this solar system is out to get me. No no, I'm not claiming 'victim', I just think it's weird that a lot of bad things happen to me....but then again, many good things happen as well.
I also saw that we one another medal....in trampoline.
Bouncing is a sport??! PLEASE, that's not even a sport!! 
I think we are now tied with Antartica and Timbuktu for medal counts.
What a dissapointing day.....and I still have to work for 5 more hours.
~Wurrrrrd ooooout"
"eventtime","2004-08-20 13:00:00"
"url","http://scphotogirl.livejournal.com/4885.html"
"userid","13413"
"itemid","18"
