"names","values"
"itemid","18"
"event","&nbsp;Just wanted to say hi to everyone I know I haven't been on here in a long while. I hope everyone is doing well. I have a new job and an Incredible woman in my life. I love her with all my heart. Anything else just drop me a line."
"eventtime","2007-09-10 19:19:00"
"current_moodid","15"
"url","http://the-laser-guy.livejournal.com/4681.html"
"userid","15454"
"itemid","17"
"event","<a href=""http://www.blinkyou.com"" target=""_blank""><img src=""http://www.blinkyou.com/imgbank/distantlove.gif"" border=""0"" alt=""Check Out Blinkyou.com for thousands of custom glitterz and layouts""></a>"
"eventtime","2006-01-04 16:10:00"
"url","http://the-laser-guy.livejournal.com/4412.html"
"userid","15454"
"itemid","16"
"event","<a href=""http://www.myspace.com""><img src=""http://www.<YourDomain>.com/banner_130x55_07.gif"" border=""0""></a>"
"eventtime","2005-12-20 10:09:00"
"url","http://the-laser-guy.livejournal.com/4174.html"
"userid","15454"
"itemid","15"
"event","If you ever want to see what I look like go to my homepage.

http://www.myspace.com/oiw"
"eventtime","2005-11-29 13:10:00"
"current_moodid","15"
"url","http://the-laser-guy.livejournal.com/4094.html"
"userid","15454"
"itemid","14"
"event","<a href=""http://www.myspace.com/oiw"" target=""_blank""><img src=""http://x.myspace.com/images/Promo/myspace_4.jpg"" border=""0""><br><img src=""http://myspace-100.vo.llnwd.net/00291/00/19/291619100_s.jpg"" border=""0""><br><font size=""1"" face=""Verdana, Arial, Helvetica, sans-serif"">Check me out!</font></a>"
"eventtime","2005-11-07 22:54:00"
"url","http://the-laser-guy.livejournal.com/3604.html"
"userid","15454"
"itemid","13"
"event","Things in life that piss me off is one someone you care about decides that they were going to drink one night and not wait for me to even be there. And then tell me to take there friends home because someone decided to drink. Should I not be upset about this. Yes I told this person that I would stay the night and I decided otherwise because I didn't want to stay up and argue all night that I would go home especially since I got back later than I thought, also I was tired, and upset that the other person didn't take care of there responsibilities before the decide to get wild. Should I be bothered by this? I need feedback on this one. Someone please write me back and tell me I'm not crazy."
"eventtime","2005-10-23 09:33:00"
"current_moodid","1"
"url","http://the-laser-guy.livejournal.com/3462.html"
"userid","15454"
"itemid","12"
"event","Life is getting a little better now. I'm having a blast. and things are looking up."
"eventtime","2005-09-30 12:20:00"
"current_moodid","106"
"url","http://the-laser-guy.livejournal.com/3083.html"
"userid","15454"
"itemid","11"
"event","There is no such thing as a true friend. You always have to keep your guard no matter who is around. My trip to South Carolina sucked. Let's see my clutch blew out on the way down there, and then I had to rent a car to go the rest of the way. I got rear ended after leaving the rental agency. I get home five days later to find out that the clutch they put in my car is the wrong one, so my car get's to sit at another dealership for a week the finally put that right one in and then say I have a coolant leak. FU you blood suckin' bastards. My car is still not done. I'm very angry. I wish I could find love as easily as other people and be able to let them in on my deepest secrets. I doubt that will, I'm not being pessimistic, just being real. It hurts to love anyway at least if your alone then your heart is safe."
"eventtime","2005-09-06 20:10:00"
"current_moodid","24"
"url","http://the-laser-guy.livejournal.com/2989.html"
"userid","15454"
"itemid","10"
"event","I am heading out of town on Sunday to go visit a friend in South Carolina. It's nice to get away for a change. I am very tired today. Hopefully I'll get some sleep before I go garage saleing on Saturday.



-Later-"
"eventtime","2005-08-12 08:44:00"
"current_moodid","49"
"url","http://the-laser-guy.livejournal.com/2577.html"
"userid","15454"
"itemid","9"
"event","Life is getting better. Things are starting to mellow out for a change. It's kinda nice."
"eventtime","2005-06-28 18:00:00"
"current_moodid","11"
"url","http://the-laser-guy.livejournal.com/2464.html"
"userid","15454"
"itemid","8"
"event","Life is better now........."
"eventtime","2005-06-06 18:48:00"
"current_moodid","99"
"url","http://the-laser-guy.livejournal.com/2118.html"
"userid","15454"
"itemid","7"
"event","Life is becoming very hard lately. I am having a lot of trouble. I have been helping a lot of people. And not recieving the compensation that was agreed to and I am getting very upset. I may have to move out of my fathers house. I don't know what to do. Life is really sucking right now. I need people to talk to and have no one because the usual answer is that "" I'm busy, or I have bad signal, or Let me call you back."" I never get the call back and I am getting upset. I am not sure what to do. I need help. I cant ask my father because he has been getting on my case a lot lately. It's driving me nuts."
"eventtime","2005-06-03 19:34:00"
"current_moodid","112"
"url","http://the-laser-guy.livejournal.com/1892.html"
"userid","15454"
"itemid","6"
