"names","values"
"itemid","153"
"event","Though I try to grasp for meaning
of things no one can understand

in keeping stoic message,
a stone facade, the cracks
I fill daily

a bit between my teeth
steering the direction
of passion and honor and truth

tentrils of chaos, forever reaching
for my feet 
looking, yearning
to force a fall

sheer defiance, keeps me afloat
in this agitated ocean
black and deep and vast

the road I have traveled
flooded now
like magnets polorized
as I tread forever North."
"eventtime","2016-05-07 13:32:00"
"url","http://tearyeyes37.livejournal.com/39243.html"
"userid","15311"
"itemid","152"
"event","It&#39;s funny how the world turns. No matter how your day went, or who said what - the sun will set, and rise tomorrow.
With this in mind it&#39;s easier to accept the hard things in life as they come. I&#39;ve kept this mentality through most of my life, accepting things as they were becuase that was how it was.

And here I stand at a cross roads- a challenge for someone who&#39;s traveled down the same path for so long, with the same mentality.

Some Words on my Mind
<lj-cut text=""Some Words on my  Mind"">
Mi Corazon, Je t&#39;aime.

oh dear lover,
whisper sweet nothings
in my ear. As we embrace,
your hot breath causes cold chills
upon my spine.

oh my heart,
shaking from a skipped beat
surround me. As we dance,
your vibrant aura reaching out
to all of mine.

my only partner,
pining for the love
you promise. As we ache
with a pain, we placed upon
our own existance.

oh my sunshine,
gaze upon my yearning
to soak you in. As you stretch
your hands to touch
my very soul.

oh sweet release,
husky voice catching from
our connection. As we soar
together, if only
for a moment.
</lj-cut>"
"eventtime","2015-05-20 17:04:00"
"url","http://tearyeyes37.livejournal.com/38991.html"
"userid","15311"
"itemid","151"
