"names","values"
"itemid","470"
"event","Hello all I am still kicking and thinking of gettin this back up and going. Whos still out there?"
"eventtime","2011-05-03 20:07:00"
"current_moodid","56"
"url","http://alrantpage.livejournal.com/120405.html"
"userid","546"
"itemid","469"
"event","i AM STILL A LIVE AND WORKING ON A BIG POST"
"eventtime","2009-02-12 22:14:00"
"url","http://alrantpage.livejournal.com/120151.html"
"userid","546"
"itemid","461"
"event","any one know a good myspave editor"
"eventtime","2006-12-19 21:06:00"
"url","http://alrantpage.livejournal.com/118138.html"
"userid","546"
"itemid","456"
"event","i need to pimp my paintball fourm so here is a link

http://tempwmapaintball.myfastforum.org

sign up we need the members"
"eventtime","2006-11-18 07:43:00"
"url","http://alrantpage.livejournal.com/116864.html"
"userid","546"
"itemid","454"
"event","Rudolph paper towels lol they where super cheap"
"eventtime","2006-11-10 20:24:00"
"current_moodid","5"
"url","http://alrantpage.livejournal.com/116259.html"
"userid","546"
"itemid","446"
"event","if your not on my friends list your not going to see new post. sorry but with the big D and all i got to be smart."
"eventtime","2006-10-29 20:46:00"
"url","http://alrantpage.livejournal.com/114313.html"
"userid","546"
"itemid","444"
"event","this has to be vast laura is trying to type to. her b-day party was a blast. and she like the chair we got her."
"eventtime","2006-03-07 20:46:00"
"current_moodid","88"
"url","http://alrantpage.livejournal.com/113813.html"
"userid","546"
"itemid","443"
"event","lets see last sunday i got to meet heathers new boyfriend tom. i got my teeth cleaned, that sucked. on sat we have a b-day party for laura she is turning one. thats it not much eles to talk about."
"eventtime","2006-03-03 06:30:00"
"current_moodid","91"
"url","http://alrantpage.livejournal.com/113469.html"
"userid","546"
"itemid","442"
"event","not much going on my friend heather and her new boyfriend are coming over this today for a little bit. but thats about it"
"eventtime","2006-02-26 07:53:00"
"url","http://alrantpage.livejournal.com/113277.html"
"userid","546"
"itemid","441"
"event","i got band from an lj because of a cubs joke i made last week. an to top it off the persons a yankee fan"
"eventtime","2006-02-10 22:39:00"
"url","http://alrantpage.livejournal.com/112991.html"
"userid","546"
"itemid","439"
"event","okay lets its only been 8 months wow and i am making an update wow. okay i have gotten behind in my reading but whats new i got a little and that makes life very busy. but my new goal is two updates a week maybe more"
"eventtime","2006-02-03 14:10:00"
"url","http://alrantpage.livejournal.com/112612.html"
"userid","546"
"itemid","438"
"event","sorry i don't type more just way to busy with little laura. every thing is good but i am home sick to day with a cold. i have read the whole harry poter book (that was for money and fun). hope to read some ljs later"
"eventtime","2005-07-19 07:58:00"
"url","http://alrantpage.livejournal.com/112327.html"
"userid","546"
"itemid","437"
"event","sorry about not updating sooner jens grandmother passed a way sunday morning so things are a little crazy"
"eventtime","2005-05-03 08:34:00"
"url","http://alrantpage.livejournal.com/112041.html"
"userid","546"
"itemid","436"
"event","hi all i am still sick hope to do a big update soon"
"eventtime","2005-05-01 02:52:00"
"url","http://alrantpage.livejournal.com/111803.html"
"userid","546"
"itemid","435"
"event","i have been sick as a dof the past 7 pluss days sorry for not posting i will try later to night"
"eventtime","2005-04-21 19:17:00"
"url","http://alrantpage.livejournal.com/111392.html"
"userid","546"
"itemid","434"
"event","8-1 was nice. trying to get some stuff done before the girls get home. i had hope to vent about some ct drivers but i don't have the time"
"eventtime","2005-04-12 19:16:00"
"url","http://alrantpage.livejournal.com/111153.html"
"userid","546"
"itemid","433"
"event","not much to say to day just hung out at the parents went to bjs and back to the parents"
"eventtime","2005-04-10 22:29:00"
"url","http://alrantpage.livejournal.com/110970.html"
"userid","546"
"itemid","432"
"event","lets see we went out to day and walked on part of MT Tom in western ma (like 20 min down the road). saw fever pitch last night very good movie an less you like the yanks."
"eventtime","2005-04-09 17:16:00"
"url","http://alrantpage.livejournal.com/110827.html"
"userid","546"
"itemid","431"
"event","hello every one it is going to be 60 out today. lets see where to start my dog is over for the week end, i am going to try and see if any of the people i have not seen for months and months can hang at my condo at all this weekend."
"eventtime","2005-04-09 11:00:00"
"url","http://alrantpage.livejournal.com/110384.html"
"userid","546"
"itemid","430"
"event","two days in a row. i think i am going to see if some of the old gang is around abd wants to hang. that and check over some of my paintball gear it is that time of year"
"eventtime","2005-04-08 11:05:00"
"url","http://alrantpage.livejournal.com/110330.html"
"userid","546"
"itemid","429"
"event","any one that thought i was gone...... am back for now...... lets see here is the quick up date...


lets see got a condo got married and now i got a little girl that will be a month old on sat"
"eventtime","2005-04-07 22:19:00"
"url","http://alrantpage.livejournal.com/109856.html"
"userid","546"
"itemid","428"
"event","it is as cool as hell out"
"eventtime","2004-11-07 07:33:00"
"url","http://alrantpage.livejournal.com/109581.html"
"userid","546"
"itemid","427"
"event","Hello every one the few of you that had my old number that has changed. e-mail me or coment to this if you need it"
"eventtime","2004-11-06 22:08:00"
"url","http://alrantpage.livejournal.com/109347.html"
"userid","546"
"itemid","425"
"event","im back the walk is over"
"eventtime","2004-10-21 22:39:00"
"url","http://alrantpage.livejournal.com/109044.html"
"userid","546"
"itemid","424"
"event","i am going for a walk a way from lj be back in a month or to"
"eventtime","2004-08-15 10:12:00"
"url","http://alrantpage.livejournal.com/108717.html"
"userid","546"
"itemid","423"
"event","i have been sick as hell tusday on so sorry bad way to start off updating every day"
"eventtime","2004-08-14 23:37:00"
"url","http://alrantpage.livejournal.com/108347.html"
"userid","546"
"itemid","422"
"event","lets see where to start i have had i-net problems for the past 2 weeks because i could not dial in faster then 14.4 bps after 20 min of waiting for lj to load i said fuck it. i got high speed on thursday. after i had singed up for dsl paid for a year and then 1 and a half weeks after paying and waiting for the dsl modem to work they call me and say it will not work ther is a 6000 foot coil of wire that makes it so i can't have dsl ( the lady nexts store has it????????????????????). so got cable i-net and then fixed things for the rest of the day. then i had to go to the inlaws on sat. today went to fire and looked in to joining the firestation next store to the condo. lot more to type but got way to much shit to fix. sorry"
"eventtime","2004-08-08 20:49:00"
"url","http://alrantpage.livejournal.com/108202.html"
"userid","546"
"itemid","421"
"event","i am back, i will be updating every day and reading ljs every day but i am cutting people not every one but a few that have not commented in there ljs as of before the weeding"
"eventtime","2004-08-08 19:15:00"
"url","http://alrantpage.livejournal.com/107828.html"
"userid","546"
"itemid","420"
"event","Hello all from the Bahamas, it is hot out but it is nice the apartment is about 30 ft from the water we ate at the stone crab on sunday that was about $100.00 but the food was good. \

the wedding went well, i will be back monday night to reply to e-mails and coments later i got only a min left at the cyber cafe."
"eventtime","2004-07-20 17:02:00"
"current_moodid","15"
"url","http://alrantpage.livejournal.com/107522.html"
"userid","546"
"itemid","417"
"event","for all of you looking to buy a home or condo it is hell and i mean hell"
"eventtime","2004-07-07 14:44:00"
"url","http://alrantpage.livejournal.com/106784.html"
"userid","546"
"itemid","416"
"event","ten days till the wedding less then 48 hours till the closing on the condow 11 days till me fly away for a week"
"eventtime","2004-07-07 09:24:00"
"url","http://alrantpage.livejournal.com/106737.html"
"userid","546"
"itemid","415"
"event","i am picking up a new guinea pig to night so that means that i will now have two guinea pigs in my room"
"eventtime","2004-06-30 17:38:00"
"url","http://alrantpage.livejournal.com/106413.html"
"userid","546"
"itemid","411"
"event","i know long ass time no update with the wedding and buying a place to live it is crazy every know and then at work i can get and read ljs and some time post i am up on most of your ljs. 

what eles i will try to update a few more times before we get the house and the wedding"
"eventtime","2004-06-13 21:59:00"
"url","http://alrantpage.livejournal.com/105328.html"
"userid","546"
"itemid","410"
"event","i am working and able to read ljs hope to read them all"
"eventtime","2004-06-03 11:51:00"
"url","http://alrantpage.livejournal.com/104964.html"
"userid","546"
"itemid","406"
"event","what the hell could they not have had a little killing at the end"
"eventtime","2004-05-19 22:06:00"
"url","http://alrantpage.livejournal.com/104159.html"
"userid","546"
"itemid","402"
"event","i am cutting people if you want back on comment .... if your not cut no need to comment"
"eventtime","2004-05-12 08:20:00"
"url","http://alrantpage.livejournal.com/102916.html"
"userid","546"
"itemid","401"
"event","after someone got pissed at a comment i made in her lj just thought you all should no i am not for bush and i am also anti kerry. so that makes me an ind and i am hoping that they have someone that i can vote for and still sleep to night."
"eventtime","2004-05-11 11:17:00"
"url","http://alrantpage.livejournal.com/102819.html"
"userid","546"
"itemid","400"
"event","to night if i am awake a review if my boaring life and why i think it is boaring now"
"eventtime","2004-05-10 17:47:00"
"url","http://alrantpage.livejournal.com/102425.html"
"userid","546"
"itemid","393"
"event","i axed a few people from the ol'lj today if you can read this your on of the many that did not get cut"
"eventtime","2004-04-28 08:52:00"
"url","http://alrantpage.livejournal.com/100633.html"
"userid","546"
"itemid","392"
