"names","values"
"itemid","9"
"event","I fucking hate being Grounded, 2 weeks this sunday, of bEing home EVERY FUCKING DAY!!!.  it makes me wanna kill my mother.. this sucks so bad..  Ive been fighitng with her so much, proballlllllllllllllllllllllllly because she hates her life so she decides to take it out on me caus ei have more fun than she does hahaha.  It all started when i was out with chris and i was suppose to come home at 9...and i didnt until 11, a week before that she found the papers in my car!  oh man.  but this sunday better be good, cause I've missed sooo much these past 2 weeks, and caits 18 party is today and im home. blah blah blah

  I think a bowl of honey nut cheerioes is calling my name right now, c ya later



  **From now on -- NOTHING UP THE NOSE!!!!**"
"eventtime","2004-07-16 18:26:00"
"current_moodid","24"
"url","http://univrsalyspoken.livejournal.com/2373.html"
"userid","16263"
"itemid","8"
"event","*<> PAST <>*
First grade teacher's name:: Mrs. Sullivan, SHES RETIRRING!!!!! :(
Last word you said:: Whatever.....lol
Last song you sang: Ramble On - Zeppelin
Last thing you laughed at:: Ummm Court telling me How Allie is humping the cat...mmhmm
Last time you cried:: What kind Of Question Of this.....Actually my teers are at a constant flow, cause i am always weeping for the starving children to China....honestllllyyyy


* <> PRESENT <> *
What's in your cd player?: My Snowboarding Mix
What color socks are you wearing?: White
What's under your bed?: My Photo books..My pictures...extra Blankets...cloths...pot?
What time did you wake up today?: 6:30

* <> Current <> *
Current hair:: Messy Bun on the top of my head, as always
Current clothes:: my SPLIT sweatshirt thats all beat up, and my jeans that are to big
Current annoyance:: My mom Big Sher.. being Big
Current smell:: Tommy Girl
Current longing:: Somebody Special to call me :)
Current desktop picture:: Andy Goldsworthy STONE art..hes so amazing
Current favorite music artist:: artist- Jack Johnson
Current book :: White Oleander, which I have Neglected
Current worry:: School, and getting it all done
Current hate:: My friends are making me mad 
Story behind your username:: Song by the Chilli Peppers
Current favorite article of clothing:: My sandals

* <> Randomness <> *
Favorite physical feature on a boy/girl?: Smile, eyes, hands...and thats not sexual lol, they just need to be pretty!
Line from the last thing you wrote to someone:: ""oooohhhhh yesssss""
I am happiest when:: im with friends, going crazy
I feel lonely when:: no ones around, i feel outta place
Favorite authors:: hhmm as long as the book is good i guess, evrybody can wirte shit
If you could live anywhere in the world, where would it be? England
Do you have any regrets?: Not Being myself for so long
Sex or love:: Sex....love is dumb
Favorite coffee:: French Vinillia EXTRA EXTRA
Favorite smell:: The Insence I buy from Newbury Comics
What makes you mad:: POSERS!!, fake people, liars, people who have everything handed to them
Favorite way to waste time:: Going on the Computer, Driving
What is your best quality?:: umm..I like My tatse in music
What's the craziest thing you have ever done?: Everyday of my life adds to that
Any bad habits?: Picking my nails/nail polish, procrastinating...but who doesnt??
Do you find it hard to trust people?: Depends who it is
Last thing you bought yourself:: CD, or gas if that counts
Bath or shower?:: shower
Favorite season:: Winter for Snowboarding, Fall for F.H
Favorite color:: Green, red, black
Favorite flavor:: Watermelon
Favorite time of day:: night......9:00
Gold or silver?: silver
Any secret crushes?: ehhh yeah 

<> FASHION <> *
Mustache::no
Watch:: I like to where them, but i dont like to in the summer (your not suppose to care about time)
Favorite stores:: Anywhere were its cheap, and i like it 
How big is your closet?: well i painted mine and turned it into a mini chill room...soo 
Ever spend more then $200 in a store?: My parents probally did when they bought me baby cloths..first born

* <> Friends <> * 
Do your friends know everything about you?: whats the point in that?
What do they tend to be like?: funny, and stressed out 40 yr olds, and Drunk/High
Can you count on them?:..yeah
Can they count on you?: No Doubt!

* <> Last <> *
book you read:: Macbeth; for school, The perks of being a Wildflower; on my own
last movie you saw:: I just watched head of state like an hour ago....it sucked
movie you saw on the big screen:: harry potter HAHAHA!!!
show you watched on tv::  South Park
song you heard:: Ramble on- Zeppelin
thing you had to drink:: Green Tea
thing you ate:: Me and reed had Nachos for lunch
time you showered:: last night 
time you smiled:: I dunno, i dont write it down
time you laughed:: ^^ same as above
person you hugged:: ummmmmm i think allie last night when she hit me during the game lol

* <> Do You? <> * 
Smoke?: not ciggys!!! i hate them
Sleep with stuffed animals?: Yes Beatrice my rabbit, Maxine the leopard, and leroy and max my dinosaours....and my blanket haha
Have a dream that keeps coming back?: YES i hate those!!!!!!!
Play an instrument?: I have them, and i do attempt
Believe there is life on other planets?: sure
Read the newspaper?: We do it journalism class
Believe in miracles?: yes
Consider yourself tolerant?: I have ADHD.....of course!!
Consider police a friend or foe?: foe
Like the taste of alchohol?: How do u awnser this without trying to sound like a badass????.....but depends what it is i guess
Believe in astrology?: yes
Believe in magic?: to an extent
Go to church?: ..im jewish... HAHAHAHA
Have any secrets?: of course
Have any pets?: yea, Bindi my hamster the love of my life, and my farm of animals lol, and soon two be my hermit crabs Beijing and Tokyo

Go or plan to attened college?: Plan to go to Syracuse
Talk to strangers?: haha sure, thats kidna a dumb question?
Have any piercings?: yesm..soon my nose and/or tounge..even though sher said she'd rip it out lol
Have any tattoos?: no, but i have big plans!
Wish on stars?: all the timee
Believe in ghosts?: oh yeah i do....to many night at rachs, courts, and my house to proove that one
Believe in santa?: y wouldnt i
Believe in the easter bunny?:nahhh
Believe in the tooth fairy?:pshh
Sing in the shower?: yeh if the radio is on"
"eventtime","2004-06-22 14:55:00"
"url","http://univrsalyspoken.livejournal.com/2131.html"
"userid","16263"
"itemid","6"
