"names","values"
"itemid","437"
"event","http://aaksid.tumblr.com/

Si vous voulez des photos."
"eventtime","2011-05-31 22:38:00"
"url","http://purplepuppe.livejournal.com/111898.html"
"userid","12424"
"itemid","398"
"event","Justeuneombre.
Ajoutez-moi."
"eventtime","2008-09-29 11:39:00"
"url","http://purplepuppe.livejournal.com/102107.html"
"userid","12424"
"itemid","18"
"event","<center><img src=""http://i3.photobucket.com/albums/y63/Purplepuppe/bouche2.jpg"" alt=""."" /></center>"
"eventtime","2005-03-24 17:39:00"
"url","http://purplepuppe.livejournal.com/4817.html"
"userid","12424"
