"names","values"
"itemid","14"
"event","heyy mi am0r wuz go0d? damn i havent writin in diz shyt f0 lyke eva daz cuz i g0t anotha j0urnal xanga n i lyke it betta cuz itsz easier 2 understand lma0 cuz tu save am madd fucCiin sl0w lyke dat lolz. umm well nuffin spesiical juss waitin f0 pr0m 2 c0me itsz guna b off da ho0k fo0 sho lolz. umm am g0in 2 colombia f0 2 weekz on da 26th hahaha am so0o happie its guna b off da ho0k dude.. yurr well am out much0 am0r 1un"
"eventtime","2004-06-09 18:11:00"
"current_moodid","59"
"url","http://colombianmami.livejournal.com/3680.html"
"userid","3042"
"itemid","13"
"event","<P><FONT color=#ff0000>wuz go0d? i havent writin n diz f0 da l0ngezt cuz i been buzy yeaa so umm well pr0m iz on da 15th of june kinda happy kinda not n well yurr am goin out wiff mah baby bo0 ivan i l0ve dat kid so0 much he meanz da wrld 2 me n he l0vez me f0 wh0 i am... i think hez da 1 lolz. well umm 2daii am g0iin 2 prayer gr0up h0pefully christian thugz f0 lyfe---gangsta lolz. well ima b out da baby cryiin much0 am0r 1un</FONT></P>"
"eventtime","2004-05-24 18:23:00"
"current_moodid","1"
"url","http://colombianmami.livejournal.com/3388.html"
"userid","3042"
"itemid","12"
"event","<FONT color=#ff0000>wow..today...wut a day lmao...well lemme tell yuh wut went on...ale dident come 2 skool sooo i got dropped off at nikis house in the morning n we walked frum there...umm skool was like the best omg i dident do NOTHing...first 2 periods we had LA which was like pretty good...we started a new story n tis the only 1 i actually payed attention 2...TA DA surprised ehh neways THENN umm wa happend OHH yeah we had Hygeine after that so we had 2 stay in that class...but Mr.O is like a jackbut man lmao 4real man i was painting nikis nails n i finished n then i dident do anyhting cuz iono man i dident feel like it at all so im like w/e...its all crap anyways not like i learn anything in that class so its all good...so mr o wuz like ""where r ur books young lady"" in that accent UGH dont understand crap man...i dident say nething l0ol n he just walked away im like OH WELL baha...neways so i dident do nuthin in his class uhm thenn i had gym which was pretty good...805 kicked serious aZz in volleyball...i surved maby like 5 times..? n i got like 3 points 4 us WoHo0o but we still lost AGAINST 803 man 803!!! i SOOO wanna play 804 n beat all them chiken headz man...i hate them just wanan punch them out 1 day outta nowhere UGH...okay so after gym was lunch..it was okay i ate BREAD WaHo0 lol n i baught a juice n then we went outside sat on the floor n jus...chilled out 4 a lil while...hmm then oh we went inside n we had science which was funny in a way...me, danielle, niki, n tina were sitting at a table...danielle got moved cuz se was ""talking"" lol so then it was me niki n tina&nbsp;n we were just really bored, chanell started a note so we were just like writing 2 eachotehr...table 2 table ok so then i put my hand over 2 nikis book 2 write sum crap lol n Mr. Welch was liek gina im gunna move u blah blah tomorrow get back 2 ur seat...im like w/e dude...not like im guna&nbsp;go back neways baha...okay science ended n then we went 2 math UGH double period man!!! but Mrs. Durham was bein really nice 2day 4 sum reassonn she like let us talk thru both the periods n just did like 5 mins of work im like wow go mrs durham...l0ol...thennnnnn 2day is tuesday so it was the late day DAmmiT so we went 2 9th period where we go 2 homeroom which is Mr Johnstons class so we had fun there me n niki emptied out the locker...lmao wow we found so muhc crap in theree not even funny...we found like all these pics niki was like i was wondering where these were!...we found an umbrella...l0ol n we each had like 6 or 7 books plus tinas books cuz sum1 popped ehr locker a while ago so she put her stuff in there too...so we all went 2 9th period CEPT tina n laruie they cut...i was about 2 but then i ident n im happy i dident cuz we had fun...we were at a table it was me, niki, sandhya, danielle, n a buncha other ppl iono oh yeah n davania but she was like in n out of the class n mr j dident c shit...so me n niki like threw away SOOO much crap omigod n she like threw away like 2 books n i keps all the empty pages cuz we all wrtie notes like all teh time so i kept it all im like ehh wut the hell...yeha so theres like these cabinets under teh counters where we not allowed 2 sit on but i sit on them neways so like in the cabinets theres like sooo much garbage n its all from me cuz i use 2 sit like rite there baha n so i was like throwin a lotta shit in there im like o well nobody has looked in that thing 4 years so w/e...me n carrington sat there so we always threw our garbage in there...candy wrappers, bottles, paper omigod so much paper lol...yeha so taht was 9th period purrrdy fun...dam i never wrote this much im sure nobody readin thiz but o well lol if u did read all of it write in my g`bookie l0ol oh wait that was onyl HALF my day man thenn i went by ales house s we was there then we went walkin around...we went 2 go pick up danny cuz we were suppose 2 go 2 the conduit park wit tina n laurie cuz tina n danny go out so yeah...so we picked up danny n we find hector l0ol he was riding a barbie scooter which he claims he ""stole"" we like yea uh huh...n of course we saw jackass mazo n will n iono whoever else playin bball on 117 n sutter so ale tried 2 call mazo but he dient come he was bein a ass as usual so w/e so me, danny, ale, n hector walked all the way 2 133 ave i think n lefferts ALMOST 2 the park but it was like late it was like 5:40 n me n ale had 2 b back at 6 man l0ol heres where it gets funny...laurie n tina were at pizza port n so we told them 4get teh park so we met them on lefferts n 133...so it was all of us...me, ale, hector, laurie, tina, n danny...then me n ale were walkin home like really fast it was like 5:50 n we were like o shit lets goooo so we walked really fast...we made it 2 116 n we were like hell no its guna take us 4ever n ale was like all worried so who do we call?? ROGERRR yay the bestest dude in the world heres why...we called him n axed him 2 come pick us up n drive us home ale was like begging him n he thought we was joking but we werent lmao that was funny so he came n saved us both AHHHHH HES THE BESTTT!!!!!! oka y so then roger like dropped us off on 109 l0ol n we walked all cool down the block 2 ales house&nbsp;LIEK WE DID&nbsp;NOTHING WRONG l0ol baha riiiite...yeah so roger saved the day so THANX MANNNNNNNNN UR THE BESTEST!!!!!!!!!!!!!!!!!okay so after that...we were at ales house on the computer n stuff n then i walked home...paul, my dad, my mom, nd the g`parentz was there...dad was on the couch watchin tv&nbsp; the res of them was just talkin so i came in n sat down n started talkin crap then i came online talked 2 sum ppl emailed roger n told him how GREATFUL we r!!!!! l0ol n thats it...so my day was great...its bin the best day ive had 4 the longest n PLUS it was&nbsp;soo nice out so im like yeah man...well tahts it...update 2moro ByEe -:|:-gB-:|:-<IMG height=15 src=""http://www.xanga.com/Images/kiss2.gif"" width=15></FONT>"
"eventtime","2004-05-11 21:40:00"
"current_moodid","125"
"url","http://colombianmami.livejournal.com/3130.html"
"userid","3042"
"itemid","11"
"event","<P><FONT color=#ffff00></FONT><FONT face=""Century Gothic"" color=#ff0000>heyy yall wuz go0d? well am here chilliand0 wiff gebe listen 2 musica. 2day sko0 wuz ight same old shit as alwayz. umm well am g0in out wiff sum1 hiz name is mazo i mean i liked him be4 n we went out but he stopped talin f0 like 2&nbsp;months 4 sum reason but then an ""incident"" happend on Friday n niow well we goin out am kinda happy cuz i havent had a guy hold me like in how long but its all go0d thats not the only important thing 2 me. chea so am packin cuz am movin 2 a new house yurr... am prolly goin 2 francis lewis cuz i got accepted into john adamz but ima move so dat joint guna b 2 far f0 me. yurr well i got mah pr0m dress lolz its madd nice. ight ima b out mucho amor o.N.e</FONT></P>"
"eventtime","2004-05-10 18:27:00"
"current_moodid","103"
"url","http://colombianmami.livejournal.com/2942.html"
"userid","3042"
"itemid","10"
"event","<TABLE class=blogbody cellSpacing=0 cellPadding=4 width=""100%"" border=0>
<TBODY>
<TR>
<TD width=""5%"">
<P></P></TD>
<TD vAlign=top><FONT face=""Century Gothic"" color=#ffff00 size=1>eyyo wuz go0d? i havent riting in diz cuz tu save am&nbsp;madd bussy wif oda shyt...anywayz well am hur wiff mah h0megirl gina here chillin waiting 2 walk round <IMG height=22 src=""http://www.xanga.com/Images/confused.gif"" width=15>. so0 um&nbsp; nuffin special had happend but 2morrow ima g0 wiff tina n da krew 3 f0rdham 2 g0 sh0pping yey~! <IMG height=15 src=""http://www.xanga.com/Images/pleased.gif"" width=15>. mah fav. thing in da wrld. umm well wut esle oh yea i g0t mah report card baq n mah average went up like whoa! lolz am so0 happie cuz mah parents dey wuz all prouda me n shyt so dey guna let me d0 m0 shyt now like g0 out wiff mah h0mmies n shyt well daz basically it am out now cuz gina juss sitin thurr staring out da window lo0kin f0 danny <IMG height=15 src=""http://www.xanga.com/Images/winky.gif"" width=15>. ight am outy un besito o.N.e </FONT></TD></TR></TBODY></TABLE>"
"eventtime","2004-05-04 19:06:00"
"current_moodid","92"
"url","http://colombianmami.livejournal.com/2596.html"
"userid","3042"
"itemid","9"
"event","<FONT color=#ff0000><STRONG><FONT size=2>
<P>A LATINO</P>
<P>IM JUST WAITING 4 MY KING TO COME AND RULE MY KINGDOM... LATINO AND SMART... HUMBLE AND SWEET...SOME WHO WILL GO ON ONE KNEE AND KISS MY FEET... THATS A KINDA LATINO I SEEK... ONE WHO WILL CATCH MY TEAR WITH A KISS... AND TELL ME ONE WHEN HE LEAVES IM THE ONE HE'LL MISS...ONE WHO KNOWZ HOW TO KISS MY LIPS... HOLD ME RITE AND SQUEEZ MY HIPS...ONE WHO KNOWZ HOW TO RIDE AND KNOWZ HOW TO SLIDE UP INSIDE... A LATINO WHO I KNOW I CAN CONFIE..I NEED A LATINO WHO WOULD NEVER LIE... I DONT WANNA SAY GOODBYE... I WANT A GUY WHO I CAN LOVE AND ADORE... SOMEONE WHO I CAN CARE FOR... THATS ALL I WANT AND NOMORE.. I DONT WANT HIM TO BUY MY LOVE AT THE PRADA STORE... I WANNA LOVE HIM AND NOT FALL... FALL FOR A STUPID ASS WHORE... I WANT A LATINO WHOS NOT A BORE... HE HAS TO SMELL GOOD...HE GOTTA BE CLEAN... IM NOT TRYING TO BE A FIEN... NOR AM I BEING MEAN... HE HAST TO WEAR THE RIGHT JEANS...ALL THIS MEANS I NEED A LATINO WHO IS ALL CLEAN...I NEED A LATINO WHO KNOWS HOW TO SET THE MOOD... BUT TILL TODAY I HAVE NO CLUE...WHAT LATINO COULD FIT THESE SHOES... IM JUST LOOKING FOR A LATINO LIKE YOU.... &lt;3</P></FONT></STRONG></FONT>"
"eventtime","2004-04-27 16:38:00"
"current_moodid","58"
"url","http://colombianmami.livejournal.com/2447.html"
"userid","3042"
"itemid","8"
