"names","values"
"itemid","24"
"event","You may write me down in history
With your bitter, twisted lies,
You may trod me in the very dirt
But still, like dust, I'll rise.

Does my sassiness upset you?
Why are you beset with gloom?
'Cause I walk like I've got oil wells
Pumping in my living room.

Just like moons and like suns,
With the certainty of tides,
Just like hopes springing high,
Still I'll rise.

Did you want to see me broken?
Bowed head and lowered eyes?
Shoulders falling down like teardrops.
Weakened by my soulful cries.

Does my haughtiness offend you?
Don't you take it awful hard
'Cause I laugh like I've got gold mines
Diggin' in my own back yard.

You may shoot me with your words,
You may cut me with your eyes,
You may kill me with your hatefulness,
But still, like air, I'll rise.

Does my sexiness upset you?
Does it come as a surprise
That I dance like I've got diamonds
At the meeting of my thighs?

Out of the huts of history's shame
I rise
Up from a past that's rooted in pain
I rise
I'm a black ocean, leaping and wide,
Welling and swelling I bear in the tide.
Leaving behind nights of terror and fear
I rise
Into a daybreak that's wondrously clear
I rise
Bringing the gifts that my ancestors gave,
I am the dream and the hope of the slave.
I rise
I rise
I rise."
"eventtime","2004-10-29 20:21:00"
"url","http://fantabuloso.livejournal.com/6233.html"
"userid","4944"
"itemid","22"
"event","if you have to love, don't. especially if the one you're going to love someone doesn't love you back. unrequited love must not fill a space in your existence. unrequited love sucks, hurts and kills. if you find yourself thinking about someone and his sweetness, although you know he's naturally sweet to all girls, and his sweetness to you doesn't mean anything, then don't think about him. don't be too assuming that he's checking out on you is a sign that he has a thing for you. don't read between the lines of the sweet text messages he sent to you. don't dwell on the memories that you had with him because most definitely, he is not dwelling on them, either.

don't fall for him. to fall in love with him will be an awful blow to your vulnerable emotions because surprise! surprise! he wouldn't reciprocate the feelings. he is just sweet, remember?

if you think you're crushing on someone who seems to be having a thing for your friend, and your friend seems to be crushing on the guy too bigtime, take the backseat. don't squeeze yourself in the picture. boogie out the scene that is designated for only the two of them. at this point, don't take the risk of falling for the guy in hope that maybe it's not your friend he's attracted with, but you. that won't work. assuming that someone loves you is the most stupid reason for propelling oneself to love. so don't assume. and if it happens that you really don't, but you have the urge to love the guy anyway, because whoa, the guy is a catch, try your hardest to control the feeling. the worst thing that can happen is finding yourself very heartbroken from seeing your friend and your prospect together. if you are totally crushing on a classmate, and you're nothing but his friend who buys tickets from his organization just for his sake, then for the love of yourself, bop yourself until you realize that you have to let go of that classmate. don't skip class because you're afraid you're going to see the two of them sitting beside each other. look at the guy in a different light. say, notice how he doesn't match up to your ideal guy standard anyway because he dresses so lousily-something like that. for pete's sake, it's just a crush you say. but dear, more often than not, crush leads to love. better stop now than endure a thousandfold pain later.

love is the sweetest thing, i know. it's the greatest feeling. that is, if the one you love loves you back. there can't be anything better than that. but if the situation is wherein you're falling for someone who just considers you as a friend, that's a different story. as much as possible, evade from those heart wrenching situations. love is hard to control, but try anyway. give your best shot at falling out of love or not falling at all. you're lucky if you detect the absurdity and the pain of unrequited love right away because it spares you from going through a lot of hell. all you have to do is simply occupy yourself with other things. have fun with your life. you will fall soon and this time, you will not get hurt, because he will reciprocate the feelings. it will not be now, but it will come in due time.

love is all about sacrifice, giving one's self freely, with no strings attached, you say. hell, i know that. i know love is supposed to work that way. love is really supposed to hurt, but that's what makes love love.

but this is my stand. and i know you respect that. love has pained me so much to actually believe that it is better to have not loved at all.

it's so easy to think about love, to talk about love. but it's not always easy to recognize love ... even when we already hold it in our hands."
"eventtime","2004-10-23 00:37:00"
"current_moodid","104"
"url","http://fantabuloso.livejournal.com/5747.html"
"userid","4944"
"itemid","20"
