"names","values"
"itemid","102"
"event","I've discovered when I am extremely hurt I can't eat.  Yet when I am stressed I can eat massive amounts of junk food.  I've been stressed a lot lately.  But I have someone who is trying to make me improve my eating habits.  Buy Sun Butter. It's better than peanut butter."
"eventtime","2006-07-22 21:56:00"
"current_moodid","106"
"url","http://mistyjune311.livejournal.com/26120.html"
"userid","10208"
"itemid","101"
"event","Haha. I just realized how lame I have become going to bed at like 9:30.  But hey, it's a reality.  You graduate from college and your life has new priorities and your job takes up a lot of your life.  And I just totally lost my train of thought.  See that's what happens when you reach my age. Haha.  
I miss....
-actually having a summer vacation (Phil just reminded me by asking how my summer's going)
-Hillel (so welcoming)
-Front Street Tavern (perhpas to be revisited if I get into thise conference in Farmington this summer)
-Jess (but not who she is now, but who she's become)
-my babies from LDS (who are now toddlers!)
-too much to fathom as my brain is falling asleep

Listen to DeVotchka's ""Dearly Departed"" and love it."
"eventtime","2006-05-23 21:32:00"
"current_moodid","49"
"url","http://mistyjune311.livejournal.com/26003.html"
"userid","10208"
"itemid","100"
"event","IkEgTmlnaHQgYXQgdGhlIFJvc2VzIg0KDQoNCnlvdSBzaG91bGQgc2VlIHlvdXJzZWxmDQp3aGVuIHdpbGwgeW91IGdyb3cgdXANCmV2ZXJ5IGtub2IgeW91IHR3aXN0IG9uIHRoYXQgbWFjaGluZSBpcyBsaWtlIGEgY3J1dGNoDQoNCmJ1dCBpIHdhcyBqdXN0IHRoZSBmb29sDQp5b3XigJl2ZSBiZWVuIHdhaXRpbmcgZm9yDQp3aG8gc2F5cyB3ZSBjYW7igJl0IHRvdWNoDQpvdXJzZWx2ZXMgdG8ga2VlcCBmcm9tIGdldHRpbmcgYm9yZWQ/DQpub3RoaW5nIGVsc2UgaXMgdG91Y2hpbmcgdGhhdOKAmXMgZm9yIHN1cmUNCg0KYSByaW5nIGFyb3VuZCB0aGUgcm9zZXMNCg0KaSB3aWxsIHdhdGNoIHlvdSBwbGF5DQppIGNvbWUgaGVyZSBldmVyeSBuaWdodA0KaXTigJlzIGp1c3QgbWUgdGhlIGJhcnRlbmRlciB0aGUgd2FpdHJlc3MgYW5kIHRoZSBsaWdodHMNCnNoaW5pbmcgb24geW91IG5vdCBnZXR0aW5nIGl0IHJpZ2h0DQp3ZSBjbGFwIG5vdCBmb3IgeW91IGJ1dCBmb3IgeW91ciBraW5kDQoNCmEgcmluZyBhcm91bmQgdGhlIHJvc2VzDQpldmVyeWJvZHkgcG9zZXMNCnRocmVhdHMgYW5kIHRoZW4gYmFja3MgZG93bg0KdGhlIHNlY29uZCB5b3UgcHV0IGNsb3RoZXMgb24NCg0KYSByaW5nIGFyb3VuZCB0aGUgcm9zZXMNCmV2ZXJ5Ym9keSBrbm93cyBpdA0KaSB3aWxsIHNpbmcgeW91ciBmZWFycw0KaWYgeW91IHNpbmcgbXkgbmV1cm9zaXMNCg0KeW91IHNob3VsZCBiYWNrIG91dCBub3cNCm5vdCBhIG5pZ2h0IHRvbyBzb29uDQpp4oCZbGwgc3RpbGwgYmUgaGVyZSB3aGVuIHRoZSBsYXN0IHBvb3Igc291bCBoYXMgbGVmdCB0aGUgcm9vbQ0Kc3RhbmRpbmcgcm91bmQganVzdCBsaWtlIGEgZ29vZCBmcmllbmQgc2hvdWxkDQpzbWlsaW5nIGFzIGlmIHlvdXIgc29uZ3Mgd2VyZSBnb29kDQoNCmEgcmluZyBhcm91bmQgdGhlIHJvc2VzDQpldmVyeWJvZHkgcG9zZXMNCnRocmVhdHMgYW5kIHRoZW4gYmFja3MgZG93bg0KdGhlIHNlY29uZCB5b3UgZ2V0IGNsb3RoZXMgb24NCg0KYSByaW5nIGFyb3VuZCB0aGUgcm9zZXMNCmV2ZXJ5Ym9keSBrbm93cyBpdA0KaSB3aWxsIHNpbmcgeW91ciBmZWFycw0KaWYgeW91IHNpbmcgbXkgbmV1cm9zaXMNCg0KYW5kIGkgc2F0IHRoZXJlIGZvciBob3Vycw0Kd2FpdGluZyBvbiB0aGUgY3VyYg0KdGhpbmtpbmcgeW91IG1pZ2h0IGxpa2UgYSBmbG93ZXIgZnJvbSBhIHByZXR0eSBnaXJsDQphIHJpbmcgYXJvdW5kIHRoZSB3YWl0cmVzcyBmcm9tIHRoZSB2ZXJzZQ0KYSByaW5nIG9mIGZpcmUgYXJvdW5kIHRoZSByb3Nlc+KAmSBkb29yDQpwdXQgaXQgb24gYmVmb3JlIHlvdSBsb3NlIHlvdXIgbmVydmUNCnB1dCB5b3VyIGhhbmRzIHRvZ2V0aGVyIGFuZCB0aGV54oCZbGwgaHVydA0KKHJlcGVhdHMgZml2ZSB0aW1lcykNCm1ha2UgeW91ciBzb3VuZCB0aGF0IG5vIG9uZeKAmXMgZXZlciBoZWFyZA0KKHJlcGVhdHMgdHdpY2UpDQphbmQgaSBob3BlIHdlIGdldCB3aGF0IHdlIGRlc2VydmU="
"eventtime","2006-05-17 07:16:00"
"current_moodid","10"
"url","http://mistyjune311.livejournal.com/25701.html"
"userid","10208"
"itemid","99"
"event","<table width=350 align=center border=0 cellspacing=0 cellpadding=2><tr><td bgcolor=""#EEEEEE"" align=center><font face=""Georgia, Times New Roman, Times, serif"" style='color:black; font-size: 14pt;'><b>Your Aura is Blue</b></font></td></tr><tr><td bgcolor=""#DDDDDD""><center><img src=""http://images.yournewromance.com/whatcolorisyourauraquiz/blue.jpg"" height=""100"" width=""100""></center><font color=""#000000"">
Your Personality: Your natural warmth and intuition nurtures those around you. You are accepting and always follow your heart.

You in Love: Relationships are your top priority, and this includes love. You are most happy when you are serious with someone.

Your Career: You need to help others in your job to feel satistifed. You would be a great nurse, psychologist, or counselor.</font></td></tr></table><div align=""center""><a href=""http://ynr.blogthings.com/whatcolorisyourauraquiz/"">What Color Is Your Aura?</a></div>

<table align=center border=1 bordercolor=black cellspacing=0 cellpadding=4 width=200px><tr><td bgcolor=#ffcccc align=center><font style='color:black; font-size:18pt;'>How to make a Misty June O\'Brien</font></td></tr>
<tr><td bgcolor=white><font style='color:black; font-size:12pt;'><b>Ingredients:</b><BR>
5 parts anger<BR>
1 part arrogance<BR>
1 part joy</font></td></tr>
<tr><td bgcolor=#ffffcc><font style='color:black; font-size:12pt;'><b>Method:</b><BR>Layer ingredientes in a shot glass. Top it off with a sprinkle of lustfulness and enjoy!</font></td></tr></table><div align=center>
<BR><form method=""POST"" action=""http://www.go-quiz.com/cocktail/cocktail.php"">Username:<input name=""uname""><BR><input type=submit value=""How do you make a 'you'?""><BR>
</form><a href=""http://www.go-quiz.com/cocktail/cocktail.php"">Personality cocktail</a><BR>From <a href=""http://www.go-quiz.com"">Go-Quiz.com</a>"
"eventtime","2006-05-14 21:26:00"
"current_moodid","113"
"url","http://mistyjune311.livejournal.com/25447.html"
"userid","10208"
"itemid","98"
"event","So....you always know what's going on in my life, but fine, I guess I'll update this thing for you.  You bought me apple rings and I owe you my 5th born child for that.  Can you imagine having that many kids?  Do you think your vagina would ever recover or do you think it'd just start flapping around down there?  I could so get worse with this, but I can't...it's just too awful.  I bet they have plastic surgery for shit like that.   
My room is such a mess...I don't know if I'll be able to even clean it before you come...prob not...but it's ok.  I'm more worried because I don't have an overly nice house.  It's kind of just full of junk my gram has collected throughout her life.  Just don't think any less of me...ok?
You know I've always wanted to take like a hip-hop dance class.  That'd be cool.  I'm so tired...This will have to do for now."
"eventtime","2005-12-15 19:43:00"
"current_moodid","40"
"url","http://mistyjune311.livejournal.com/25120.html"
"userid","10208"
"itemid","95"
"event","These are merely ramblings, since I am more in the mood to copy out my writing book than create original on the spot thoughts...well these are original...some anyways...

Wishing only to erase you
Instead I enhance you
Obsessively thinking ""Where are you?""
Physically you are there
Emotionally you have fled
Put your feelings in lockdown
Or better yet have had them drowned
Taken out back and held down
Taking that same water to scour
Rub raw every place my hands have been
As if it burned to feel that ghostly touch
Like a solid wind gripping and gliding
Get it off! Get it off!
Tearing out that part of your soul
The part you demanded back from me
I never take the pieces back
Which has weakened my whole
Susceptible to the pain and fear
Heartache and depression
Joining oyur side as it destroys
Killing my hope for rejoining

""How come I've never seen you 3 before?""
""Because we are the people you do not see.  We drive your cabs, we clean your room, we suck your cocks.""- Dirty Pretty Things

manteoracewalker: it's also disappointing this year without you around, no one can spit quite like you did:-D (i had to post this...it's from one of the girls on the UMF x-c team)

""Soldier"" is the best Destiny's Child song EVER!"
"eventtime","2005-10-01 21:55:00"
"current_moodid","82"
"url","http://mistyjune311.livejournal.com/24511.html"
"userid","10208"
"itemid","94"
"event","<h1>LJ Interests meme results</h1>
<ol>
<li><b> boys with guitars</b>:<br>I can't really explain this one.  I just like them.</li><li><b> chicken curry</b>:<br>It's a challenge to see how long you can last before you just have to chug some water because it's so damn spicy.</li><li><b> edgar allan poe</b>:<br>""The Raven"" was the first big piece of literary work that ever really stuck with me, and his other works are just fascinating in their seemingly calm morbidity.</li><li><b> girl bands</b>:<br>Because I can relate to what they sing about, and they don't try to sing it all nicely and even catchy to get people to like it.  They do it with rawness and passion. Even bands fronted by girls will do for me.  (I LOVE SHIRLEY MANSON!!)</li><li><b> laughing</b>:<br>To get someone to laugh when they're sad is a talent I have.  Besides, laughing- and this doesn't include laughing AT someone or anything, is just such a wonderful expression of emotion.</li><li><b> love</b>:<br>We all love something, someone, some place.  ""Love is not a pure emotion/Not storybook in consistency/Resisting the confinements of your plan"".  It is a powereful thing that people take seriously one instant and toy with the next.  It can be your best friend or your worst enemy, but at the end of it all it is there.</li><li><b> quotes</b>:<br>Why try and think of ways to say how you feel eloquently when others can do it for you?</li><li><b> rollerblading</b>:<br>This works your ass nicely.</li><li><b> stephen king</b>:<br>The modern day Edgar Allan Poe.</li><li><b> the movie ""go""</b>:<br>Have you seen it?  I could watch this movie everyday forever.</li>
</ol>
<p>Enter your LJ user name, and 10 interests will be selected from your  interest list.</p>
<form method=""post"" action=""http://www.memento-mori.ca/cgi-bin/lj-int-quiz.pl"" enctype=""application/x-www-form-urlencoded"">
<p><input name=""user"" size=""20"" maxlength=""40"" type=""text""> <input name=""submit"" value=""submit"" type=""submit""></p><input name=""mode"" value=""intlist"" type=""hidden""></form>"
"eventtime","2005-09-29 17:23:00"
"current_moodid","59"
"url","http://mistyjune311.livejournal.com/24218.html"
"userid","10208"
"itemid","93"
"event","Well, it's been awhile.  Done a lot of things since I last posted.  Well maybe not a lot, but you know...
    I won tickets on WCYY to see Paranoid Social Club (they sing ""Wasted"" and ""Two Girls"" and they are from Portland) which was exciting because I had never won anything on the radio before.  So I went to see them with Ad, and it sucked because we had to wait outside for like an hour and a half, the two opening bands sucks a dick and were on for like 2 hours, and then finally when we went up close to the stage to see PSC we were getting beat by 17 year olds moshing.  Craziness.  But the show was great, got to hear a lot of new PSC songs I now have downloaded (""Where the Sun Don't Shine"" is a funny one).
   Went to Tristen's first birthday party.  She's so cute, my little rolie-polie girl.  Seriously this girl, when she falls (and she can fall just sitting people) she doesn't fall, she ROLLS.  She's a round little butterball- I love her.  
   Ran a road race in Skank-ford (sanford) where I came in first in my age group for women, I even beat the guy who came in first in the same age group.  Hehe.  It was a good run.  Having my iPod def. helped though, since I was battling a cold at the time and my breathing was shit.  Anyways I received a sexy little gold medal.  
   I made a new friend at work.  Her name is Morgan, and she has redhead, which to me is funny, not because being a redhead is funny, but because out of the three redhead friends I have had, they have all had their name start with an ""M"".  She's really nice though.  
  On the redhead topic, I got a call from Mary today saying ""Hey I moved to Denver, CO.  I was like that shit is crazy-retarded, but we talked, well she mostly talked and I pretty much just listened, hehe.  But she's cool, and we're cool, which isn't always the story.  But I gotta take what I can get right?
   I talked to Lianne today too, for the first time in forever, and while I don't think she wants to be friends again, she says she doesn't really hate me.  It's sad because when I look through my pictures and I see the ones of her and I when we had an apt. and then lived together senior year in the dorms, and obviously freshman and sophomore year too just being friends I miss her.  It's like what the hell happened?  I know what the fight was about, but was it really worth throwing it all away for.  Is anything?  Well I suppose some things are of course, but is it ever just so hard that you can't get past it together?  Hindsight is always (c'mon finish the phrase people) 20-20!
      I've been sleeping like shit lately.  I have this thing where I wake up like 2-3 times a night to pee.  It sucks.  And then I usually end up snacking in the middle of the night, which is a horrible habit let me tell you.
   Well this week I'll be working only Mon, Tues, and Fri, when I usually have Tuesday off, but I switched with Nancy since she is taking that day off to go see Paul McCartney.  It'll be nice to have an extra day off.  ;)"
"eventtime","2005-09-25 15:39:00"
"current_moodid","114"
"url","http://mistyjune311.livejournal.com/24005.html"
"userid","10208"
"itemid","91"
"event","So fucking excited....The Dresden Dolls are playing Halloween night in Boston.  Already got tickets, so fucking excited."
"eventtime","2005-09-04 10:06:00"
"current_moodid","99"
"url","http://mistyjune311.livejournal.com/23372.html"
"userid","10208"
"itemid","90"
"event","And now for something completely different...
  Great songs to check out-
      ""2 girls""- paranoid social club
      ""Swing life away""- rise against
      ""Good People""- Jack Johnson
      ""Belly Dancer"" -Akon
So anyways....I have a cold yet again...can't wait for this winter when it'll be every other week.  
     Next week is UMF's first x-c meet at UNE, just a hop, skip, and jump away, so Ad and I are going to check that out.  Can't wait.  I miss the girls.
       Then Sunday is a road race for me...only 2 more left before the cold sets in.
     Phew..."
"eventtime","2005-09-03 11:01:00"
"current_moodid","82"
"url","http://mistyjune311.livejournal.com/23120.html"
"userid","10208"
"itemid","89"
