"names","values"
"itemid","115"
"event","&nbsp;OKAY I GET IT, I SHOULD CALM DOWN. NOW CAN YOU PLEASE LEAVE ME WITH THIS &quot;LESSON LEARNED&quot; SMUG LOOK ON YOUR FACE AND JUST GO AWAY SO I CAN GET BACK TO WORK"
"eventtime","2010-02-17 22:10:00"
"url","http://ambiguous88.livejournal.com/29528.html"
"userid","607"
"itemid","112"
"event","I've been working on Thesis since 9:30 yesterday morning. I'm tired. I'm exhausted. And I'm still in a history meeting conference. <br />And yet I really find my thesis interesting. I'm enjoying the challenge of completing my proposal. I didn't think I'd enjoy thesis this much considering my rocky start to the semester. Hopefully <em>hopefully</em> Ma'am approves.<br />There's a painful kind of happiness in doing something that you love.<br /><div id=""refHTML"">&nbsp;</div>"
"eventtime","2009-08-16 00:49:00"
"current_moodid","14"
"url","http://ambiguous88.livejournal.com/28812.html"
"userid","607"
"itemid","111"
