"names","values"
"itemid","32"
"event","ok so im still @ hollister...fun stuff...im prolly going to a party friday night...cant wait...it should b good...and saturday hope 2 c RENT...i got the album monday...marketing class is sooo boring...i went down my first hill on a sk8brd...it was krazii! o yea this italian guy likes me...hes nice...but i dont like him anymore...did i 4get to mention i get to go shopping today...so excited...my life is so cool!"
"eventtime","2005-11-30 08:12:00"
"url","http://ilvmydckieshoes.livejournal.com/8394.html"
"userid","6841"
"itemid","31"
"event","o yea so today i hung out with this guy after school...so hot...i dunno if i like him yet...whatever...ill give it some more time...if not he can be another toy in my pile...tehe...im good...so good!"
"eventtime","2005-11-29 05:32:00"
"url","http://ilvmydckieshoes.livejournal.com/8046.html"
"userid","6841"
"itemid","30"
"event","omg so i was like hangin out with these guys this weekend...and all of them totally love me...im so wonderful...theres a new guy @ work...and this other wants to go c a movie...then im supposed to go on a double date with my girl...she's so sexi...yea jody! i neeed to go shopping i have nothing to wear this weekend!"
"eventtime","2005-11-28 07:46:00"
"url","http://ilvmydckieshoes.livejournal.com/7744.html"
"userid","6841"
"itemid","29"
"event","i 4got i had this...i went to the Oasis concert...jet opened for them...it was awesome!...i cant wait to go to another concert with my girl vanessa...shes havin a rave so ill prolly go to that...i work tonight...@ HoLLiStER!!!..OPENING NIGHT!...wooh...i'll try and catch up more...but first i need to catch my breath...laterz!"
"eventtime","2005-09-30 11:12:00"
"url","http://ilvmydckieshoes.livejournal.com/7654.html"
"userid","6841"
"itemid","28"
"event","well im in canadia...went to a waterpark yeasterday...today im gon' play putt-putt and go shoppin...cant wait...as much as i hate canadia...its turnin out to be aight...thats awesome you get to c him soph...have fun!ttyl babe!"
"eventtime","2005-06-13 11:55:00"
"url","http://ilvmydckieshoes.livejournal.com/7238.html"
"userid","6841"
"itemid","27"
"event","ok well im home for the summer...chillin havin a good time...enjoyin the weather...i can sleep in almost everyday....josh is comin home in less then a month now so ill be sure to hang out with him...and he is bringin 2 of his aussie friends....i cant wait!...hey sophie...how u been girlie...sorry we havent talked...
OoOoOoOoOoOoOoOoOo~HAPPY SWEET SIXTEEN!!!~OoOoOoOoOoOoOoOoOoOoOoOoO...ill try and touch base more often...kiss kiss...xoxo"
"eventtime","2005-06-03 23:37:00"
"url","http://ilvmydckieshoes.livejournal.com/7027.html"
"userid","6841"
"itemid","26"
"event","ok i havent been on in ages im so wrapped up...well ill fix this later...later daize!"
"eventtime","2005-04-26 21:16:00"
"url","http://ilvmydckieshoes.livejournal.com/6716.html"
"userid","6841"
"itemid","25"
"event","i dont like any of my choices im a bad person its just its my prom and my mom said i cant look for anything else"
"eventtime","2005-04-15 16:22:00"
"url","http://ilvmydckieshoes.livejournal.com/6424.html"
"userid","6841"
"itemid","24"
"event","ok so i saw a horse show today after i went to the deck and was talkin with eric and he was like all upset and then...well anyway later he kissed me on my forehead and i dunno y...whatever i leave 2morro...i cant wait to go shoppin but i really hope to see sophie and tyler this weekend ...itll take some real persuasion...well anyway ttyl...later daize"
"eventtime","2005-04-14 15:50:00"
"url","http://ilvmydckieshoes.livejournal.com/6292.html"
"userid","6841"
"itemid","23"
"event","ok so we had a power outtage...weirdest couples are happnin...i havent been wearin makeup for about a week and a half...open weekend is almost here...i hafta get a dress...i think im going stag thats the best way to go...tehe...sophie and i agree...u can do whatever the F*#% you want...so what if i promenade alone...its the 21st century right....well later daize"
"eventtime","2005-04-13 16:23:00"
"url","http://ilvmydckieshoes.livejournal.com/6010.html"
"userid","6841"
"itemid","22"
"event","ok so i finished the OC...i was balling...along with sophie...i still dont have a dress for prom...sux i kno...we had a power outage saturday...didnt come bak on til. sunday night durin study hall...we prolly have a social tonight...so maybe i can make a move...if im lucky...at this moment sophie is gettin laughed at(by jorge and prolly the rest of the class)while she attempts to run the shuttle run...which i hafta run nxt period...ew...o well...ethan has a concusion and bleedin in the nose or suttin...poor thang...hes outta soccer for 2 weeks...if i were him i'd die...but im not...im so happy i get to sleep in 2morro...i need to rest up for a busy week...and ew i have SAT prep today...we get our books...whoo hoo...im rejoicing...my rents are comin open weekend...yet i reeally..reeeeaaaaallly wanna hang out with sophie and tyler...well see what goes down...until then later daize..."
"eventtime","2005-04-08 10:25:00"
"url","http://ilvmydckieshoes.livejournal.com/5873.html"
"userid","6841"
"itemid","21"
"event","what u said sophie...its right on...at least some1 understands"
"eventtime","2005-03-29 21:52:00"
"url","http://ilvmydckieshoes.livejournal.com/5482.html"
"userid","6841"
"itemid","20"
"event","i went to the skool...im not sure...it kinda got me thinkin...maybe i should just go bak to oak hill...then my mom whips out...goin bak is not an option...i upset my mom...she doesn't even wanna take me bak 2morro...my dad might hafta....anyway....i kinda feel bad....she said she feels like a failure as a mom....so ill try to set things right...ok im was just called out and now im bak...my mom just lectured me...she said im spoiled...(which i can b)...she said im mean a lot (i can b)...and that i never call when times r tough...(true)...maybe because i kno shell flip...last time she wanted to take me outta the skool...like wtf...well i guess im just blowin steam...its whatevr...i figure suttin...i cant wait till 2morro...i just wanna go bak to the hill...see my friends and let things go bak 2 normal...so f*&% it!"
"eventtime","2005-03-29 19:30:00"
"url","http://ilvmydckieshoes.livejournal.com/5344.html"
"userid","6841"
"itemid","19"
"event","lets see woke up 2:30 this afternoon...hung around kinda packed...wrapped a shirt for kelly thtat says i (heart)OC...she's addicted 2...and then put a pic of adam brody on the wrapping...i chk this skool out 2morro...i kinda wanna get bak to my own skool...but it's whatevr...cant wait to go bak to soccer...whoohoo...i miss you guys...sophie,tyler,carrie, and a whole bunch of other pple who dont have a livejournal (poor things)...sophie u kno what u gotta do...kiss kiss...c u soon...later wed."
"eventtime","2005-03-28 18:16:00"
"url","http://ilvmydckieshoes.livejournal.com/4929.html"
"userid","6841"
"itemid","18"
"event","ok after bein sick for who knows how long i finally got better 2 days ago...good stuff...so i had 2 days in new york....it was awesome there was some great shopping...i didnt find a dress but o well...lol....o yea...on the train back i saw these 2 sk8ter guys with tite pantalonaes anbd thought of sophie (gotta luv ya girl)...anyway...i just got bak and wanted to let u guys kno...kiss kiss...xoxo"
"eventtime","2005-03-26 23:58:00"
"url","http://ilvmydckieshoes.livejournal.com/4812.html"
"userid","6841"
"itemid","17"
"event","ok last night i saw the harlem globetrotters...soo funny...at the game i wasnt feeling my hottest...turns out i had a temperature of 104.2....wonder how i felt...i feel a bit better now...i neeeeeed my chicken fingers (from Sweetwater Taverns)best place on earth...i talked to my grampa from brooklyn...hes gonna try and get us tickets thursday night for hairspray or wicked...both are supposed to be great...we leave for New York wednesday...dont kno how we're goin but it should take my mind off things...im sooo hungry...would they hurry up...anyway...im tryin to hook up this stupid printer my dad's been naggin me the past week...i have to admit its a nice printer...its a..HP Photosmart 2610 all-in-one...no i dont sound like a gekk....AM I SETH R WHAT!...anyway..been talkin to ethan...it snowed...ewww...other than that...i've been thinkin pretty normal(about stuff)....I WANNA GO TO TEXAS!!!...i found some info that is quite interestin...to kno more email me at: xoxpinkxox21@yahoo.com
*LaTeR dAiZ*"
"eventtime","2005-03-20 15:44:00"
"url","http://ilvmydckieshoes.livejournal.com/4507.html"
"userid","6841"
"itemid","16"
"event","OUR CAR GOT TOWED...(a$$wH@L&5)...anyway we got it back after a fee...ew...anyway...it was kool...i had kyle take the OC quiz...ethan was takin quizzes to...i took one called what peircin r u...i was a tongue peircin..and ethan and kyle were earlobe...ethans 2nd one was a belly button peircing he said he felt fruity when he heard that...well anyway...kiss kiss"
"eventtime","2005-03-17 21:33:00"
"url","http://ilvmydckieshoes.livejournal.com/4261.html"
"userid","6841"
"itemid","15"
"event","definately got 83% for seth...like i needed a quiz to tell me who i was....tehe...i luv u sophie...u were ryan???...that makes sense...cuz then in an odd way we are like best friends....tyler is prolly him 2...haha

Go here to find out who u are...http://quizfarm.com/test.php?q_id=121&first=yes"
"eventtime","2005-03-17 12:28:00"
"current_moodid","96"
"url","http://ilvmydckieshoes.livejournal.com/3950.html"
"userid","6841"
"itemid","14"
"event","went shoppin...got sum cute stuff from VS....saw an adorable bathing suit...juicy couture (julie cooper)...definately didnt get it it was only $130...bikini yea right...anyway...we might go out later...tehe...kiss kiss"
"eventtime","2005-03-16 16:04:00"
"url","http://ilvmydckieshoes.livejournal.com/3635.html"
"userid","6841"
"itemid","13"
"event","boring day...did nuthin dragged to hagerstown...ew...tried callin tofie...o well...printed brody pix...tehe...kiss kiss"
"eventtime","2005-03-15 20:52:00"
"url","http://ilvmydckieshoes.livejournal.com/3383.html"
"userid","6841"
"itemid","12"
"event","So today i have an orthodontist appt. eww...dont wanna go...wanna get these things off...im wearin this pink fitted jump suit and it kinda reminded me of julie cooper...soph u kno what im talkin about (its not juicy couture though)well im off!"
"eventtime","2005-03-14 09:07:00"
"url","http://ilvmydckieshoes.livejournal.com/3211.html"
"userid","6841"
"itemid","11"
"event","She hates it soo much...keeps naggin...she said i have to dye it back and then i refused so i get to keep it...weird i kno right...i wonder what shell say about my OC shirt"
"eventtime","2005-03-13 22:46:00"
"url","http://ilvmydckieshoes.livejournal.com/2956.html"
"userid","6841"
"itemid","10"
"event","well i watched soul plane...funny..and we went shopping...i got a shirt that says i (heart)the OC"
"eventtime","2005-03-12 18:47:00"
"url","http://ilvmydckieshoes.livejournal.com/2566.html"
"userid","6841"
"itemid","9"
"event","ok so we went to claires got 10 thjings for 5 bux...then we were told to go to the movies...bad idea...we bolted there olny to be drenched from head to toe...and risking our LIVES by almost being struck by lightining...ahhhh...we went to borders where i looked for books on the OC and a bio on adam brody...sex-aaay"
"eventtime","2005-03-11 21:41:00"
"url","http://ilvmydckieshoes.livejournal.com/2425.html"
"userid","6841"
"itemid","8"
"event","hello got to watch the OC...it was great....seth's a hottie...kiss kiss...xoxo"
"eventtime","2005-03-11 15:19:00"
"url","http://ilvmydckieshoes.livejournal.com/2298.html"
"userid","6841"
"itemid","7"
"event","I GO HOME WITH SOPHIE 2MORRO.....AND TY...WOOHOO....kiss kiss...reeeeaally wanna watch OC...my Seth-side is looking up...tehe"
"eventtime","2005-03-09 16:58:00"
"url","http://ilvmydckieshoes.livejournal.com/2001.html"
"userid","6841"
"itemid","6"
"event","I'M GOING HOME WITH SOPHIE!!!!! tyler is goin too...woohooo....fun fun fun...anyway b4 i get to outta line i have a new pair o9f shoes...well they were givin 2 me and well they aren't so i have a new old pair of shoes thanx 2 jake (peace homedawg)well gtg watch the OC...im addicted...is that bad...prolly not...tehe...CALIFORNIA HERE WE COME!!!"
"eventtime","2005-03-08 21:46:00"
"url","http://ilvmydckieshoes.livejournal.com/1778.html"
"userid","6841"
