"names","values"
"itemid","122"
"event","...It&#39;s a boy!"
"eventtime","2012-08-29 22:01:00"
"url","http://chuckelicious.livejournal.com/31293.html"
"userid","2904"
"itemid","121"
"event","I just read a lot of my older LJ posts-- I am so embarrassed."
"eventtime","2012-08-19 21:09:00"
"url","http://chuckelicious.livejournal.com/31027.html"
"userid","2904"
"itemid","103"
"event","What crawled up your ass and died?"
"eventtime","2008-07-21 00:30:00"
"url","http://chuckelicious.livejournal.com/26458.html"
"userid","2904"
"itemid","101"
"event","My top ten favorite movies:

1 Cool Hand Luke
2 The Shawshank Redemption
3 Butch Cassidy and The Sundance Kid
4 The Good, the Bad and the Ugly
5 The Life Aquatic with Steve Zissou
6 Predator
7 Ferris Bueller's Day Off
8 Amelie
9 The Village
10 Children of Men

I don't know why I did that. Boredom, I guess. And it's not perfect.. there's a few I'd move around.. but If I started changing it now, I wouldn't know when to stop.

Anywho, That was super hard.
What's yours?"
"eventtime","2008-05-02 15:28:00"
"url","http://chuckelicious.livejournal.com/25948.html"
"userid","2904"
"itemid","100"
"event","My cat, Owen, is super sick."
"eventtime","2008-04-28 21:33:00"
"url","http://chuckelicious.livejournal.com/25750.html"
"userid","2904"
"itemid","99"
"event","I finished my schooling on Friday, and what did I do to celebrate? I watched the part of an all-day marathon of America's Next Top Model. I thought getting out of school would, you know, make me a <i>real</i> boy. 

Here's to next semester! May it be filled with learning, another season of drama and imprudent antics on the runway, and awkward run-ins with old schoolmates. But seriously, awkward. Every time."
"eventtime","2008-04-27 11:49:00"
"url","http://chuckelicious.livejournal.com/25545.html"
"userid","2904"
"itemid","97"
"event","It was rhetotical, or something. It wasn't directed towards any of <i>you</i>."
"eventtime","2007-11-18 00:17:00"
"url","http://chuckelicious.livejournal.com/25045.html"
"userid","2904"
"itemid","96"
"event","All of you bother me."
"eventtime","2007-11-10 00:06:00"
"url","http://chuckelicious.livejournal.com/24691.html"
"userid","2904"
"itemid","95"
"event","The six happiness things..

!.) Uncomfortable pants. It gives you an excuse to go home and take your clothes off.

2.) Sarcasm. Yeah, It <i>totally</i> makes me happy.

3.)Having a discussion about something you ""know"", but really, you have no idea what you're talking about. You're just making things up.

4.)Exaggerationing.

5.)Making up words.

6.)Shredding the Axe on stage. To the song, ""Sweet Child O' Mine"". In your dreams.

Tag someone now? Uh. Legendaryfool and hhippie. Do it."
"eventtime","2007-11-01 09:15:00"
"url","http://chuckelicious.livejournal.com/24335.html"
"userid","2904"
"itemid","93"
"event","'Hate what I'm turning into."
"eventtime","2007-09-18 12:01:00"
"url","http://chuckelicious.livejournal.com/23813.html"
"userid","2904"
"itemid","89"
"event","Did I do the right thing? I want someone to tell me I did. Without being biased.


I need a little more guts..."
"eventtime","2007-07-23 15:32:00"
"url","http://chuckelicious.livejournal.com/22824.html"
"userid","2904"
"itemid","84"
