"names","values"
"itemid","28"
"event","i forgot i had this.... how shite am i lol... lets forget eeeeverything iv ever posted lol...."
"eventtime","2008-11-09 22:54:00"
"current_moodid","15"
"url","http://dj-deadly-angel.livejournal.com/7265.html"
"userid","3987"
"itemid","27"
"event","well... im updating my LJ cuz lozzie moaned at me for not updating it regularly :P
so.. whats been happening in the life of natty.. not much lol..
ma mate jennie was invited to her mates halloween party at the weekend.. and she didnt wanna go herself.. so she asked me davey and gillybob to go along with her... but when we got there.. all the way to denniston!... her mates g/f wasnt happy about us being there cuz she didnt know us.. so.. we had to leave.. so we dropped by asda on the way home for juice and chubes.. and then all four of us went to my house.. mmmmmm yogurt..
after gillybob and jennie left.. ma mum came home... quite drunk lol... which was a good laugh...
3 hours sleep that night i got then i had to get up and go to matalan lol... wooo i just love my job.. 
monday.. hmm what happened on monday.. oh aye... stupid feckin freezin college!.. started back after being off for like a month lol... oh am not gunna be lookin forward to all this work.. this is what happened last year... in the end i never passed... so i gotta get ma finger out this year... so if u all see me online each night... kick ma ass and tell me to get back to work! cuz i soooo wont have time for the internet! til like feburary!.. if then!
ooh today i went shopping in matalan hehe.. i bought trousers.. pjs.. and stripey pants!.. wooo! go me.. now al be skinto completely... ahh well.. 
at college tomorrow.. *cries*.. but on friday after work.. i might be goin to see saw2... which should be good... but davey is having to stay with me that night cuz am a big scaredy cat hehe.. and i sit up all night lookin at the door..
aaaaaanyhooo i gtg now... ma brother wants on.. so i gotta go on ma own comp... bah... ahh well... tis warmer up there...
hope u enjoyed my random ramblings lozzie..

byeeeeeeeeeeeeeeeeeeeeeeeeeeee"
"eventtime","2005-10-26 21:57:00"
"url","http://dj-deadly-angel.livejournal.com/7085.html"
"userid","3987"
"itemid","26"
"event","<TABLE cellPadding=20 align=center>
<TBODY>
<TR>
<TD align=middle><FONT size=5><B>The Joker</B></FONT><BR>You scored 66% sarcastic! </TD></TR>
<TR>
<TD>You're good. You're funny and people probably like you, or really don't like you. Either way it's because you can laugh at most anything. In general you're quick enough to pick apart most people. However, you're not the best and you have your moments of being picked too. Just keep you're eyes open and stay on your toes and you'll be able to keep pissing off people just about where ever you go. </TD></TR>
<TR>
<TD align=middle><IMG src=""http://is2.okcupid.com/users/150/466/15146779413487878335/mt1126863773.jpg""> </TD></TR></TBODY></TABLE><BR><BR><BR>
<TABLE cellPadding=20>
<TBODY>
<TR>
<TD><SPAN id=comparisonarea>My test tracked 1 variable How you compared to other people <I>your age and gender</I>:
<BLOCKQUOTE>
<TABLE cellSpacing=4 cellPadding=0 border=0>
<TBODY>
<TR>
<TD vAlign=center>
<TABLE cellSpacing=1 cellPadding=0 bgColor=black border=0>
<TBODY>
<TR>
<TD width=89 bgColor=#b2cfff height=20><A href=""http://www.okcupid.com/""><IMG alt=""free online dating"" src=""http://is2.okcupid.com/graphics/0.gif"" border=0></A></TD>
<TD width=61 bgColor=white><A href=""http://www.okcupid.com/""><IMG alt=""free online dating"" src=""http://is2.okcupid.com/graphics/0.gif"" border=0></A></TD></TR></TBODY></TABLE></TD>
<TD vAlign=center>You scored higher than <B>59%</B> on <B>sarcasm</B></TD></TR></TBODY></TABLE></BLOCKQUOTE></SPAN></TD></TR></TBODY></TABLE><table cellpadding=20><tr><td>Link: <a href='http://www.okcupid.com/tests/take?testid=11250477108907659137'>The Sarcasm Test</a> written by <a href='http://www.okcupid.com/profile?tuid=15146779413487878335'>mollykow</a> on <a  href='http://www.okcupid.com'>Ok Cupid</a>, home of the <a href='http://www.okcupid.com/oktest3'>32-Type Dating Test</a></td></tr></table>"
"eventtime","2005-10-12 15:17:00"
"url","http://dj-deadly-angel.livejournal.com/6838.html"
"userid","3987"
"itemid","25"
"event","<img src=""http://images.quizilla.com/L/LO/LOV/lovejohnny4all/1128960298_turesWater.jpg"" border=""0"" alt=""Water Fairy""><br>You are a Water Fairy! You are cunning an can get<br>what you want. Your giggly and happy because<br>you either in love or just, happy!
Advice: Try and calm down once in a while. It will<br>do you some good.
<br><br><a href=""http://quizilla.com/users/lovejohnny4all/quizzes/What%20kind%20of%20Fairy%20are%20you%3F%20%3A%3A%20Anime%20Girl%20Pics%3A%3A/""> What kind of Fairy are you? :: Anime Girl Pics::</a><BR> <font size=""-2"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>"
"eventtime","2005-10-10 23:05:00"
"url","http://dj-deadly-angel.livejournal.com/6626.html"
"userid","3987"
"itemid","24"
