"names","values"
"itemid","731"
"event","i'm getting jealous


who would have thought"
"eventtime","2007-04-21 14:01:00"
"url","http://aajkijuliet.livejournal.com/187372.html"
"userid","184"
"itemid","611"
"event","so, what good came out of tonight?


my new motto:

Drink triple. See double. Act single."
"eventtime","2006-06-10 22:32:00"
"url","http://aajkijuliet.livejournal.com/156612.html"
"userid","184"
"itemid","569"
"event","So keep the blood in your head 
And keep your feet on the ground 
Today's the day it gets tired 
Today's the day we drop down 
Gave up my body and bed 
All for an empty hotel 
Wasting words on lower cases and capitals"
"eventtime","2006-04-02 13:36:00"
"current_moodid","101"
"url","http://aajkijuliet.livejournal.com/145760.html"
"userid","184"
"itemid","531"
"event","Don't play games with me, I'm better at it <3"
"eventtime","2006-03-07 17:37:00"
"current_moodid","90"
"url","http://aajkijuliet.livejournal.com/136147.html"
"userid","184"
"itemid","520"
"event","that was DEFINITELY better than talking about eminent domain all day."
"eventtime","2006-03-04 11:36:00"
"current_moodid","36"
"url","http://aajkijuliet.livejournal.com/133325.html"
"userid","184"
"itemid","510"
"event","I love you.."
"eventtime","2006-02-26 17:38:00"
"url","http://aajkijuliet.livejournal.com/130636.html"
"userid","184"
"itemid","502"
"event","this weekend was cute.

so many ups and downs. figuritively and literally





:)"
"eventtime","2006-02-20 22:58:00"
"current_moodid","64"
"url","http://aajkijuliet.livejournal.com/128748.html"
"userid","184"
"itemid","499"
"event","fuckin shit


I am a bad person

I KNEW THIS WAS GOING TO HAPPEN

this weekend was crazy.fun.sad.exhausting.sexual.awkward.scary.depressing.exhilierating.wrong.dissapointing.suprising.necessary.terminal.dumb.boring.expensive.cementing.fattening.interesting.cute."
"eventtime","2006-02-13 11:00:00"
"url","http://aajkijuliet.livejournal.com/127841.html"
"userid","184"
"itemid","496"
"event","i need to get over this

i don't know why this one is different"
"eventtime","2006-02-06 21:08:00"
"current_moodid","129"
"url","http://aajkijuliet.livejournal.com/127072.html"
"userid","184"
"itemid","493"
"event","I'm pretty sure you're a liar and I'm just so dissapointed in you.

but i feel like it's for the best"
"eventtime","2006-02-05 22:55:00"
"current_moodid","129"
"url","http://aajkijuliet.livejournal.com/126289.html"
"userid","184"
"itemid","485"
"event","I lie to myself all too often







It's pathetic.

my, my 
what an aweful mess"
"eventtime","2006-02-04 01:41:00"
"current_moodid","111"
"url","http://aajkijuliet.livejournal.com/124163.html"
"userid","184"
"itemid","464"
"event","Life is beautiful."
"eventtime","2006-01-22 16:26:00"
"url","http://aajkijuliet.livejournal.com/118812.html"
"userid","184"
"itemid","447"
"event","Starting a new chapter."
"eventtime","2006-01-12 00:05:00"
"current_moodid","62"
"url","http://aajkijuliet.livejournal.com/114680.html"
"userid","184"
"itemid","446"
"event","VBT was too much fun.

not breaking on speaks sucked

getting an RR invite and watching byron bid/shess winning made it all worth it

p.s i love my team, you guys rock."
"eventtime","2006-01-09 15:37:00"
"current_moodid","49"
"url","http://aajkijuliet.livejournal.com/114418.html"
"userid","184"
"itemid","445"
"event","mmmmmmmmmmmmmmmmmmmmmmmmmmsocal"
"eventtime","2006-01-06 13:12:00"
"current_moodid","90"
"url","http://aajkijuliet.livejournal.com/114028.html"
"userid","184"
"itemid","441"
"event","DR PHIL CALLED ME BACK AHAHAHAHAHAHHAHAHAHAHAHAHAHAHAHAHAHAHHAHAHAHA"
"eventtime","2006-01-04 21:25:00"
"url","http://aajkijuliet.livejournal.com/113113.html"
"userid","184"
"itemid","428"
"event","1. Taken a picture naked? nope. i'm clean i'm clean!

2. Painted your room? noo

3. Made out with a member of the same sex? yes

4. Drove a car? YES. I'm a swell driver.

5. Danced in front of your mirror? all the time

6. Have a crush? no

7. Been dumped? surprisingly (and undeservingly) no

8. Stole money from friend? never

9. Gotten in a car with people you just met? yes, funny story

10. Been in a fist fight? fuck yo bitch and the clique you claim

12. Had feelings for someone who didn't have them back? struggle

13. Been arrested? hahah not yet

14. Made out with a stranger? uhhuh

15. Met up with a member of the opposite sex somewhere? what kind of a retarded question is this, obviously

16. Left your house with out telling your parents? last night, beezy

17. Had a crush on your neighbor? forreal. I have this hottie asian neighbor named vincent. he's 9-years-old and damn can he turn me onnnn 

18. Ditched school to do something more fun? yeah. wasn't worth it. ditching school is dumb

19. Slept in a bed with a member of the same sex? so hott so hott.

20. Seen someone die? on the television. 

21. Been on a plane? fer sure. going on one friday. VBT eeee :)!

22. Kissed a picture? haha I am a dork.

23. Slept in until 3? just today I reckon

24. Love someone or miss someone right now? no question

25. Laid on your back and watched cloud shapes go by? 

Lately I've been thinking so strangely about the clouds
and how they seem to slowly fade away

26. Made a snow angel? mhm

27. Played dress up? every day it seems like I put on a show for someone or another

28. Cheated while playing a game? if lifes a game, which I believe it is.

29. Been lonely? of course

30. Fallen asleep at work/school? no. i wish i was narcoleptic. my life would be splendid.

32. Felt an earthquake? no :( I LIVE IN CALIFORNIA TOO.

33. Touched a snake? yeah

34. Ran a red light? in my MIND

35. Been suspended from school? no

36. Had detention? for singing my humps

37. Been in a car accident? once in kindergarten. does that count?

38. Hated the way you look? sometimes

39. Witnessed a crime? ..or committed a crime?

40. Pole danced? every night yo

41. Been lost? Traverse The Fantasy

42. Been to the opposite side of the country? yes; the last time was ""Live, from Wake Forest""

43. Felt like dying? just to find out what it would feel like

44. Cried yourself to sleep? I love it

46. Sang karaoke? in the shower on the stage- whatev whatev

47. Done something you told yourself you wouldn't? oh this one is what gets me in trouble.

48. Laughed till some kind of beverage came out of your nose? no. I don't even know how to do that

49. Caught a snowflake on your tongue? I wish

50. Kissed in the rain? best feeling no doubt

51. Sang in the shower? see ..46

52. Made love in a park? I aspire to

53. Had a dream that you married someone? married or had sex?

54. Glued your hand to something? as a result, my gluing privileges have been revoked

55. Got your tongue stuck to a flag pole? my tongue stays in my mouth, buster

56. Ever gone to school partially naked? I am a nudist, i cannot avoid it.

58. Sat on a roof top? mmm Huff elementary, Vinitha's house ect ect

59. Didn't take a shower for a week? disgusting

60. Ever been too scared to watch scary movies alone? no, but that's cuz I would never think about doing it

61. Played chicken? ur a chicken

62. Been pushed into a pool with all your clothes on? thanks Eric

63. Been told you're hot by a complete stranger? hahahah yes. I also tell strangers they are hott. and then we have sex.

64. Broken a bone? I broke two fingers once. kindergarten. damn, what an eventful year.

65. Been easily amused? every day of my life bitch

66. Laugh so hard you cry? yesyes

67. Mooned/flashed someone? I wasn't in the correct state of mind

68. Cheated on a test? unfortunately

69. Forgotten someone's name? I'm quite positive I don't know most people's names

70. Slept naked? I dislike it

71. Gone skinny dipping in a pool? or a lake

73. Threw up from drinking? ugh it's gross

74. Played a prank on someone? i'll cut you

75. Gone to a late night movie? yes!

76. Made love to anything not human? i don't ..think so?

77. Failed a class? no

78. Choked on something you're not supposed to eat? This is a dirty, dirty question.

79. Played an instrument for more than 10 hours? uhhno

80. Cheated on a girl/boyfriend? yes

81. Did you celebrate the 4th of July? apparently, if you can call it that

82. Thrown strange objects? expandos, condoms, office supplies, remotes. It's all very amusing

83. Felt like killing someone? hm grr.

84. Thought about running away? often

85. Ran away? a couple times

86. Did drugs? ur a drug.

87. Had detention and not attend it? that's silly

89. Made parent cry? unintentionally

90. Cried over someone? last night I'd say

91. Owned more than 5 sharpies? I like the rainbow colors. I really like highlighters too. you should take a peek at my planner

92. Dated someone more than once? ish

93. Have a dog? skippy past away

95. Own an instrument? yes

96. Been in band? noooooooooooooo

97. Drank 25 sodas in a day? I don't drink pop

98. Broken a cd? :(

99. Shot a gun? who's gun?

100. Been on myspace for more than 5 hours? actually not yet"
"eventtime","2006-01-02 17:39:00"
"url","http://aajkijuliet.livejournal.com/109658.html"
"userid","184"
"itemid","418"
"event","Someone once told me I didn't have to deal"
"eventtime","2005-12-25 15:40:00"
"url","http://aajkijuliet.livejournal.com/107163.html"
"userid","184"
"itemid","410"
"event","fuckin' finally."
"eventtime","2005-12-18 21:13:00"
"current_moodid","119"
"url","http://aajkijuliet.livejournal.com/105029.html"
"userid","184"
"itemid","351"
"event","<b>12 signs you're falling in loooove.</b>

12. You'll read his IMS over and over again.

11. You'll walk really really slow while you're with him.

10. You'll feel shy whenever you're with him.

9. While thinking bout him your heart will beat
faster and faster.

8. By listening to his you'll smile for no reason.

7. While looking at him you cant see the other
people around you you can only see that person.

6. You'll start listening to SLOW songs.

5. He/She becomes all you think about.

4. You'll get high just by their scent.

3. You'll realize that you're always smiling to yourself
when you think about them.

2. You'll do anything for him.

1. While reading this, there was one person on your mind the whole time.



dang that number one."
"eventtime","2005-10-24 21:43:00"
"current_moodid","44"
