"names","values"
"itemid","42"
"event","<lj-template name=""qotd"" id=""744"" />  Worry, lots and lots of worry."
"eventtime","2009-01-14 13:00:00"
"url","http://bethlehem2.livejournal.com/10759.html"
"userid","1610"
"itemid","41"
"event","While driving into work this morning I heard the following lyric.

""I got you gigglin like a piglet.""  

Turns out I was wrong, it's ""I got you gigglin like I'm piglet.""

Is that really any better?  

The song, Greenlight by John Legend featuring Outkast.  Wow someone must need the money."
"eventtime","2009-01-08 10:04:00"
"url","http://bethlehem2.livejournal.com/10551.html"
"userid","1610"
"itemid","40"
"event","http://www.yarnharlot.ca/blog/archives/2008/12/18/fallen_and_cant_get_up.html

If you're looking for something to make you smile.  Be sure to read her blog today.  You don't have to know how to knit to enjoy this one."
"eventtime","2008-12-18 16:05:00"
"url","http://bethlehem2.livejournal.com/10394.html"
"userid","1610"
"itemid","39"
"event","I've just finished up my cards and find I have a whole box left over.  

Anyone who would like a card, drop me an email at fourprivetdrive at hotmail dot com with your user name, real name(optional) and address and I'll drop one in the mail for ya.

(((hugs you all)))"
"eventtime","2008-12-18 12:51:00"
"url","http://bethlehem2.livejournal.com/10047.html"
"userid","1610"
"itemid","38"
"event","Rest in Peace, 11/15/08.  The world is just a little bit dimmer without you in it."
"eventtime","2008-11-16 20:18:00"
"url","http://bethlehem2.livejournal.com/9754.html"
"userid","1610"
"itemid","37"
"event","SGVscCEhICBKdXN0IHJlY2VudGx5IHdlIGJlY2FtZSB1bmlvbml6ZWQgYXQgd29yayBhbmQgSSd2ZSBiZWVuIG5vbWluYXRlZCB0byBiZSBvbiB0aGUgYmFsbG90IHRvIGNyZWF0ZSB0aGUgQ29udHJhY3QgTmVnb3RpYXRpb24gQ29tbWl0dGVlLiAgV2UgaGF2ZSB0byBwdXQgb3V0IGEgc21hbGwgYmx1cmIgYWJvdXQgd2h5IHdlJ2QgYmUgYSBnb29kIGNhbmRpZGF0ZS4gIEJlbG93IGlzIG15IGJsdXJiLiAgV291bGQgeW91IGd1eXMgbWluZCB0YWtpbmcgYSBsb29rIGF0IGl0IGFuZCBsZXR0aW5nIG1lIGtub3cgd2hhdCB5b3UgdGhpbms/ICBUaGVyZSB3aWxsIGJlIGEgUSAmIEEgb24gdGhlIDE0dGggc28gdGhpcyBpcyBqdXN0IGFuIGludHJvLiAgSXQncyBkdWUgYnkgNSBwbSwgRnJpZGF5IHRoZSAxMHRoLg0KDQpUaGFua3MsIA0KDQpiMg0KKioqKioqKioqKioqKioqKioqKioqKioqKioqKioqKioqKioqKioqKioqKioqKioqKioqKioqKioqKioqKioqKioqKioqKioqKioqDQpiZXRobGVoZW0yDQpJIHBheSBkZWFkIHBlb3BsZQ0KUmVzaWR1YWxzDQoNCknigJl2ZSB3b3JrZWQgYXQgdGhlIEd1aWxkIGZvciAxMCB5ZWFycy4gIEZpcnN0IGFzIGEgdGVtcCBpbiB0aGUgQ3JlZGl0cyBEZXBhcnRtZW50IGFuZCBsYXRlciBhcyBhIGZ1bGwgdGltZSBlbXBsb3llZSBpbiB0aGUgUmVzaWR1YWxzIERlcGFydG1lbnQuICBJbiAyMDA1IEkgd2FzIGEgbWVtYmVyIG9mIHRoZSBjb3JlIGdyb3VwIHRoYXQgdHJpZWQgdG8gb3JnYW5pemUgYSBzdGFmZiB1bmlvbi4gIFdoaWxlIGl0IHdhcyBhIGRpZmZpY3VsdCBjYW1wYWlnbiwgSSBsZWFybmVkIHRoZSBudXRzIGFuZCBib2x0cyBvZiB0aGUgcHJvY2VzcyBhbmQgYmVsaWV2ZSB0aGF0IHRoZXNlIHNraWxscyB3aWxsIGhlbHAgdXMgYmUgYWJsZSB0byBuZWdvdGlhdGUgYSBzdHJvbmcgY29udHJhY3QuICBKdXN0IHJlY2VudGx5IEkgd2FzIGEgbWVtYmVyIG9mIHRoZSBCYXJnYWluaW5nIFVuaXQgTmVnb3RpYXRpb24gQ29tbWl0dGVlIGFuZCBoYWQgdGhlIG9wcG9ydHVuaXR5IHRvIHNpdCBhY3Jvc3MgdGhlIHRhYmxlIGZyb20gbWFuYWdlbWVudCBvbiBzZXZlcmFsIG9jY2FzaW9ucy4gIEkgY29udGludWUgdG8gYmVsaWV2ZSB0aGF0IGEgc3Ryb25nIGFuZCB3ZWxsIHRob3VnaHQgb3V0IGNvbnRyYWN0IGlzIG5lZWRlZCB0byBwcm90ZWN0IHdoYXQgd2UgY3VycmVudGx5IGhhdmUgYW5kIHRvIGltcHJvdmUgb3VyIHdvcmtpbmcgY29uZGl0aW9ucyBmb3IgdGhlIGZ1dHVyZS4="
"eventtime","2008-10-09 23:03:00"
"url","http://bethlehem2.livejournal.com/9604.html"
"userid","1610"
"itemid","36"
"event","Thank you all so much for responding to my last post.  It meant more to me than I can say.  Nothing like sitting at your desk at work trying not to let the people around you know that your crying your eyes out.

I went home last night and got on my bike and rode around the neighborhood.  It was great and I had all kinds of people I didn't know saying hi and waving at me from their cars.  It was weird but in a good way.

Called my psychiatrist yesterday and he's sending me a new script for my Lexapro and I'm seeing my general practitioner on Friday. 

I'm still on the tender side but doing better.

A simple thanks isn't enough for what you guys did for me bit it's all I have so Thank You!!!"
"eventtime","2008-09-16 09:59:00"
"url","http://bethlehem2.livejournal.com/9410.html"
"userid","1610"
"itemid","35"
"event","I'm feeling so low right now.  I'm tired, I'm fat, I'm ugly, I'm out on a ledge, I'm on my own, I'm lost, I'm frightened, I'm full of self loathing, I'm friendless, I'm under medicated, I'm the parent to my parent, I'm angry, I'm crying, I'm crying out.  

Help me, help me find balance, a new direction, beauty, peace, pride, understanding, creativity, friendship, a way to be myself with out giving up me.  

I know it's out there but I don't know how to find it.  

Lots of calls made to doctors today.  Appointment for Friday morning, 9:15am  I'm taking care of me but I'm finding it's hard to do."
"eventtime","2008-09-15 12:21:00"
"url","http://bethlehem2.livejournal.com/9163.html"
"userid","1610"
"itemid","34"
"event","I've just come back from one of the best nights ever.  Got my hair cut eailer in the day and then spent the evening with great friends.  Just what I needed to get myself out of the rut I've been stuck in.  This will carry me for a while and I've got the pictures to prove I was there.  WhooHoo!!"
"eventtime","2008-07-13 02:53:00"
"url","http://bethlehem2.livejournal.com/8739.html"
"userid","1610"
"itemid","33"
"event","I just got back from one of the best birthday parties I've had in a long time.  I had people show up that I've know for 10+ years and it was wonderful!!

The songs were great, the cake was tasty and everyone had a great time.  I'm just so pleased.

I'm looking forward to the rest of 2008 because I've had a great start so far."
"eventtime","2008-01-21 02:37:00"
"url","http://bethlehem2.livejournal.com/8596.html"
"userid","1610"
"itemid","32"
