"names","values"
"itemid","2"
"event","OOC: Does anyone think anyone would join a Real Life Degrassi roleplay? Where instead of playing, say Emma, you play the actress, Miriam. Instead of Marco, you play Adamo. I wanted to create a community like that."
"eventtime","2004-09-10 21:42:00"
"url","http://starlight-emma.livejournal.com/742.html"
"userid","14647"
"itemid","1"
"event","testing 123
its alright sunlight on my face. I'm alive. Onthe way down I saw you and you saved me from myself and i wont forget the way you loved me on the way down I almost fell right through , but I held on to you. Down, down down, down.....and I wont forget the way you loved me...."
"eventtime","2004-09-10 00:17:00"
"url","http://starlight-emma.livejournal.com/387.html"
"userid","14647"
