"names","values"
"itemid","3"
"event","today was cool. i hung out with The Hot Sex aka Kristin... we made out the whole time and got some hot pics of it. i am kidding unfortunately. haha./ then we went bfubfsd and whored out her camera. i got so many pics of her hot sexy self.... i just half to wait till she sends them all. and when she wasn't looking, i got a pic of her ass *too hott* haha..... when she sees it, she gonna flip out. haha

anyways... here's the hott sex

<img src=""http://img.photobucket.com/albums/v298/burning_unknown/HOTSEX3.jpg"">"
"eventtime","2004-08-28 20:37:00"
"current_moodid","17"
"url","http://justferyou.livejournal.com/935.html"
"userid","7728"
"itemid","2"
"event","i love kristin mahon"
"eventtime","2004-08-24 20:49:00"
"current_moodid","80"
"url","http://justferyou.livejournal.com/536.html"
"userid","7728"
"itemid","1"
"event","i just made this so i can read kristin's journal.. kk byebye"
"eventtime","2004-08-24 00:51:00"
"url","http://justferyou.livejournal.com/393.html"
"userid","7728"
