"names","values"
"itemid","611"
"event","Personally, I've always believed in UFOs. There was never a point in my life when I didn't believe that the universe was so vast that Earth held the only intelligent life out there.

Aliens are real --Just how people know the government is corrupt. Some people just don't look deep enough into it all... 

http://ufohq.org/

Just had to get that out. Night."
"eventtime","2009-09-09 01:04:00"
"current_moodid","34"
"url","http://work-and-die.livejournal.com/156624.html"
"userid","16968"
"itemid","610"
"event","http://community.livejournal.com/politicartoons/1492046.html?thread=31356238#t31356238"
"eventtime","2009-09-07 01:55:00"
"url","http://work-and-die.livejournal.com/156197.html"
"userid","16968"
"itemid","609"
"event","<a href=""http://pics.livejournal.com/work_and_die/pic/00002qdc/""><img height=""240"" border=""0"" width=""160"" src=""http://pics.livejournal.com/work_and_die/pic/00002qdc/s320x240"" alt="""" /></a><br /><br />more to come...<br /><br />"
"eventtime","2009-09-07 01:08:00"
"url","http://work-and-die.livejournal.com/156002.html"
"userid","16968"
"itemid","608"
"event","<p>Kinda odd making a new post every 12 months but here we go.</p><p>The Update:</p><ul><li>I'm single now</li><li>My little girl is 18 months old (and a total angel)</li><li>Moved back in with my folks this past weekend</li><li>Finished probation a while back</li><li>Broke up with Heather (after 3 years)</li><li>Still working 40 hrs/ wk at Discount Labels in New Albany</li></ul>If anyone remembers the old days of LJ I'm hoping to get back to that since I have so much more access to the internet. i ran out of journal space in my last journal so I have to put all my thoughts and ideas somewhere. Hence-- I'm back.<br /><br />Hopefully people still remember me. If not I don't blame you. Here's to more time on LJ. Cheers!<br /><br /><div style=""text-align: left;""><strong>If we don't believe in freedom of expression for people we despise, we don't believe in it at all.<br />--</strong><em>Noam Chomsky</em></div><br />"
"eventtime","2009-09-06 23:10:00"
"current_moodid","29"
"url","http://work-and-die.livejournal.com/155788.html"
"userid","16968"
"itemid","607"
"event","I finally finished the IOP therapy and am starting my 80 hours of community service. Things have been stressful with the baby girl coming VERY soon. Her full name is Kaelin Nicole Kitterman. Her new due date is February 9th. I'm very excited. Things have been good at home. My finacee, Heather, is a sweetheart and I can feel our love growing everyday. We're going to be getting married this Summer whenever she figures out a date.<br /><br />A couple of shows coming up that I plan on attending:<br /><ul><li>March 29th in St. Louis, MO</li></ul><b>Explosions in the Sky</b> w/ some band called Lichen or something. They toured with Fugazi. I hear and it's experimental so it should be good times. I'm going with my old roommate from college, Zach.<br /><ul><li>April 19th in Louisville, KY</li></ul>Megadeth, <b>In Flames, Children of Bodom, Job For a Cowboy</b>, and High on Fire<br />A big crew from work and my buddies are going and this will be the second time I see In Flames and Job For a Cowboy. Love some ln Flames!<br /><br />Drinking my 6-pack of warsteiner I was just thinking...I don't know, if you've been reading my entries for a while you can probably see how they've changed over the years. I kinda wished I still had what I had back then, I think it's all just waiting to come back out again. I'm just becoming a better version of me I'm not changing for the worse.<br /><br />I love watching UFO shows and sitting with my head phones on and just watching. Goes back to the days when we used to jam the History channel with Pink Floyd showing out WW2 archived footage..."
"eventtime","2008-01-21 23:22:00"
"current_moodid","87"
"url","http://work-and-die.livejournal.com/155596.html"
"userid","16968"
"itemid","606"
"event","Things are as good as they can be right now.

I'm now an IOP (Intensive Out Patient) group therapy in Jeffersonville, IN from 9-12 in the morning everyday for 4 weeks. I'm going into my 4th week right now. It's wild. Mostly people are 30-50 y/o who have ruined their lives from alcohol or drugs. There are some younger folks there, there an 18 y/o girl and boy and a 26 y/o women and me. That's as young as it goes... Heroine addicts, people who've lost EVERYTHING, alcoholics, you get the picture...

Work is good right now. I'm working my balls to the wall to try and get the promotions I need to support my new family...

About 12 of my buddies went to the Sounds of the Underground tour show at Waverly Hills a few months ago. Bands included: GWAR, Lamb of God, Shadows Fall, Behemoth, Chimaria, Job For a Cowboy, Darkest Hour, Goatwhore, Hatebreed, and others. The show was A-MAZ-ING! It will be the last show at Waverly Hills because the neighbors complained about the noise and whatnot. It was sweet none the less.

Life's pretty normal and we've figured that the baby is due around January 29th. That's it - good night!"
"eventtime","2007-11-18 20:41:00"
"current_moodid","65"
"url","http://work-and-die.livejournal.com/155303.html"
"userid","16968"
"itemid","605"
"event","&nbsp;Great news, I'm finally starting my working-class 40+/hr job a week at Discount Labels in New Albany. It'll be good to get this going and to stay busy. Just maybe it will keep me out of trouble. It's a warehouse job but I'm 100% ready to bust my ass to earn a living. All these years of part-time shitty-ass jobs have been boring and gave me WAY too much free time. The question is, is there a union and what kind is it?

My hours will be 3-11p.m. (2nd shift) so I won't have as much time to spend with Heather. I start at $9/hr but can move up to $22-26/hr in less than two years. That will be amazing.

I can see the changes I've made since I've got jail and trouble-making behind me now. I see that in February I'll have a brand new baby with my girlfriend and start an adult life. Getting married next summer is on the do list too...

My friends' band Buried Beneath Me is play at Uncle Pleasant's bar tonight at 7 in Louisville. If you're interested in a metal show, just give me a call. 972.2008.

Nothing else - maybe next time I'll have something entertaining to post. Cheers!"
"eventtime","2007-08-27 15:52:00"
"current_moodid","87"
"url","http://work-and-die.livejournal.com/155043.html"
"userid","16968"
"itemid","604"
"event","Wow, after a year of no updates, I don't know if I even remember how to update this bitch. Things have changed drastically since my last update...<br /><br />I went got arrested a couple more times (for being an idiot)<br />I went to jail for 45 days<br />I fell in LOVE and having a baby in Feburary <br />I finally turned 21<br />I moved out of my house and into an apartment in town (Corydon)<br />Got two new jobs - My new one I start in a week or so @ Discount Labels (New Albany)<br />My Grandmother passed away, I love you!<br />Went to a SHIT-LOAD of concerts/shows<br />Drank a SHIT-LOAD of beer<br />Quit smoking the cannabis<br />Friends moved back to the area/Friends moved away to College<br />Sold my truck to pay bills<br />A bunch of other shit I can't remember....<br /><br /><div align=""center""><img align=""middle"" src=""http://www.southern.net/southern/band/GDSPD/pics/index2002_r1_c1.gif"" alt="""" /><br /></div><br />I don't know if I'll end up keeping this thing updated. I don't even know if people still use these things anymore. I want to get the community - punkinfestation - running again, but I'll need help. I feel bad for neglecting it.<br /><br />Shit, if anyone's reading this let me know you're still alive, I can't believe I'm doing this still - like it's a big deal or something...<br /><br />Cheers!"
"eventtime","2007-08-22 12:40:00"
"current_moodid","4"
"url","http://work-and-die.livejournal.com/154636.html"
"userid","16968"
"itemid","603"
"event","<p align=""center""><img alt="""" src=""http://www.martinus.sk/data/tovar/_l/17/l17626.jpg"" /><br />""We can never know what to want, because, living only one life, we can neither compare it with our previous lives nor perfect it on our lives to come.""<br /><br /><br />""There is nothing heavier than compassion. Not even one's own pain weighs so heavy as the pain one feels with someone, for someone, a pain intensified by the imagination and prolonged by a hundred echoes.""</p>"
"eventtime","2006-10-05 18:55:00"
"current_moodid","108"
"url","http://work-and-die.livejournal.com/154472.html"
"userid","16968"
"itemid","602"
"event","<p align=""center""><img alt="""" src=""http://fullmoon.typepad.com/chaos/images/dissent.jpg"" /><br />Things are the same really - I'm still stuck at Jay-C until March when I get my job at Caesar's back. Long story short... I fucked it&nbsp;up. If things don't work out at Caesar's I'll be moving to Florida with Matt (<span class=""ljuser""><img style=""VERTICAL-ALIGN: bottom"" height=""17"" alt="""" width=""17"" src=""/stc/fck/editor/plugins/livejournal/userinfo.gif"" />dieforyourself</span>) and work with his Dad and Uncle framing houses by the beach. Mmm. Matt leaves next week for good and I'm really going to miss him.<br /><br />I wish I had more time for new friends, *wink*. It seems like I can't even get time for even myself.... I'm trying to get my shit together, but I tend to take a long time doing that. It's already been 3 years since things started getting froggy and shit, but I try to stay optimistic.<br /><br />Nothing more. Kick out the jams motherfucker! Cheers.<br /></p>"
"eventtime","2006-09-25 14:37:00"
"current_moodid","126"
"url","http://work-and-die.livejournal.com/154343.html"
"userid","16968"
"itemid","601"
"event","-- Wow. After probation went well, I came across this before going into work... --<br /><br />
<p>BELGRADE, Mont. - Republican Sen. Conrad Burns (<a href=""http://us.rd.yahoo.com/DailyNews/politics/news/ap/ap_on_el_se/burns_terrorism/20133637/*http://news.search.yahoo.com/search/news?fr=news-storylinks&amp;p=%22Sen.%20Conrad%20Burns%22&amp;c=&amp;n=20&amp;yn=c&amp;c=news&amp;cs=nw""><font color=""#003399"">news</font></a>, <a href=""http://us.rd.yahoo.com/dailynews/capadv/bio/ap/ap_on_el_se/burns_terrorism/20133637/SIG=117k7hs6q/*http://yahoo.capwiz.com/y/bio/?id=362""><font color=""#003399"">bio</font></a>, <a href=""http://us.rd.yahoo.com/dailynews/capadv/vote/ap/ap_on_el_se/burns_terrorism/20133637/SIG=11gpn23fr/*http://yahoo.capwiz.com/y/bio/keyvotes/?id=362""><font color=""#003399"">voting record</font></a>), whose recent comments have stirred controversy, says the United States is up against a faceless enemy of terrorists who ""drive taxi cabs in the daytime and kill at night."" </p>
<div class=""lrec"">
<div class=""ljcut"" text=""read more..."">
<p>During a fundraiser Wednesday with first lady <span class=""yqlink""><a class=""yqimgins"" title=""Related information on Laura Bush"" onclick=""activateYQinl(this);return false;"" href=""http://search.news.yahoo.com/search/news/?p=Laura+Bush""><strong><font color=""#003399"">Laura Bush</font></strong></a></span>, the three-term Montana senator talked about terrorism, tax cuts and the money he has brought to his state. Burns is one of the more vulnerable Senate incumbents, facing a tough challenge from Democrat Jon Tester.</p>
<p>He has drawn criticism in recent weeks for calling his house painter a ""nice little Guatemalan man"" during a June speech. Burns, whose re-election campaign is pressing for tighter immigration controls, also suggested that the man might be an illegal immigrant. The campaign later said the worker is legal.</p>
<p>Burns, 71, also had to apologize after confronting members of a firefighting team at the Billings airport and telling them they had done a ""piss-poor job,"" according to a state report. In July, the Hotshot crew had traveled 2,000 miles from Staunton, Va., to help dig fire lines for about a week around a 143-square-mile wildfire east of Billings.</p>
<p>At the campaign event with Bush, Burns talked about the war on terrorism, saying a ""faceless enemy"" of terrorists ""drive taxi cabs in the daytime and kill at night.""</p>
<p>Bush described Burns as a strong advocate for Montana farmers and families.</p>
<p>""In Washington, Senator Burns is a respected voice on the issues facing rural communities in Montana and across the nation,"" Bush told Burns supporters.</p>
<p>She also said Burns has been important in helping the president on key initiatives, such as tax cuts, and has supported the troops fighting in <span class=""yqlink""><a class=""yqimgins"" title=""Related information on Iraq"" onclick=""activateYQinl(this);return false;"" href=""http://search.news.yahoo.com/search/news/?p=Iraq""><strong><font color=""#003399"">Iraq</font></strong></a></span> and the war on terror.</p>
</div>
</div>"
"eventtime","2006-08-31 12:07:00"
"url","http://work-and-die.livejournal.com/154030.html"
"userid","16968"
"itemid","600"
