"names","values"
"itemid","24"
"event","Whilst shopping last night, my house mate informed me that she will be moving out.  I tried very hard to contain my self and NOT have a party in that very isle.  Don't get me wrong, I love her to death, but we will stay friends for much longer if we don't live together.

So now's the exciting part!  New housemate.  This is a new concept for me since Dayna was always going to be my first housemate - I'm looking forward to it.  My uncle is going to put some notices up at his work (Bunnings) and at his old work.  And guess what his old work is???  He used to be a detective and he said he will put one up in the 'POLICE ONLY' part of the station - can you imagine??  My very own policeman.  I'm nearly going to pass out at the thought.  And my chance of a young hottie is greatly increased by the town I live in - we're a popular destination for new recruits!!  That would be soo fab!

My brother is getting a new puppy tomorrow - a Staffy.  It'll be soo cute.  His name is Bruno which is definitely suitable.  Staffy's make me think of the mafia and so does the name Bruno.  Cam better pray that it doesn't eat mum's leather couch, though.  She will not be pleased.

I've got a relaxing weekend planned - some gardening tomorrow and the local football Grand Final on Sunday.  I have a wager on the Grand Final so hopefully my team wins.  If the Hoppers win, I get 3mths of Empire magazine bought for me.  If the Bulldogs win, I've gotta kiss my mate's cheek.  I know, I'm prostituting myself for a bet!  Should be a good game though."
"eventtime","2004-09-17 21:25:00"
"current_moodid","125"
"url","http://cinnamonjayne.livejournal.com/6220.html"
"userid","2924"
"itemid","23"
"event","I made the first move on a guy for the second time this year.  Might not seem a lot to most people but it's a huge thing for me.  When it comes to guys I've been a firm believer in them making the first move.  BUT I'm sick of being single - it's as simple as that.  I'm not looking for marriage or anything like that.  I just want a nice guy.  So I decided I better start working for it.

I've also decided to do more.  I don't think I do enough.  So, I've been accepting any invites that come my way.  I want to expand my circle of friends.  The ones I have currently don't really go out that much.  And the ones that do, live in Melbourne or Sydney (which doesn't help when I decide on Sat afternoon that I want to go out that night).  I'm young, I don't have any ties, this is my time.  I've gotta make the most of it."
"eventtime","2004-09-11 13:23:00"
"current_moodid","41"
"url","http://cinnamonjayne.livejournal.com/5929.html"
"userid","2924"
"itemid","22"
