"names","values"
"itemid","295"
"event","Some of you guys already figured it out, but i have a <b>new journal</b> <a href=""http://www.livejournal.com/users/_unheart"">_unheart</a>. Added only 12 people from this journal, mainly because i'm still interested in reading their journals, or they comment and give me advice. Don't feel bad, but if you still want to read my journal than leave a comment."
"eventtime","2005-02-10 15:42:00"
"url","http://xhypnotiq.livejournal.com/75717.html"
"userid","17222"
"itemid","3"
"event","I already have enough friends on my list. I'm not adding anyone else, unless i ask them first. Check back here another time."
"eventtime","2004-02-15 17:57:00"
"url","http://xhypnotiq.livejournal.com/804.html"
"userid","17222"
