"names","values"
"itemid","28"
"event","<font size=""3""><span style=""font-family: Verdana;""><span style=""font-family: Verdana;""><a href=""http://webdesign.compufutura.com/infoarch/index.htm"">Morville &amp; Rosenfeld07, chapters 1, 2</a><br /></span></span></font><font size=""3""><span style=""font-family: Verdana;""><span style=""font-family: Verdana;""></span></span></font><font size=""3""><span style=""font-family: Verdana;""><span style=""font-family: Verdana;""></span></span><br /></font><font size=""3""><span style=""font-family: Verdana;""><span style=""font-family: Verdana;"">In these two chapters, the author discusses the various aspects of effective web design.&nbsp; In doing so, he also discusses what the annoying parts of web design can be, such as flashing and spinning GIFs, in addition to frames and slow-loading pictures.<br /><br />In the last decade, web design has come quite a way from what it use to be.&nbsp; Most people have learned what makes a site effective and have done so by having the experience of visiting an annoying site that contains irrelevant images or is difficult to navigate.<br /><br />The information architect's job is defined by the list below.&nbsp; They are responsible for making a browsing experience as simple and non-confusing as possible.<br /><br /></span></span></font><font size=""3"">Information Architect's job: <br /></font><ul><li class=""ListBullet""><font size=""3"">Clarifies the <i class=""Emphasis"">mission </i>and <i class=""Emphasis"">vision </i>for the site, balancing the needs of its sponsoring organization and the needs of its audiences.</font></li><p> </p><li class=""ListBullet""><font size=""3"">Determines what <i class=""Emphasis"">content </i>and <i class=""Emphasis"">functionality </i>the site will contain.</font></li><p> </p><li class=""ListBullet""><font size=""3"">Specifies how users will find information in the site by defining its <i class=""Emphasis"">organization, navigation, labeling</i>, and <i class=""Emphasis"">searching systems</i>.</font></li><p> </p><li class=""ListBullet""><font size=""3"">Maps out how the site will accommodate <i class=""Emphasis"">change </i>and <i class=""Emphasis"">growth </i>over time.</font></li></ul><font size=""3"">It is essential for the IA to consider what is important to the consumer.&nbsp; This of course varies by target audience and purpose of each individual website and company.&nbsp; It is important for the IA to step back and consider the needs of the learner and what is trying to be achieved by the website.<br /><br />As a producer it is then necessary to think about what steps can be made that are both beneficial and cost-effective for both sides of the interaction.&nbsp; It is important to think about the production from both the insider's and outsider's perspective. <br /><br />In reading these chapters, it made me evaluate the website that I have created over the past, and how they have changed in time to include things that I thought were useful tools to a website, and to not include the mouse-trailers, spinning gifs, and other items that were 'hip' back in the mid-90s in website design.&nbsp;  </font>"
"eventtime","2007-11-27 12:37:00"
"url","http://sarahect.livejournal.com/7375.html"
"userid","13287"
"itemid","27"
"event","<h5 class=""style2""><font size=""3""><font size=""3"">Moreno, R., &amp; Mayer, R. E. (2000). <a href=""http://ldt.stanford.edu/~educ39105/paul/articles_2006/Engaging%20students%20in%20active%20learning-The%20case%20for%20personalizaed%20multimedia%20messages.pdf"">Engaging students in active learning: The case for personalized multimedia messages</a>. <i>Journal of Educational Psychology, 92</i>, 4, 724-733.</font></font></h5><font size=""3"">              </font><h5 class=""style2""><font size=""3""><font><font size=""3"">Steuer, J. (1995). <a href=""http://create.alt.ed.nyu.edu/courses/2015/reading/steuer.pdf"">Defining visual reality: Dimensions determining telepresence</a>. In F.  Biocca and M. R. Levy (Eds.), <i>Communication in the age of virtual reality</i> (pp. 33-56). Hilldale, N.J.: Lawrence Erlbaum.</font></font></font></h5><font size=""3""><font size=""3"">The Moreno &amp; Mayer article deals with the interesting topic of whether including an individual's name (or personal messages in general) engage the learner more than impersonal lessons.&nbsp; In a recent class trip, we visited with the ESI Design Company, founded by <span class=""inprogressAbout"">Edwin Schlossberg, a interaction designer known for creating personal experiences.&nbsp; I have visited his creation at Sony Wonder, NYC where visitors input their name and picture onto a digital card, and at the end of the experience have their name and picture (with a list of all their completed activities) printed on a certificate.&nbsp; </span></font></font><p class=""style2""><font size=""3"">Steur discusses how virtual/visual reality has changed the way that people can experience things.&nbsp; Telepresence refers to using experiencing something through a medium, and differs from the original and unique experience by this.&nbsp;&nbsp; I actually think I referenced an article written in 2000 that also deals in telepresence, for my paper on Second Life.&nbsp; I think many virtual realities can seriously effect and change the way people experience and view things.&nbsp; In some cases, I think even the culture of emailing could be considered as a form of telepresence experiences.&nbsp; <br /></font></p><p class=""style2""><font size=""3"">It is interesting to consider how real-world reactions to a virtual experience can enhance the experience and make it more vivid.&nbsp; In certain video games (including internet ones), being hit can cause the joystick or controller to vibrate in response.&nbsp; I believe that this definitely heightens your sense and warns you of the impending danger.&nbsp; Similarily, (I think) the wii controllers can also vibrate to make you more response.</font></p><p class=""style2"">&nbsp;</p><p class=""style2""><font size=""3"">The connection between these two pieces is that some sort of personal interaction with you (the human) can cause a more meaningful or vivid experience.&nbsp; I think this is what all interactivity designers are (or should be) designing towards.<br /></font></p>"
"eventtime","2007-11-14 10:48:00"
"url","http://sarahect.livejournal.com/7057.html"
"userid","13287"
