"names","values"
"itemid","76"
"event","right now,  its basically poker weed circus frisbee. thats the pattern and it would be much better if school wasnt in there. its not even that school is so bad right no, i have good teachers good classes and im doing well so i dont really have that much reason to complain. i guess i just dont like the concept of school, id just rather not go. maybe its just cause i know that theres so much more to life than high school. i just wish it would end sooner. 2 years seems like a long time from now. its not that hard or anything, its just a big chunk of my day stolen away from me. i think its not as bad as i really think. i just have too much to do.

tomorrow im going to Ringling Bro circus and the next night to Cirque du Soleil and the next night more poker. Sounds fun but its the same old pattern. Maybe i need to realize that its always going to be the same pattern. or maybe thats bullshit."
"eventtime","2005-10-08 02:30:00"
"current_moodid","54"
"url","http://s0ymilk132.livejournal.com/19512.html"
"userid","13135"
"itemid","75"
"event","im so confused, i wish i was back at camp."
"eventtime","2005-09-02 11:48:00"
"current_moodid","6"
"url","http://s0ymilk132.livejournal.com/19241.html"
"userid","13135"
"itemid","74"
"event","wow, summer is awesome, circuz smirkus was so much fun. and that week i had here right after was a lot of fun. but maine sucked. its so fucking boring there. o well, now im back, and what  way to be greeted home, bubblers and poker. tomorrow is back to performing all day, i think im regularly going to be free most nights though, which is crucial. and im still planning to teach becky and nomis little brother to juggle once school starts up. tomorrow night is more poker and smoker."
"eventtime","2005-08-29 23:55:00"
"current_moodid","16"
"url","http://s0ymilk132.livejournal.com/19071.html"
"userid","13135"
"itemid","73"
"event","so im not really vegan anymore. i still will be mostly vegan but when something is already there or alreaedy made or will be thrown out otherwise, i will eat it.  so im not vegan, but i will eat vegan for the most part.  im really happy with this decision. i feel like it makes a lot more sense. and i had cheese pizza last night and it was really tasty. 

i think im getting contacts soon, weird

school is almost over
there are still three weeks of school"
"eventtime","2005-06-05 22:16:00"
"current_moodid","64"
"url","http://s0ymilk132.livejournal.com/18927.html"
"userid","13135"
"itemid","72"
"event","fire poi is mad fun
black licorice is tasty

4-6 page research papers suck big time, and i only have until friday to do it and im not even sure what i'm writing about yet

i wish i could visit csw all the time, or go back to school there, theres so many people there who i want to hang out with a lot more or t least talk to a lot more and it just doesnt work out if i go to north. not to mention, at csw i never felt that streesed out, north is pretty good at stressing you out.

this weekend should be pretty good, going to vermont, but im gonna miss andrews birhtday which ive kind of been looking forward to all year and i could be making 75 bucks taking pictures at a bat mitzvah. not to mention missing circus class and juggling club.o well, itll probly be worht it...it better be"
"eventtime","2005-05-25 20:57:00"
"current_moodid","28"
"url","http://s0ymilk132.livejournal.com/18545.html"
"userid","13135"
"itemid","71"
"event","vacation has been so good, the weather has been beautiful. i got to visit csw twice. ive been skating and biking like no ones mother. tomorrow im going to the circus and then hanging out with aaron and gabe. what a fantastic week this has been, and its still going. i also spun fire poi for the first time today which was absolutely amazing. it was so cool. i cant wait to do it again, at night. holy shit.

i need to find a way to sneak out of my house at night. the problem is my mom sleeps in the living room which is right next to the front door. the basement may be an option. suggestions?"
"eventtime","2005-04-22 00:07:00"
"current_moodid","15"
"url","http://s0ymilk132.livejournal.com/18385.html"
"userid","13135"
"itemid","70"
"event","i finally cut my hair. its been a year and a half and now its really short. its a huge change, but i like it, and its so much less trouble. i dont have to brush it out if m face anymore. i feel really good about it. and i got a nice hat to keep me warm because without all that; hair i get so cold.

the jay peak trip was a lot of fun. its such a good trip, and we had such a good time in the hotel too. on sunday though, i fucked up my thumb, which by now is almost better, and fell on my head off a tabletop. luckily they wre the last two runs though and i didnt really miss any snowboarding.

i learned some break dancing today from these kids, tofu and plutonium. theyre prettty fucking amazing, and theyre gonna teach a class at the gym i go to and im probably going to take it. 

i feel really good about this weekend. and just in general. i feel much more uppity and happy and like myelf without all that hair. i just feel really good. and exhausted from 7 hours of running, conditioning, stretching, flippping, tumbling and break dancing."
"eventtime","2005-03-26 23:07:00"
"current_moodid","58"
"url","http://s0ymilk132.livejournal.com/18101.html"
"userid","13135"
"itemid","69"
"event","so this week has been pretty much good. my spanish and bio teachers have been out so those classes have been mad easy, if they even happened. i thought i was going to have a lot of work to make up for missing most of last week but i have basically none. i didnt even have any homework tonight. the only thing is i have two projects, but i have extension passes in english and theyre not that hard anyway. i love how easy newton north is.  my only big problem right now is that im not going to be able to practice my piece to audition for wind ensemble this weekend cuz if the jay peak trip, so im gonna play a song that i havent picked yet for the first or second time when i try out. o well.

coffehouse was a lot of fun last weekend. i know it's old news but o well. all the bands sounded really fucking good, they were on fire...except the craters. and the juggling went well too, especially because e came up with the order and stuff as we were going on. a lot of people said i did a really good job which was cool. 

jay peak is gonna be so much fun. i cant wait, except for the six hour bus ride. ugh.

overall, im feeling really good. the only work i have to do isnt that bad, it feels like more though because its big projects. ive had a good week so ffar, i feel like a lot got accomplished."
"eventtime","2005-03-17 21:25:00"
"current_moodid","31"
"url","http://s0ymilk132.livejournal.com/17823.html"
"userid","13135"
"itemid","68"
"event","o man, what a great day.  i got like 11 hours of sleep which i really needed. i went out on my unicycle and got a little bit better. we got some really good coffee and  made espresso which i hadnt done for a really long time, and it was soo good. then at juggling club me and etienne got 7 club passing a lot more solid. yavni and joanna were there and we did some passing too. at home i made some peanut butter chocolate brownies which are awesome. i even did homework, well most of it. 

yesterday i did my first paid gig. i juggled at a birthday party. it went really well, it was great. and i got 40 bucks, pretty good for a first time.

i dunno how i feel about this circus class i started going to every other sunday. its just like, weird. it seems like the coaches are all just really into circus stuff but dont actually do that much. and im basically the best juggler there, which is weird. but theres one cool kid and its another place i can work on acrobatics and stuff. weird program though. but i guess its worth it."
"eventtime","2005-03-06 20:37:00"
"current_moodid","90"
"url","http://s0ymilk132.livejournal.com/17479.html"
"userid","13135"
"itemid","67"
