"names","values"
"itemid","8"
"event","Yes today is Thursday. I hate today 'cause I hate Thursday's. But today is the day of silence which is pretty fun! I am not really looking foreward to the rest of the day, but more to the 4 day weekend starting tomorrow."
"eventtime","2005-05-26 12:36:00"
"current_moodid","67"
"url","http://ranhiril.livejournal.com/2084.html"
"userid","12595"
"itemid","7"
"event","What is your biggest fear? Mine is a Subaru. They are everywhere. I cannot escape! The Outbacks are taking over."
"eventtime","2005-05-19 12:45:00"
"current_moodid","6"
"url","http://ranhiril.livejournal.com/1810.html"
"userid","12595"
"itemid","6"
"event","I found a site full of quizzes and stuff. I took the survey to see how old I acted. The answer was Thirteen! Boo hoo hoo, I'll never grow up! Lol. Anyway here is the site in case you havent found it yet. <a href=""http://www.blogthings.com/whatagequiz/"">www.blogthings.com</a> I am off to determing my future there now."
"eventtime","2005-05-18 15:24:00"
"current_moodid","87"
"url","http://ranhiril.livejournal.com/1663.html"
"userid","12595"
"itemid","5"
"event","Revalation! I feel really good today. I got all my homework done. Now I feel free. So, That is my entry. So long and thanks for all the fish!"
"eventtime","2005-05-18 08:23:00"
"current_moodid","125"
"url","http://ranhiril.livejournal.com/1300.html"
"userid","12595"
"itemid","4"
"event","Hello people's! I am in a good mood today (I hope it lasts through therapy). :@ Grades are going pretty good and life isn't troublesome, and that is good enough for me! Well I've got to go to class now."
"eventtime","2005-05-16 12:37:00"
"current_moodid","64"
"url","http://ranhiril.livejournal.com/1231.html"
"userid","12595"
"itemid","3"
"event","I am bored today. It is friday the thirteenth and so far nothing exciting has happened in the school except getting my fingers jammed in gym class. I have orchestra next and am not looking foreward to associating myself to the troublesome other students there, but at least something exciting will happen. Well I'm hungry so, I'll have lunch now."
"eventtime","2005-05-13 12:21:00"
"current_moodid","92"
"url","http://ranhiril.livejournal.com/958.html"
"userid","12595"
"itemid","2"
"event","I got a cool new icon by <lj user=ezzvaldez>."
"eventtime","2005-05-13 08:19:00"
"current_moodid","125"
"url","http://ranhiril.livejournal.com/615.html"
"userid","12595"
"itemid","1"
"event","Hi I am new. I learned of this site through <lj user=albino_raven>. I hope to meet some of the other users here. Later!"
"eventtime","2005-05-12 08:29:00"
"current_moodid","4"
"url","http://ranhiril.livejournal.com/367.html"
"userid","12595"
