"names","values"
"itemid","156"
"event","<p><strong>Clones: </strong>In-Progress. Will it ever be completed? Yes, it will be completed. When? Someday. Hopefully sooner rather than later! <strike>Stop asking, already! That gets annoying!</strike></p><strong>Cum Cum Under My Shower: </strong>Complete!<br /><p><strong>Halfway There:</strong> In-Progress. Will be completed around the same time Clones will.</p><strong>Loving You: </strong>Complete-ish. I may or may not write another chapter on this one. It was meant to be a one-shot, after all.<br /><p><strong>&#39;Til Next Time:</strong> In-Progress. One more chapter to go. Hopefully I can get it done before the year&#39;s out.</p><strong>More than Words (Also Known as &quot;The Word Challenge&quot;):</strong> Complete! <strike>See, I do deliver!</strike><br /><br /><hr /><br /><strong>Future Projects</strong><br /><br /><strong>The Vest: </strong>MinaKushi story 25% complete.<br /><p><strong>The Orange Scrub: </strong>NaruHina Doujinshi collaboration with <a href=""http://campaignofmadness.tumblr.com/"">campaignofmadness</a> and <a href=""http://eternalshiva.tumblr.com/"">eternalshiva</a> for the <a href=""https://sites.google.com/site/perpetual159/ilmiu"">I Love Men in Uniform</a> challenge. 10% complete.</p><b>The Elevator</b>: NaruHina one-shot for <a href=""http://eternalshiva.tumblr.com/"">eternalshiva</a>. I haven&#39;t forgotten, Hawtness!"
"eventtime","2012-10-07 12:54:00"
"url","http://perpetual159.livejournal.com/40188.html"
"userid","11777"
"itemid","155"
"event","This is the end! Thank you all for reading, bitches! &lt;3 <a href=""http://perpetual159.tumblr.com/post/32098366741/word-challenge-day-7-ass"">Tumblr</a> | <a href=""http://https://sites.google.com/site/perpetual159/word-challenge/day7ass"">NHFC</a>"
"eventtime","2012-09-22 23:40:00"
"url","http://perpetual159.livejournal.com/39745.html"
"userid","11777"
"itemid","154"
"event","Yay! I actually like this one! Imagine THAT! <a href=""http://perpetual159.tumblr.com/post/32027193027/word-challenge-day-6-stubborn"" target=""_blank"">Tumblr</a> | <a href=""http://https://sites.google.com/site/perpetual159/word-challenge/day6stubborn"">NHFC</a>"
"eventtime","2012-09-21 23:31:00"
"url","http://perpetual159.livejournal.com/39583.html"
"userid","11777"
"itemid","153"
"event","Second attempt since I really didn&#39;t like the one from yesterday u__u <a href=""https://sites.google.com/site/perpetual159/word-challenge/day5dreamsversion20"">NHFC</a> | <a href=""http://perpetual159.tumblr.com/post/32016963752/word-challenge-day-5-dreams-v2-0"">Tumblr</a>"
"eventtime","2012-09-21 20:56:00"
"url","http://perpetual159.livejournal.com/39396.html"
"userid","11777"
"itemid","151"
"event","<p>This post is late, but the story were posted last night; I was just too tired to spread the word u___u

<a href=""http://perpetual159.tumblr.com/post/31905172416/word-challenge-day-4-haircut"">Tumblr</a> | <a href=""https://sites.google.com/site/perpetual159/word-challenge/day4haircut"">NHFC</a></p>"
"eventtime","2012-09-20 06:09:00"
"url","http://perpetual159.livejournal.com/38754.html"
"userid","11777"
"itemid","150"
"event","Reat at <a href=""http://perpetual159.tumblr.com/post/31827490477/word-challenge-day-3-shout"">Tumblr</a> or <a href=""https://sites.google.com/site/perpetual159/word-challenge/day3shout"">NHFC</a>! Enjoy! This one... ugh, well, a challenge is a challenge and I must deliver! u___u"
"eventtime","2012-09-18 20:12:00"
"url","http://perpetual159.livejournal.com/38482.html"
"userid","11777"
"itemid","149"
"event","Read at <a href=""http://perpetual159.tumblr.com/post/31764570978/word-challenge-day-2-mug"">Tumblr</a> or <a href=""https://sites.google.com/site/perpetual159/word-challenge/day2mug"">NHFC</a>. Enjoy! :D"
"eventtime","2012-09-17 20:52:00"
"url","http://perpetual159.livejournal.com/38374.html"
"userid","11777"
"itemid","148"
"event","<p>Alright! I&#39;m actually doing this! Here are the links of where to read the first entry!&nbsp;Enjoy! :D</p><p><a href=""http://perpetual159.tumblr.com/post/31674754629/word-challenge-day-1-love"">Tumblr</a>&nbsp;|&nbsp;<a href=""https://sites.google.com/site/perpetual159/word-challenge/day1love%20"">NHFC</a></p>"
"eventtime","2012-09-16 15:50:00"
"url","http://perpetual159.livejournal.com/37989.html"
"userid","11777"
"itemid","147"
"event","<p>In light of Jupitrie&#39;s <a href=""http://jupitrie.tumblr.com/post/30976181142/perpetual159-jupitrie-replied-to-your-post-do""><strong>persistent</strong> encouragement</a> (tche! and people&#39;s <strong>harassing</strong> as to when I&#39;m finishing my stories!), I have decided to give myself a little NaruHina writing challenge to get my NH epic juices (or lack thereof) flowing again. The truth is, I dread finding out just how rusty my mushy writing skills have gotten. I do technical writing for a living, and it would just be sooooo lame if I ended up writing a &quot;How to Be the Ultimate NaruHina Shipper&quot; manual, instead. Yes, that is how bad it&#39;s gotten. u__u</p><p>And so, in the event I do find out my muse it&#39;s in no mood to write mushiness, with this challenge, my success or my failure (depending on how things turn out) will be open to the public. D: In other words, I cannot make any excuses! I must complete the challenge! &gt;(</p><p>But, as with everything else in life, I must start with baby steps. The challenge consists of seven words. In other words, each word will be a prompt. I will write anywhere from 100 - 500 words (or maybe more if my muse gets outta hand, since, Lord only knows how wordy I am!) for each word. I will complete a word a day, thus a week of NaruHina goodness (or badness, depending on who you ask, lulz ~_~).</p><p>For this challenge, I will need your help selecting these words. If you&#39;re a tumblr user, reply (and reblog to spread the word) to this entry with a word. You may submit as many words as you want, but they cannot be the same word again and again. I will accept words for a whole week, meaning, next Sunday (or Monday, if you&#39;re in the east side of the Greenwich Meridian) is the last day to submit words. Click the respective links if you&#39;re a <a href=""http://perpetual159.livejournal.com/37690.html"">LJ</a>, or&nbsp;<a href=""http://perpetual159.deviantart.com/journal/#/d5eahdf"">deviantART</a>&nbsp;user to submit words through there.</p><p>I will write each submitted word in a little piece of paper and then randomly draw one each day from some sort of container (it wouldn&#39;t be a challenge if I got to pick them!).&nbsp;</p><p>After I complete the challenge, I will dedicate myself to finish all my WIP stories. With this challenge, the hope is that I can get into the habit of writing an average of at least 300 words a day. At that rate, I can finish all my stories before the year&#39;s out. Sounds fair, right?!</p><p>If you&#39;re a lazy NH writer like me and need some form of encouragement to get your shit together, I invite you to take this challenge with me! The more the merrier! :D Because, seriously, besides Jupitrie&#39;s <a href=""http://www.fanfiction.net/s/8426098/1/The-Fifth-and-Sixth-Jidai"">latest story</a>. it is my understanding that our community is quite dead these days! (I know I&#39;m also to blame for not updating my website! eheeee =3= ).</p>"
"eventtime","2012-09-09 19:26:00"
"url","http://perpetual159.livejournal.com/37690.html"
"userid","11777"
"itemid","146"
"event","<b><span style=""color:#ff0000;"">Happy birthday, Hinata!!</span><br /><br />Title:</b> Clones<br /><br /><b>Author: <lj user=""perpetual159"" />&nbsp;<br /><br />Fandom:</b> Naruto [Naruto x Hinata]<br /><br /><b>Rating:</b> M<br /><br /><b>Type:</b> Multi-chapter<br /><br /><b>Genre:</b> Romance<br /><p><b>Story Summary:</b> Reminiscing of his most cherished moments with Hinata, Naruto decides it&rsquo;s time she forgets about Hyuuga decorum and let her passions run wild. What better way to persuade her than to have a few horny Narutos seduce and realize her most secret desires?<br /><br /><a href=""http://sites.google.com/site/perpetual159/clones/prologue""><strong>Prologue</strong></a><strong> </strong><strong>|</strong><strong> </strong><a href=""http://sites.google.com/site/perpetual159/clones/chapteri""><strong>Chapter I</strong></a><strong> </strong><strong>|</strong><strong> </strong><a href=""http://sites.google.com/site/perpetual159/clones/chapterii""><strong>Chapter II</strong></a><strong> | </strong><a href=""http://sites.google.com/site/perpetual159/clones/chapteriii""><strong>Chapter III</strong></a><strong> | <a href=""http://sites.google.com/site/perpetual159/clones/chapteriv"">Chapter IV</a> | <a href=""http://sites.google.com/site/perpetual159/clones/chapterv"">Chapter V</a>&nbsp;| <a href=""https://sites.google.com/site/perpetual159/clones/chaptervi"">Chapter VI</a></strong></p>"
"eventtime","2011-12-28 00:24:00"
"url","http://perpetual159.livejournal.com/37538.html"
"userid","11777"
"itemid","145"
