"names","values"
"itemid","71"
"event","sOoOoOo yeahhh...long time no write!

basicly this is what's up guys..

right now i think everybody's getting slightly irratated...i don't think that it has anything to do with anyone in particular..it's just we have about what...15 days left of school?! and we've ALL been putting up with drama and crap for the entire year..

this summer will be amazing...

i think we all need it...to kind of 'regroup'



you know what sucks? to find out that people you love..people you trust are talking shit about you behind your back..i'm not saying people are talking about ME...it's just the little comments people make about each OTHER..and i hear it..i hear EVERYTHING because idk..im one of those random people...i don't hate knowing everything tho..because i'm always 'in the loop'... i just don't like it when ppl start saying that i'm telling ppl shit..because it's more than likely not ME who's saying it..

considering so many people tell more than one person...but w/e



oh heartbreaks...i've had my fair share..but it kills me to see my friends compare their lives to small and insignificant things...becuase I care...reguardless of what people say or think...and while we may be tiny when compared to larger problems, a broken heart still hurts...reguardless if there is something bigger than you out there...




gahhh


xox<3AT"
"eventtime","2006-05-17 17:41:00"
"current_moodid","101"
"url","http://justdatgood89.livejournal.com/18358.html"
"userid","7727"
"itemid","70"
"event","so pretty much this is the funniest thing ive ever seen:

go here>>> http://www.digyourowngrave.com/he-kicked-him-in-the-penis/

and no..its not a virus"
"eventtime","2005-12-13 15:25:00"
"url","http://justdatgood89.livejournal.com/18009.html"
"userid","7727"
"itemid","69"
"event","<FONT color=#000099><STRONG>yea so... pretty much my life = shit hole right now... im in a fight with one of my so called best friends right now...also my other good friend hates my guts...i have one kid spreading false roumers that im a hoe... a girl i know pretended she was pregnant for attention... my friend and her boyfriend broke up... my friend and HIS girlfriend broke up 2...i was cheated on... monday's suck... i was told i was an ""Abercrombie girl"" that wears ""black nailpolish""... anddddd im pretty much failing honors english...</STRONG> </FONT>"
"eventtime","2005-11-14 20:43:00"
"current_moodid","7"
"url","http://justdatgood89.livejournal.com/17703.html"
"userid","7727"
"itemid","68"
