"names","values"
"itemid","8"
"event","my parents are retarded and my little brother is a spoiled ass brat... THIS SUCKS!! LIFE SUCKS"
"eventtime","2004-09-12 13:18:00"
"current_moodid","110"
"url","http://xosimpson1fanox.livejournal.com/2185.html"
"userid","17341"
"itemid","7"
"event","<P><FONT color=#000000 size=4><STRONG>Yo!! damm...school already? My teachers are alrite... but w/e... i don't feel like the older kids... i mean all the younger kids are madddd tineeee but o well.... i have a spanish teacher that i cant understand... but i'm tryin 2 get by!! how are ur teachers and stuff!! about... 176 days left... :'(... i miss summer!!!</STRONG></FONT></P>
<P>&nbsp;</P>"
"eventtime","2004-09-10 17:20:00"
"url","http://xosimpson1fanox.livejournal.com/2028.html"
"userid","17341"
"itemid","6"
"event","<P><STRONG>I got ""clipped"" from the volleyball team... :'( oh well i'll try out for b-ball... my teachers r ok... i like&nbsp; science and social studies ... but english and math are kinda... yah... so how are your teachers!!??!!??!!</STRONG></P>
<P><STRONG>ReSpOnD</STRONG></P>"
"eventtime","2004-09-09 19:33:00"
"current_moodid","92"
"url","http://xosimpson1fanox.livejournal.com/1784.html"
"userid","17341"
"itemid","5"
"event","<P><FONT color=#000000>Somebody help!! i don't know if i should try out for volley ball!!i don't think i'm good enough!! i mean... i dont want 2 make a mess of myself in tryouts...i'll call sarah after....and she'll help me practice... lol !!! IM SO CONFUSED!!!&nbsp; </FONT></P>
<P><FONT color=#000000>I CAN'T BELIEVE SCHOOL STARTS TOMORROW!!!!!!!!!!!!!!!!!!!!!!! AhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhHHHHHHHHHHHHHHHHhhhhhhhhhHHHHHHHHhhhhhhhhhhhhhHHHHHHHHHhhhhhhhhhhh</FONT></P>"
"eventtime","2004-09-07 16:50:00"
"current_moodid","85"
"url","http://xosimpson1fanox.livejournal.com/1453.html"
"userid","17341"
"itemid","4"
"event","<P><FONT color=#ff99ff size=5><EM>I CAN'T BELIEVE SCHOOL STARTS ON WEDNESDAY... TOMORROW FOR SOME OF YOU!! it reminds me of a switchfoot song...</EM></FONT></P>
<P><FONT color=#3366ff size=5>Switchfoot- Gone</FONT></P>
<P><FONT color=#3366ff size=5>~gone like yesterday is gone~like history is gone~<STRONG>like summer break is gone!</STRONG> ~like saturday is gone~ the world keeps spinnin on~ we're going going gone~</FONT></P>"
"eventtime","2004-09-06 13:58:00"
"current_moodid","25"
"url","http://xosimpson1fanox.livejournal.com/1193.html"
"userid","17341"
"itemid","3"
"event","<P><img src=""http://img47.exs.cx/img47/8459/BlondieAshlee.jpg"" alt=""title or description"" /></P>
<P><FONT color=#ff99ff>THIS PICTURE OF ASHLEE IS SO PRETTY!!! i love ashlee simpson SOOOOOOOOOOO much!!!!</FONT></P>
<P><FONT color=#ff99ff size=4><EM>~On a monday I am waiting~ and by tuesday i am fading~by wednesday i can't sleep~ then the phone rings I hear you~ in the darkness~ is a clear view~ that you've come to rescue me~ fall with you i fall so fast~ when i hit that bottom crash~ you're all i have~ ohh it seems like i can finally rest my head on something reall~ i like the way that feels~ ohh it's as if you knew me better than i ever knew myself~ i love how you can tell~ the pieces pieces pieces of me~</EM></FONT></P>"
"eventtime","2004-09-04 13:52:00"
"current_moodid","125"
"url","http://xosimpson1fanox.livejournal.com/937.html"
"userid","17341"
"itemid","2"
"event","<font style=""color: rgb(255, 153, 255);"" size=""4"">i'm @ DALLAS' !!!
yayy!! then i have a sucky orthodontist appointment... then
babysitting... then i'm gonna call Miguel! cuz i think we're gonna
chill soon!!!!! YAYY!! i don't wanna go bak 2 school!! :(</font>"
"eventtime","2004-09-02 10:58:00"
"current_moodid","1"
"url","http://xosimpson1fanox.livejournal.com/657.html"
"userid","17341"
"itemid","1"
"event","<font style=""color: rgb(0, 0, 0);"" size=""5"">I just made a new journal... now i gotta go customize it!! and i'll b all sett!! if you wanna see my other journal
just search
XoCMSoX</font>"
"eventtime","2004-09-02 10:51:00"
"current_moodid","41"
"url","http://xosimpson1fanox.livejournal.com/474.html"
"userid","17341"
