"names","values"
"itemid","21"
"event","<p><img src=""http://bluepyramid.org/ia/grou.jpg""><br>
<font face=""Comic Sans, Comic Sans MS, Courier New, Times New Roman"" size=""5"">
<b>You're a Groundhog!</b><br>
<font size=""3"">While you'd probably prefer to stay in bed and sleep through winters,
people keep pestering you to wake up and make wild predictions about the future.
Though they'll treat you nicely for a brief part of the year, most people seem
to disrespect you the rest of the time, unafraid of disrupting your living
situation or ignoring you altogether. You really love basements. Of all things,
you're afraid of your own shadow!</font><br>
<font size=""2"" face=""Times New Roman"">
<b>Take the <a href=""http://bluepyramid.org/ia/aquiz.htm"">Animal Quiz</a>
at the <a href=""http://bluepyramid.org"">Blue Pyramid</a>.</b></font></font"
"eventtime","2005-10-12 11:42:00"
"url","http://pencilass.livejournal.com/5450.html"
"userid","11731"
"itemid","20"
"event","So I was looking in old files, and found this poem.  Good job, Anne.

I remember when we first met, 
You look much the same. 
I thought weren't the brightest crayon, 
But I came around by and by. 

You let me share your music, 
When mine was left at home. 
You let me sit beside you , 
When I felt alone. 

You taught me about acting 
At NWCT. 
And all along the way 
You were there for me. 

You pulled out chairs, 
You opened doors, 
You even paid for me, 
You were a gentleman, 
Every step of the way. 

So now that we're good friends, 
It's so hard to recall. 
Why I ever thought you less, 
than what you are. 
I'm so glad to have known you, 
I hope you feel the same, 
Just remember lovers come and go, 
But friends remain the same.


I need to see everybody before school starts up once more..."
"eventtime","2005-07-26 16:55:00"
"url","http://pencilass.livejournal.com/5165.html"
"userid","11731"
"itemid","19"
"event","So I was working on a presentation, and it struck me how strong I've become in my new-found faith.  It really is relieving to have something to believe no matter what happens.  I was at church last Sunday, and Pastor Heidi had a quote that's stuck with me for a while, so I'm just going to leave you with it:

The Son of God became Man, so that Man could become the Son of God."
"eventtime","2004-11-30 15:14:00"
"url","http://pencilass.livejournal.com/4881.html"
"userid","11731"
"itemid","18"
"event","Work like you don't need the money.
Love like you've never been hurt.
Dance like nobody's watching.

:)"
"eventtime","2004-10-12 09:41:00"
"url","http://pencilass.livejournal.com/4817.html"
"userid","11731"
"itemid","17"
