"names","values"
"itemid","6"
"event","You are a Sidhe. Sidhes are a supernatural race, quite distinct from humankind. There are a number of different types of sidhe. Sidhes are attracted to beauty and love roses most of all! They arent fond of people but love gardens and like only beautiful people!   

IM A SIDHE!! yay.....he aint talking to me...anymore..."
"eventtime","2004-02-21 13:19:00"
"url","http://fiorafay.livejournal.com/1727.html"
"userid","5106"
"itemid","5"
"event","arn't those the words u always want to hear?... ""we need to talk"" yippe! sigh....

<img src=""http://images.quizilla.com/N/nyrata/1073915744_ingensword.JPG"" border=""0"" alt=""Worrier""><br>Darkness is your passion. You can't live without it<br>and you're starting to turn dark. You are<br>interested in things that others fear,<br>sometimes using it against them. So much fun.<br>You think you're pretty dark, but that ain't<br>true. Better watch your back, real dark people<br>may find it fun to teach you a thing or two<br>about REAL darkness...
<p>
Please rate ^^
<br><br><a href=""http://quizilla.com/users/nyrata/quizzes/What%20kind%20of%20dark%20person%20are%20you%3F/""> <font size=""-1"">What kind of dark person are you?</font></a><BR> <font size=""-3"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>

i c, aint that just dandy?.... All the ""dark"" peoples r gonna come get me...they better do it prety fast, im geting bored...

You came from Hell. The devil's dark force still reside's in your veins. You always look for fun, and have a way of winning people over. You have a strong taste in music, and have a very artistic side. Though your attitude can take over your personality, you keep up with your life without worrying about the small things in life. Violence sometimes is your thought, though your heart disagree's. Take time to think over your choices and rmember, it is never to late to change. Your bubbly personality produces envy among frineds but it never takes over you. Control your wild side, and your fire will turn to water. 

I figured i would get some fucked up answer like that...sigh... mabey the devil likes me and i can live ther for the rest of my life...."
"eventtime","2004-02-21 12:39:00"
"url","http://fiorafay.livejournal.com/1392.html"
"userid","5106"
"itemid","4"
"event","i just shoveled my driveway...i can hardly type, owell i do some quiz therepy to get the blood running...."
"eventtime","2004-02-21 11:27:00"
"url","http://fiorafay.livejournal.com/1228.html"
"userid","5106"
"itemid","3"
"event","god i need to tell him but i can't....
 im just going 2 do some quiz relief...

<img src=""http://images.quizilla.com/S/SuperCurlz/1059384212_pFightclub.jpg"" border=""0"" alt=""CWINDOWSDesktopFightclub.jpg""><br>Fight Club!
<br><br><a href=""http://quizilla.com/users/SuperCurlz/quizzes/What%20movie%20Do%20you%20Belong%20in%3F(many%20different%20outcomes!)/""> <font size=""-1"">What movie Do you Belong in?(many different outcomes!)</font></a><BR> <font size=""-3"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>

im going 2 kung foo my ass off if i don't tell him...

<img src=""http://images.quizilla.com/S/SuperCurlz/1059384212_pFightclub.jpg"" border=""0"" alt=""CWINDOWSDesktopFightclub.jpg""><br>Fight Club!
<br><br><a href=""http://quizilla.com/users/SuperCurlz/quizzes/What%20movie%20Do%20you%20Belong%20in%3F(many%20different%20outcomes!)/""> <font size=""-1"">What movie Do you Belong in?(many different outcomes!)</font></a><BR> <font size=""-3"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>

i like this one more...

You are night, you are dark and mysterious, you<br>have more than likly been through some kind of<br>truma, depression. you have a creative mind,<br>and more than likly find peace enjoyment in<br>drawing, painting, writing. You are closed and<br>hidden away from people, and hide you emotions<br>behind a wall which you use on people. Try to<br>become more open, spread your creativity, you<br>have no idea of how many people there are out<br>there like you, exposing your art and yourself<br>can make other people come out, so many people<br>would look up to your for your courage and your<br>spirit, your not evil or bad, just<br>missunderstood, so get out there and show them<br>just what you are made of, don't worry about<br>what other people think, it's what you think<br>that really matters. Please rate this quiz!!!
<br><br><font size=""-1""><a href=""http://quizilla.com/users/BloodLustOfTheRaven/quizzes/What%20Element%20Would%20You%20Rule%20Over%20If%20You%20Were%20A%20Vampire%3F/"">What Element Would You Rule Over If You Were A Vampire?</a></font><BR> <font size=""-3"">brought to you by <a href=""http://quizilla.com"">Quizilla</a></font>

yay dark and mysterious, mabey i can not tell him now"
"eventtime","2004-02-19 16:28:00"
"current_moodid","63"
"url","http://fiorafay.livejournal.com/918.html"
"userid","5106"
"itemid","2"
