"names","values"
"itemid","17"
"event","Well I'm no longer in school, those were my choices, I'm going back next fall and I plan on going. I'm working a lot to get enough money for whatever reasons. I'm paying rent, but I knew that I was going to be doing that if I didn't attend school. My parents and me are getting better so its not as bad as I think it is. Friendships and relationships are good, so I guess my life is good. It shows. Well I'm outie.
*~*KaiLa*~*"
"eventtime","2004-01-08 10:39:00"
"current_moodid","68"
"url","http://lilskeet29.livejournal.com/4494.html"
"userid","8906"
"itemid","15"
"event","Well happy new year to all of you. I'm home bored off my ass, not going anywhere b/c of the stupid 'rents, while my boyfriend is in Orlando getting ass trashed as he possibly can. (I HATE HIM!!!) But he'll be back tomorrow and yippie!! But oh well, he does this every freaking night, now that Target has given him vacation time. But you know what I got stuff waiting for me in my room, :)In which my girl brought, break out the rum baby!!1  I need to call Chris and Tony again, they're suppose to be throwing my 20th birthday party and we gots to gets to the planning, hopefully by then I'll be out of my house and have my own place so we'll have a huge freaking party at my place. Well I'm out. Peace
*~*KaiLa*~*"
"eventtime","2003-12-31 22:10:00"
"current_moodid","17"
"url","http://lilskeet29.livejournal.com/4013.html"
"userid","8906"
"itemid","14"
"event","I've been working way to much( I hate being an adult), but I need the money. I wont really have a break until march, that is when I go to Phoenix with one of my best friends and my boy. We're going out there to look at houses for my best friend. She's getting married in less than a year and her 'fiancee is stationed out there. It'll be a fun week though, I'm gettiny my tounge pierced, my eye brow done and another tatoo. Hopefully not to long after that I'll be moving out of my house and living on my own. Well love everyone lots.
*~*KaiLa*~*"
"eventtime","2003-12-28 22:41:00"
"current_moodid","91"
"url","http://lilskeet29.livejournal.com/3782.html"
"userid","8906"
"itemid","13"
"event","Happy Holidays to all. Well I love this day, I get to spend the day with my family and I'm actually 100% happy this year. I don't know what I got just yet, but its most likely stuff for my apartment when I move out, which it will be in the summer time. I have a boyfriend, finally. It's been two years so I deserve it, and he's so sweet, and dam tall. I'm sick too, but I'm not going to let that get me down.
*~*KaiLa*~*"
"eventtime","2003-12-25 14:58:00"
"current_moodid","125"
"url","http://lilskeet29.livejournal.com/3536.html"
"userid","8906"
"itemid","12"
"event","I really wish it was Monday. My baby comes home, and I can't wait to see him. I'm going to knock him to the floor when he comes and sees me at work, he's not going to exspect it at all, I really hope he doesn't come when I'm working at Target b/c I'll get yelled at by my boss and I don't need that, so he better show up at subway, b/c yippie!! Tuesday, if anyone calls me, I'm busy. I'm spending the day with my baby, and its our day. Well I'm out. I have to go call him now. Peace!
*~*KaiLa*~*"
"eventtime","2003-12-19 20:35:00"
"current_moodid","57"
"url","http://lilskeet29.livejournal.com/3212.html"
"userid","8906"
"itemid","11"
"event","Well my guy had to leave yesterday, he had to fly out to Cali to do stuff with his family. His dad had a massive hard attach, family is important so hes there. Although I wish I could be out there with him to be at his side but, I didn't have enough time anyways. I hope he's coping well, it sounds like it, but I think he's trying to be strong for his family. We've been seeing eachother for about a week and a half and it feels longer just the way we act together, and the way things are. We have a lot in common, I don't even know the half of it, but with as much as I do, its weird. I've never liked someone so much in my life, and I'm feeling a magnetic pull toward him, and I'm loving the feeling I'm getting. Well gotta go, I have to work in the morning and I have to wait for my babe to call me.
*~*KaiLa*~*"
"eventtime","2003-12-16 21:53:00"
"current_moodid","38"
"url","http://lilskeet29.livejournal.com/2891.html"
"userid","8906"
"itemid","10"
"event","Well I've been working a lot and you know oh well, I'm earning money. Plus oh man, I found a great guy, yeah!!! He's so much taller than me, I'm 5'5 1/2 and he's 6'8. Oh dear lord. But you know what, he's a huge sweety and its been a while since I've been happy, and dam it, I deserve it. I'm sick of being unhappy and now I'm all set. Thank you Deb for talking to me about it, and that god has a plan for me, and its obvious. Well I'm out. Peace!
*~*KaiLa*~*"
"eventtime","2003-12-14 19:14:00"
"current_moodid","120"
"url","http://lilskeet29.livejournal.com/2638.html"
"userid","8906"
"itemid","9"
"event","Well I haven't had a day off in almost two weeks, and oh man its catching up to me. I've been filling in a lot at Target and I love it. I'm the only seasonal person they've trained to do Guest Services, and the only Seasonal person doing everything else all regulars do. So I think they're going to ask me to stay which is hard b/c I love my other job, and my boss is dieing without me, and I already told him I was going to stay. But the sanitizer we use is causing my eye to get infected.But this isn't the point of writing in this journal entry. The purpose is to share a guy asked for my number. Oh my god, wow. Its been a while since a guy has asked for my number. I'm sorry its just weird having a guy ask for my number after so long of not wanting a guy to ask, but Hell I'm over the ex boyfriend, he prooved he's a dick and I don't need it.
Well I'm signing off.
*~*KaiLa*~*"
"eventtime","2003-12-10 20:50:00"
"current_moodid","115"
"url","http://lilskeet29.livejournal.com/2554.html"
"userid","8906"
"itemid","8"
"event","Well I've just gotten back to my computer after 3 days. I went to St. Petersburg for my big brothers wedding. I'm so happy for him. Hes found the best match. They're so perfect for eachother and I love her to death. I'm so glad she's part of are family. I'm envious of the love they have. I'll have that someday.
*~*KaiLa*~*
Screw the letter to my ex. If he has something to say to me he knows the number, then I'll give him my piece of mind, and oh man he'll hate that."
"eventtime","2003-12-02 18:58:00"
"current_moodid","15"
"url","http://lilskeet29.livejournal.com/2262.html"
"userid","8906"
"itemid","7"
"event","Hello to all. Its thanksgiving, and man am I going to be stuffed!! Just wanted to wish everyone Happy Holidays and be safe. 
*~*KaiLa*~*"
"eventtime","2003-11-27 14:02:00"
"current_moodid","106"
"url","http://lilskeet29.livejournal.com/1926.html"
"userid","8906"
"itemid","6"
"event","Hello to all. Well you know how I wrote I was eternially in debt, I'm now drowning in it. This is the story.
Monday: I had to be at work at 8am, so I do this. I had to call my vet and get an apointment for my dad to take the dog in. I called and they were booked for the next 3 weeks, so they suggested that we bring the dog to stay over night. I went home, go the dog and took him in. I went back to work and not even ten minutes of being back to work, my dad calls, ""The dog has bitten an employee, we have to pick him up"" (COULD THIS GET ANY WORSE!) On top of that we had animal control called on us because all vets have to report this. But that isn't that bad news, we're being charged b/c his rabie shots arent up to date and b/c my mom never registered him. So is this getting any better, I DON""T THINK SO!! I drop the dam dog back off at home, and I leave to go back to work. Half way there my check engine light comes on AGAIN!!! Could it be any worse, here it comes, I have to have $500 worth of work done to my car, when about a month and a half ago i had to have $500 worth of work on it. My parents are paying for it, let alone all the fine for the dog,and my brothers wedding.
Tuesday- my dad and I take the other dog to the vet to get updated on his shots, come to find out he has heart worm, so theres $400 worth for him, since he has it, we know the other one has it too. So theres another $400. 
See people, don't the holidays just BLOW!!
Let alone I have to do all this, I can't move out in January like I planned. I'm sad b/c I was looking forward to it, and now I feel like I'm letting down Debra's so Mike. (he was going to be my roomate.
This is me signing off.
*~*KaiLa*~*"
"eventtime","2003-11-25 17:57:00"
"current_moodid","24"
"url","http://lilskeet29.livejournal.com/1747.html"
"userid","8906"
"itemid","5"
"event","I had a long day. Class was a drag and oh my god, I'm ready for it to end. I'm working on my goodbye letter to my ex and its the perfect one. I'll post it on my journal once I've finished it. We'll I'm going to bed. This is me signing off.
*~*KaiLa*~*"
"eventtime","2003-11-20 23:12:00"
"current_moodid","124"
"url","http://lilskeet29.livejournal.com/1444.html"
"userid","8906"
"itemid","4"
"event","I had class tonight and I so did not want to go, but I've already missed two days, so I had to go half asleep, and blind in one eye. The doctor said it wasn't pink eye, but it may change into it. He said I may be allergic to my dogs. But how is that possible, I've had my dogs for eight years and I've had a cat my whole lif up until I've had dogs. And no I'm not getting rid of them. I'd rather get pocked in the ass every month than get rid of them.
       Then there is the whole money issue. I'm broke and Christmas is on its way and I've only boughten one gift, and I have like 3 more to go, that doesnt include my friends. Oh gees. I'm not going all out like i usually do. I usually buy all my friends gifts. Not this year. I'm only buying for those who mean something to me. Mike, hell, he's easy. A carton of smokes, so I don't have to hear him bitch about how he has no money for smokes or gas. Love you Mikey!! Deanna thats so simple, Gift certifactes to Subway, its her favorite resturaunt. April, so simple, oh gees, a gift certificate to Fairavila. she'll love that. Then there's Mr. Christopher. He's the issue, no idea HINT HINT!! (I know you read these) May be a great girl, I'll rap her up and exress mail her to his house. Or directly to his bed!! LOL! Love you Chris. 
Well this is me signing off.
*~*KaiLa*~*"
"eventtime","2003-11-18 22:52:00"
"current_moodid","47"
"url","http://lilskeet29.livejournal.com/1157.html"
"userid","8906"
"itemid","3"
