"names","values"
"itemid","225"
"event","<img src=""http://i94.photobucket.com/albums/l92/thenimick/Chrisstaples.jpg"" />"
"eventtime","2008-07-13 15:50:00"
"url","http://godasriel.livejournal.com/57600.html"
"userid","5717"
"itemid","224"
"event","<img src=""http://i94.photobucket.com/albums/l92/thenimick/K-TUSK-Kauri1.jpg"" />"
"eventtime","2007-08-15 01:48:00"
"url","http://godasriel.livejournal.com/57408.html"
"userid","5717"
"itemid","223"
"event","Forbes Most Important Tools for Mankind.

No. 1 The Knife - Woot
No. 2 The Abacus
No. 3 The Compass
No. 4: The Pencil
No. 5: The Harness
No. 6: The Scythe
No. 7: The Rifle
No. 8: The Sword
No. 9: Eyeglasses
No. 10: The Saw
No. 11: The Watch
No. 12: The Lathe
No. 13: The Needle
No. 14: The Candle
No. 15: The Scale
No. 16: The Pot
No. 17: The Telescope
No. 18: The Level
No. 19: The Fish Hook
No. 20: The Chisel

and ""dildo"" is where excatly?"
"eventtime","2007-07-27 22:31:00"
"url","http://godasriel.livejournal.com/57149.html"
"userid","5717"
"itemid","222"
"event","<img src=""http://drewclan.com/images/BF/dodgetrucks.jpg"" />"
"eventtime","2007-07-27 15:03:00"
"url","http://godasriel.livejournal.com/56898.html"
"userid","5717"
"itemid","221"
"event","when you sacrifice a virgin into a volcano is it A) a literay device indicating the erupting male appendage, or is it in fact B) a volcano?

Should it be B, I consider that rather wasteful. Has anyone done a Greenhouse Gas study of virgin sacrifice? How many carbon credits must be purchased per virgin?"
"eventtime","2007-06-22 15:11:00"
"url","http://godasriel.livejournal.com/56740.html"
"userid","5717"
"itemid","220"
"event","The video sucks, but those with keen eyes can view rescue crews removing what's left of two of the backseat passengers.

You have been warned.


<lj-embed id=""1"" />"
"eventtime","2007-06-17 16:48:00"
"url","http://godasriel.livejournal.com/56387.html"
"userid","5717"
"itemid","219"
"event","<img src=""http://img68.imageshack.us/img68/9760/nunchuckssw4.jpg"" />

A boy asks his granny ""Have you seen my pills, they were labelled LSD?"" Granny says ""Fuck the pills, have you seen the dragons in the kitchen?

for Ken:
http://world.guns.ru/handguns/hg172-e.htm
http://en.wikipedia.org/wiki/Gyrojet
http://cartridgecollectors.org/cmo/cmo05nov.htm
http://www.securityarms.com/20010315/galleryfiles/1700/"
"eventtime","2007-06-11 13:15:00"
"url","http://godasriel.livejournal.com/56198.html"
"userid","5717"
"itemid","218"
"event","<img src=""http://i25.photobucket.com/albums/c73/kmark/223472284.jpg"" />"
"eventtime","2007-05-21 11:23:00"
"url","http://godasriel.livejournal.com/55843.html"
"userid","5717"
"itemid","217"
"event","<img src=""http://farm1.static.flickr.com/47/136423744_f551d7e327.jpg?v=0"" />"
"eventtime","2007-05-15 08:43:00"
"url","http://godasriel.livejournal.com/55633.html"
"userid","5717"
"itemid","216"
"event","<img src=""http://i25.photobucket.com/albums/c73/kmark/nappy.jpg"" />"
"eventtime","2007-05-09 08:20:00"
"url","http://godasriel.livejournal.com/55476.html"
"userid","5717"
"itemid","215"
"event","<img src=""http://i25.photobucket.com/albums/c73/kmark/jebus4tt.jpg"" />"
"eventtime","2007-04-30 23:18:00"
"url","http://godasriel.livejournal.com/55113.html"
"userid","5717"
"itemid","214"
"event","<img src=""http://www.bladeforums.com/forums/attachment.php?attachmentid=71038&d=1177540688"" />"
"eventtime","2007-04-26 08:38:00"
"url","http://godasriel.livejournal.com/54882.html"
"userid","5717"
"itemid","213"
"event","<img src=""http://www.ilike.org.uk/images/tim_tams.jpg"" />"
"eventtime","2007-04-22 23:59:00"
"url","http://godasriel.livejournal.com/54765.html"
"userid","5717"
"itemid","212"
"event","<img src=""http://www.dribbleglass.com/subpages/strange/squirtgun.jpg"" />"
"eventtime","2007-04-22 20:28:00"
"url","http://godasriel.livejournal.com/54438.html"
"userid","5717"
"itemid","211"
"event","<img src=""http://www.peghole.com/images/oester.jpg"" />"
"eventtime","2007-04-14 00:31:00"
"url","http://godasriel.livejournal.com/54194.html"
"userid","5717"
"itemid","210"
"event","<img src=""http://i5.photobucket.com/albums/y182/daw1180/KROOX4OIUQYNSHN6EXJALQNRJEREPOE3.jpg"" />"
"eventtime","2007-03-30 17:03:00"
"url","http://godasriel.livejournal.com/53891.html"
"userid","5717"
"itemid","209"
"event","What do elephants use as tampons?

Sheep.

Why do elephants have trunks?

Sheep don't have strings."
"eventtime","2007-02-05 10:25:00"
"url","http://godasriel.livejournal.com/53663.html"
"userid","5717"
"itemid","208"
"event","<img src=""http://img205.imageshack.us/img205/1782/shavedbeavermg8.png"" />"
"eventtime","2007-01-19 07:17:00"
"url","http://godasriel.livejournal.com/53498.html"
"userid","5717"
"itemid","207"
"event","Please accept with no obligation, implied or implicit, our best wishes for an environmentally conscious, socially responsible, low stress, non-addictive, gender neutral celebration of the winter solstice holiday, practiced with the most enjoyable traditions of religious persuasion or secular practices of your choice with respect for the religious/secular persuasions of others, or their choice not to practice religious or secular traditions at all.

I also wish you a fiscally successful, personally fulfilling and medically uncomplicated recognition of the onset of the generally accepted Gregorian calendar year 2007, but not without due respect for the calendars of choice of other cultures whose contributions to society have helped make our countries great and without regard to the race, creed, color, age, physical ability, religious faith or sexual preference of the wisher

Please note:
By accepting this greeting, you are accepting these terms: This greeting is subject to clarification or withdrawal. It is freely transferable with no alteration to the original greeting. It implies no promise by the wisher to actually implement any of the wishes for her/himself or others and is void where prohibited by law, and is revocable at the sole discretion of the wisher.

This wish is warranted to perform as expected within the usual application of good tidings for a period of one year or until the issuance of a subsequent holiday greeting, whichever comes first, and warranty is limited to replacement of this wish or issuance of a new wish at the sole discretion of the wisher.

No trees were harmed in the sending of this message.

<i>written by: Robert Ridley</i>"
"eventtime","2006-12-22 20:39:00"
"url","http://godasriel.livejournal.com/53195.html"
"userid","5717"
"itemid","206"
"event","Oh, and this is amazing:

http://content.jengajam.com/whatislove.swf"
"eventtime","2006-11-29 19:07:00"
"url","http://godasriel.livejournal.com/52798.html"
"userid","5717"
"itemid","205"
